😀;خنده;صورت|صورت با لبخند|لبخند|نیش باز
🔕;خط قرمز روی زنگوله;آرام|بی‌صدا|زنگوله|ساکت|ممنوع|نه
🎼;پارتیتور;خط حامل|کلید سل|موسیقی|نت|نواختن موسیقی
🎵;نت موسیقی;چنگ|موسیقی|نت
🎶;نت‌های موسیقی;چنگ|موسیقی|نت
🎙️;میکروفون استودیویی;استودیو|موسیقی|میکروفن|میکروفن استودیویی|میکروفون
🎚️;درجهٔ تنظیم‌کننده;لغزنده|موسیقی|میزان
🎛️;دسته‌های کنترل;دسته|کنترل|موسیقی
🎤;میکروفون;کارائوکه|میکروفن
🎧;هدفون;دوگوشی|گوشی
📻;رادیو;رادیویی|ویدئو|ویدیو
🎷;ساکسیفون;بادی برنجی|ساز|موسیقی
🎺;ترومپت;بادی برنجی|ساز|ساکسیفون|شیپور|موسیقی
🪊;شیپور;جاز|ساز|ساز بادی|غمگین|لغزاندن|موسیقی
🪗;آکوردئون;آکاردئون|ارغنون|ساز|ساز بادی|موسیقی
🎸;گیتار;الکتریک|راک|ساز|موسیقی
🎹;کیبورد موسیقی;پیانو|ساز|کیبورد|موسیقی
🎻;ویولن;ساز|موسیقی
🪕;بانجو;ساز|ساز زهی|کمانچه|موسیقی
🥁;طبل;درام|ساز|کوبه‌ای|موسیقی
🪘;طبل بلند;ریتم|ساز|ضرب|طبل|کانگا
🪇;ساز جغجغه‌ای;پرکاشن|تکان دادن|جغجغه|چاچا|رقص|ساز|سازهای کوبه‌ای|لرزش|ماراکا|مهمانی|موسیقی
🪈;فلوت;ارکستر|بادی چوبی|پیکولو|ساز|فلوت‌زن|گروه مارش|گروه موسیقی|موسیقی|نی|نی‌زن|نی‌لبک
🪉;چنگ;ارکستر|خدای عشق|ساز|عشق|موسیقی
📱;تلفن همراه;تلفن|گوشی|موبایل|همراه
📲;تلفن همراه با پیکان;پیکان|تلفن همراه|دریافت|گوشی
☎️;تلفن;تلفن زدن|تلفن کردن|دورگو|گوشی
📞;گوشی تلفن;تلفن|گوشی|گیرنده
📟;پیجر;پیج کردن|پی‌جو
📠;دستگاه نمابر;دستگاه فاکس|دورنگار|فاکس|نمابر
🔋;باتری;باطری|شارژ|شارژ کردن
🪫;باتری ضعیف;اشیاء|الکترونیکی|انرژی ضعیف|باتری|باتری خالی|تخلیه شارژ|تخلیه‌شده
🔌;دوشاخه;الکتریسیته|الکتریکی|برق
💻;رایانهٔ کیفی;پی‌سی|رایانه|رایانه کیفی|شخصی|لبتاب
🖥️;رایانهٔ میزی;رایانه|رایانه میزی|رومیزی
🖨️;چاپگر;پرینتر|رایانه
⌨️;صفحه‌کلید;رایانه
🖱️;موشواره;۳|دکمه|رایانه|سه|ماوس
🖲️;توپک;رایانه
💽;مینی دیسک;دیسک|رایانه|نوری
💾;فلاپی دیسک;دیسک|رایانه|فلاپی
💿;سی‌دی;بلوری|دیسک|دی‌وی‌دی|رایانه|لوح فشرده|نوری
📀;دی‌وی‌دی;بلوری|دیسک|رایانه|سی‌دی|نوری
🧮;چرتکه;برآورد|حساب|حساب و کتاب|ماشین حساب|محاسبات|محاسبه
🎥;دوربین سینمایی;دوربین|سینما|فیلم
🎞️;حلقهٔ فیلم;حلقه فیلم|سینما|فریم|فیلم
📽️;پروژکتور;سینما|فیلم|ویدیو
🎬;کلاکت;تخته‌نشان|فیلم
📺;تلویزیون;ویدیو
📷;دوربین;عکس|ویدیو
📸;دوربین با فلاش;دوربین|فلاش|ویدیو
📹;دوربین فیلم‌برداری;دوربین|ویدیو
📼;کاست ویدیویی;نوار|وی‌اچ‌اس|ویدیو
🔍;ذره‌بین روبه‌چپ;ابزار|جستجو|ذره‌بین|شیشه
🔎;ذره‌بین روبه‌راست;ابزار|جستجو|ذره‌بین|شیشه
🕯️;شمع;رمانتیک|شعله|نور
💡;لامپ;الکتریسیته|ایده|برق|حباب|نور
🔦;چراغ‌قوه;ابزار|الکتریسیته|نور
🏮;فانوس کاغذی قرمز;فانوس|قرمز|میخانه|می‌فروشی|نور
🪔;چراغ دایا;چراغ|چراغ روغنی|چراغ فتیله‌ای|دایا|روغن|فتیله
📔;دفتر با جلد سخت;جلد|دفتر|دفتر با جلد تزئینی|صحافی|کتاب|کتاب صحافی‌شده|یادداشت
📕;کتاب بسته;بسته|کتاب
📖;کتاب باز;باز|کتاب
📗;کتاب سبز;سبز|کتاب
📘;کتاب آبی;آبی|کتاب
📙;کتاب نارنجی;کتاب|نارنجی
📚;چند کتاب;کتاب
📓;دفتر یادداشت;دفتر|دفترچه|کتابچه
📒;دفتر سیمی;دفتر
📃;صفحهٔ تاشده;تا|جمع‌شده|سند|صفحه|صفحه تاشده
📜;طومار;کاغذ|کتیبه|نامه|نوشته|ورق
📄;صفحهٔ روبه‌بالا;سند|صفحه|صفحه روبه‌بالا
📰;روزنامه;اخبار|صفحه
🗞️;رول روزنامه;اخبار|رل|روزنامه|روزنامهٔ لوله‌شده|کاغذ
📑;برچسب‌های نشانه‌گذاری;زبانه|علامت|علامت‌گذار|نشانه
🔖;نشان‌گذار کتاب;چوب‌الف|چوق‌الف|علامت
🏷️;برچسب;اتیکت|اتیکت زدن|برچسب زدن|علامت
🪙;سکه;پول|پولدار|دلار|طلا|فلز|گنجینه|نقره|یورو
💰;کیسهٔ پول;پول|دلار|کیسه پول|کیف
🪎;صندوق جواهرات;اشیای ارزشمند|پول|ثروت|جایزه|جواهر|جواهرات|طلا|غنیمت|نقره
💴;اسکناس ین;ارز|اسکناس|بانک|پول|ین
💵;اسکناس دلار;ارز|اسکناس|بانک|پول|دلار
💶;اسکناس یورو;ارز|اسکناس|بانک|پول|یورو
💷;اسکناس پوند;ارز|اسکناس|بانک|پول|پوند
💸;اسکناس بال‌دار;ارز|اسکناس|بال|بانک|پول
💳;کارت اعتباری;اعتبار|بانک|پول|کارت
🧾;رسید;ثبت|حساب و کتاب|حسابداری|حسابرسی|دفتردار|دفترداری|صورت حساب|صورتحساب|فاکتور|گواهی|مدرک
💹;نمودار صعودی با ین;ارز|بازار|پول|رشد|صعود|گراف|منحنی|نمودار|ین
✉️;پاکت نامه;ایمیل|نامه
📧;ایمیل;میل|نامه
📨;پاکت نامهٔ ورودی;ایمیل|پاکت نامه|پاکت نامه ورودی|پست|دریافت|نامه|ورودی
📩;پاکت نامه با پیکان;ارسال|ایمیل|پاکت نامه|پست|پیکان|خروجی|نامه
📤;صندوق خروجی;ارسال|ایمیل|پست|سینی|صندوق|نامه
📥;صندوق ورودی;پست|دریافت|سینی|صندوق|نامه|ورودی
📦;بسته;بسته پستی|بستهٔ پستی|صندوق
📫;صندوق پستی بسته با پرچم بالا;بسته|پست|صندوق پست|صندوق پستی
📪;صندوق پستی بسته با پرچم پایین;بسته|پایین آمده|پست|صندوق پست|صندوق پستی
📬;صندوق پستی باز با پرچم بالا;باز|پست|صندوق پست|صندوق پستی
📭;صندوق پستی باز با پرچم پایین;باز|پایین آمده|پست|صندوق پست|صندوق پستی
📮;صندوق پست;پست|صندوق پستی
🗳️;صندوق رأی;انتخابات|رأی|رأی‌گیری|صندوق
✏️;مداد;با مداد نوشتن|مداد رنگی
✒️;قلم مشکی;قلم|نوک
🖋️;خودنویس;با خودنویس نوشتن|قلم
🖊️;خودکار;با خودکار نوشتن|قلم خودکار
🖌️;قلم‌مو;با قلم‌مو کشیدن|قلم مو|قلم موی نقاشی
🖍️;مدادشمعی;با مدادشمعی کشیدن|مداد رنگی مومی|مداد شمعی
📝;یادداشت;مداد|یادداشت‌برداری
💼;کیف اسناد;اداره|سامسونت|کیف
📁;پوشه;پرونده|فایل
📂;پوشهٔ باز;باز|پوشه|فایل
🗂️;جداکننده;راهنما|کارت
📅;تقویم;تاریخ
📆;تقویم رومیزی;تقویم
🗒️;دفترچهٔ یادداشت سیمی;سیمی|صفحه|یادداشت
🗓️;تقویم سیمی;تقویم|سیمی|صفحه
📇;کارت‌های راهنما;راهنما|رولودکس|کارت
📈;نمودار صعودی;رشد|صعودی|گراف|گرایش|نمودار
📉;نمودار نزولی;پایین|گراف|گرایش|نمودار
📊;نمودار ستونی;ستون|گراف|نمودار
📋;تختهٔ گیره‌دار;تخته رسم|تخته رسم گیره‌دار|تخته زیردستی|تخته گیره‌دار
📌;سنجاق;پونز|پین
📍;سنجاق ته‌گرد;پین
📎;گیرهٔ کاغذ;کلیپ|گیره|گیره کاغذ
🖇️;زنجیرهٔ گیره;اتصال|حلقه|دو گیره کاغذ|گیره کاغذ|گیرهٔ کاغذ
📏;خط‌کش;صاف
📐;گونیا;خط‌کش
✂️;قیچی;ابزار|ابزار بریدن
🗃️;جعبه نگه‌داری کارت;پرونده|جعبه|فایل|کارت
🗄️;کشوی پرونده;پرونده|فایل|کابینت|کشو
🗑️;سطل کاغذ باطله;سطل آشغال|سطل زباله
🔒;قفل;بسته
🔓;قفل باز;باز|قفل
🔏;قفل با قلم;جوهر|حریم خصوصی|قفل|قلم
🔐;قفل و کلید;امن|بسته|قفل|کلید
🔑;کلید;قفل|گذرواژه
🗝️;کلید قدیمی;سرنخ|قدیمی|قفل|کلید
🔨;چکش;ابزار|پتک
🪓;تبر;تیشه|جدا کردن|چوب|قطع کردن
⛏️;کلنگ;ابزار
⚒️;چکش و کلنگ;ابزار|چکش|کلنگ
🛠️;چکش و آچار;آچار|ابزار|چکش
🗡️;خنجر;اسلحه|چاقو
⚔️;شمشیرهای ضرب‌دری;اسلحه|شمشیر|صلیب|متقاطع
💣;بمب;انفجار|کمیک|مصور
🪃;بومرنگ;ابزار|استرالیا|اسلحه|اشیا|بومی|سلاح|شکار|کمانه|واجهش
🏹;تیر و کمان;اسلحه|برج فلکی|پیکان|تیر|زودیاک|کمان
🛡️;سپر;اسلحه
🪚;اره نجاری;ابزار|اره|چوب‌بُر|نجار
🔧;آچار;ابزار
🪛;پیچ‌گوشتی;ابزار|اشیا|پیچ|پیچ گوشتی|پیچ گوشتی تخت
🔩;پیچ و مهره;ابزار|پیچ|پیچ‌مهره|مهره
⚙️;چرخ‌دنده;ابزار
🗜️;پرس;ابزار|صحافی
⚖️;ترازو;آزادی|ابزار|برج فلکی|برج میزان|زودیاک|عدالت|معیار|وزن
🦯;عصای سفید;دسترس‌پذیری|قابلیت دسترسی|کور|نابینا
🔗;حلقهٔ زنجیر;اتصال|پیوند|حلقه|دانه زنجیر|دانهٔ زنجیر
⛓️‍💥;زنجیر پاره;شکستن، پاره شدن، زنجیر، دستبند، آزادی
⛓️;غل و زنجیر;زنجیر|زنجیرها|غل|قیدوبند
🪝;قلاب;انحنا|به‌دام انداختن|خمیدگی|گرفتن|نقطه فروش
🧰;جعبه‌ابزار;ابزار|تعمیرکار|جعبه|جعبه سرخ|جعبه قرمز|جعبه‌آچار|صندوق|صندوقچه|گنجه|مکانیک|مهندس
🧲;آهن‌ربا;Vote آهن‌ربا|آهنربای نعلی|جاذبه|جذب|حرف یو|قطب مثبت|قطب منفی|مغناطیسی|نعل|نعل اسب|نعلی شکل
🪜;نردبان;اشیا|بالا رفتن|پله|پلهٔ نردبان
🪏;بیل;بیلچه|حفر کردن|سوراخ|کج‌بیل
⚗️;انبیق;ابزار|بالن|پاکشگر|شیمی|صافی|کیمیاگری
🧪;لولهٔ آزمایشگاه;آزمایش|آزمایشگاه|دانش|دانشمند|شیمی|شیمی دان|شیمیدان|علم|علوم|لابراتوار|لوله آزمایش
🧫;ظرف کشت;آزمایشگاه|باکتری|بیولوژی|پتری دیش|دانشمند|زیست شناسی|زیست‌شناس|زیست‌شناسی|کشت میکروب|لابراتوار|میکروب
🧬;دی‌ان‌ای;تکامل|دی ان ای|زندگی|زیست|زیست شناس|زیست شناسی|زیست‌شناس|ژن|ژنتیک|فرگشت|وراثت
🔬;میکروسکوپ;آزمایشگاه|ابزار|علم
🔭;تلسکوپ;ابزار|اخترشناسی|علم|نجوم
📡;آنتن ماهواره;آنتن|بشقاب|دیش|ماهواره
💉;سرنگ;آمپول|بیمار|پزشک|دارو|دکتر|سوزن|مریض|واکسن
🩸;قطره خون;اهدای خون|پریود|خون|خون‌ریزی|دارو|رگل|صدمه|عادت ماهانه|عادت ماهیانه|قاعدگی
💊;قرص;بیمار|پزشک|دارو
🩹;چسب زخم;چسب
🩼;عصای زیر بغل;آسیب‌دیده|اشیاء|چوب|چوب‌دستی|صدمه|عصا|کمک|کمک حرکت|مجروح|ناتوانی|یاری
🩺;گوشی پزشکی;پزشک|دارو|دکتر|قلب
🩻;اشعه ایکس;استخوان|اسکلت|اشیاء|پرتو ایکس|پزشکی|جمجمه|دکتر
🚪;در;درب|راهرو|کمد
🛗;بالابر;آسانسور|جرثقیل|دسترس‌پذیری
🪞;آینه;آرایش|آینه طبی|انعکاس|بازتاب|منعکس‌کننده
🪟;پنجره;چشم‌انداز|دریچه|شفاف|قاب|هوای تازه
🛏️;تختخواب;خوابیدن|هتل
🛋️;مبل راحتی و چراغ;چراغ|کاناپه|لامپ|مبل|هتل
🪑;صندلی;بشین|بنشین|نشستن|نیمکت
🚽;توالت;دستشویی|مستراح
🪠;لوله‌بازکن;اشیا|توالت|دستشویی|لوله باز کن|لوله‌کش|مستراح|مکش|مکینه
🚿;دوش;آب|حمام
🛁;وان حمام;حمام
🪤;تله موش;پنیر|تله|دام|طعمه
🪒;ریش‌تراش;اصلاح|تراشیدن|تیز|خودتراش
🧴;بطری لوسیون;بطری|شامپو|شیشه لوسیون|ضد آفتاب|ظرف|کرم ضدآفتاب|لوسیون|مرطوب کننده|مرطوب‌کننده|نرم کننده
🧷;سنجاق قفلی;پانک‌راک|پوشک|سنجاق|سوزن
🧹;جارو;آب و جارو|تمیز کردن|تمیزکاری|جادوگر|جارو دستی|جارو زدن|خانه تکانی|ساحره
🧺;سبد;پیک نیک|پیک‌نیک|حصیر|سبد شستشو|سبد لباس|کشاورزی|لباسشویی|مزرعه
🧻;رول کاغذ;حوله کاغذی|حولهٔ کاغذی|دستمال توالت|دستمال کاغذی|رول|کاغذ توالت
🪣;سطل;بشکه|خمره|دلو
🧼;صابون;بهداشت|تمیز|تمیز کردن|تمیزی|حمام|حمام کردن|ظرف صابون|کف|گلنار|نوار
🫧;حباب;آروغ|اشیاء|تمیزی|حباب‌ها|زیر آب|شناور|صابون|مروارید
🪥;مسواک;برس|بهداشت|تمیز کردن|حمام|دندان|مربوط به دندان
🧽;لیف حمام;آب کشیدن|اسفنج|پاک کردن|پرمنفذ|تمیز|تمیز کردن|تمیزکاری|جاذب|جذب|خانه تکانی|لیف
🧯;کپسول آتش‌نشانی;۱۱۵|آتش|آتش خاموش کن|آتش خاموش‌کن|آتش نشانی|اطفای حریق|خاموش کردن|کپسول آتش نشانی
🛒;گاری خرید;چرخ دستی|خرید|سبد
🚬;سیگار;سیگار کشیدن
⚰️;تابوت;مرگ
🪦;سنگ قبر;درگذشته|سنگ قبر عمودی|شادروان|گورستان|مرحوم|مرده|مرگ|مقبره|یادبود|یادمان
⚱️;خاکستردان;خاکستر|سوزاندن|مرگ
🧿;نظرقربانی;آبی|جادو|جادو جنبل|چشم بد|چشم حسود|چشم زخم|چشم شور|چشم نظر|سحر|طلسم|مهره|نظر قربانی
🪬;خمسه;اقبال|بخت|پنجه|چشم زخم|دست|طلسم|فاطمه|کف دست|محافظت|مریم|هدایت
🗿;سردیس موآی;پیکره|پیکرهٔ موآی|پیکره موأی|تندیس|صورت|موآی
🪧;پلاکارد;اعتراض|اعتصاب|اعلامیه|پلاک|تظاهرات|علامت|نشانه
🪪;کارت شناسایی;اشیا‌ء|امنیت|برگه هویت|شناسنامه|شناسه|گواهینامه|مجوز|مدرک|مدرک شناسایی|هویت
🏧;نشان عابربانک;ای تی ام|بانک|خودپرداز|دستگاه|عابربانک|علامت خودپرداز|نشان خودپرداز
🚮;علامت ریختن زباله در زباله‌دان;آشغال|ریختن زباله در زباله‌دان|زباله|زباله‌دان|سطل آشغال
🚰;آب آشامیدنی;آب شرب|آشامیدنی|قابل شرب|قابل نوشیدن|نوشیدن
♿;علامت صندلی چرخ‌دار;دسترسی|صندلی چرخ‌دار|معلول
🚹;توالت مردانه;توالت|سرویس بهداشتی|مردان
🚺;توالت زنانه;توالت|زنان|سرویس بهداشتی
🚻;توالت عمومی;توالت|سرویس بهداشتی
🚼;نماد نوزاد;اتاق مادر و کودک|بچه|پوشک|تعویض
🚾;سرویس بهداشتی;توالت
🛂;کنترل گذرنامه;کنترل|گذرنامه
🛃;گمرک;اداره گمرک|دفتر گمرک|گمرکات
🛄;دریافت بار;بار|دریافت
🛅;امانت بار;امانت|بار|چمدان
⚠️;هشدار;اخطار|اعلام خطر|اعلام خطر کردن|تذکر
🚸;عبور کودکان;ترافیک|عابر پیاده|عبور|کودک
⛔;ورود ممنوع;ترافیک|خیر|ممنوع|نه|ورود
🚫;ممنوع;نه|ورود
🚳;دوچرخه ممنوع;دوچرخه|ممنوع|نه|وسیله نقلیه
🚭;سیگار کشیدن ممنوع;سیگار کشیدن|ممنوع|نه
🚯;ریختن زباله ممنوع;زباله|زباله نریزید|ممنوع|نه
🚱;آب غیرآشامیدنی;آب|آشامیدنی|ممنوع|نه|نوشیدن
🚷;عابر پیاده ممنوع;عابر پیاده|ممنوع|نه
📵;تلفن همراه ممنوع;تلفن|تلفن همراه|گوشی|ممنوع|موبایل|نه
🔞;زیر ۱۸ سال ممنوع;۱۸|کمتر از سن قانونی|محدودیت سن|محدودیت سنی|ممنوع|هجده|هجده سال
☢️;رادیواکتیو;اشعه
☣️;خطر زیستی;نماد خطر|نماد خطر زیستی
⬆️;پیکان بالا;پیکان|جهت اصلی|شمال|مسیر
↗️;پیکان بالا راست;پیکان|جهت فرعی|شمال شرقی|مسیر
➡️;پیکان راست;پیکان|جهت اصلی|شرق|مسیر
↘️;پیکان پایین راست;پیکان|جنوب شرقی|جهت فرعی|مسیر
⬇️;پیکان پایین;پایین|پیکان|جنوب|جهت اصلی|مسیر
↙️;پیکان پایین چپ;پیکان|جنوب غربی|جهت فرعی|مسیر
⬅️;پیکان چپ;پیکان|جهت اصلی|غرب|مسیر
↖️;پیکان بالا چپ;پیکان|جهت فرعی|شمال غربی|مسیر
↕️;پیکان بالا و پایین;پیکان
↔️;پیکان دوطرفه;پیکان
↩️;پیکان خمیده راست;پیکان
↪️;پیکان خمیده چپ;پیکان
⤴️;پیکان خمیده بالا راست;پیکان
⤵️;پیکان خمیده پایین راست;پایین|پیکان
🔃;جهت عقربه‌های ساعت;پیکان|تازه‌سازی|جهت حرکت عقربه‌های ساعت
🔄;خلاف جهت عقربه‌های ساعت;پیکان|خلاف حرکت عقربه‌های ساعت
🔙;پیکان عقب;برگشت|پیکان
🔚;پیکان پایان;پایان|پیکان
🔛;پیکان روشن;پیکان|روشن|علامت
🔜;پیکان به‌زودی;بزودی|به‌زودی|پیکان|پیکان به زودی
🔝;پیکان رو;بالا|برتر|پیکان
🛐;محل عبادت;عبادت|مذهب
⚛️;نماد اتم;اتم|بی‌دین
🕉️;اُم;مذهب|هندو
✡️;ستارهٔ داود;داود|ستاره|مذهب|یهود|یهودی
☸️;چرخ دارما;بودائی|چرخ|دارما|مذهب
☯️;یین و ینگ;تائو|مذهب|یانگ|یین
✝️;صلیب;مذهب|مسیحیت
☦️;صلیب ارتدوکسی;صلیب|مذهب|مسیحیت
☪️;هلال و ستاره;اسلام|مذهب|مسلمان
☮️;نماد صلح;صلح
🕎;منورا;جای شمع|مذهب
🔯;ستارهٔ شش‌پر;اقبال|بخت|ستاره|ستاره شش پر|ستاره یهود|یهودیت
🪯;خندا;آیین|اعتقاد|باور|خالسا|خاندا|دیگ و تیغ و فتح|سیک|مذهب
♈;برج حمل;برج|حمل|فروردین
♉;برج ثور;اردیبهشت|برج|ثور
♊;برج جوزا;برج|جوزا|خرداد
♋;برج سرطان;برج|تیر|سرطان
♌;برج اسد;اسد|برج|مرداد
♍;برج سنبله;برج|برج فلکی|سنبله|شهریور
♎;برج میزان;برج|برج فلکی|مهر|میزان
♏;برج عقرب;آبان|برج|عقرب
♐;برج قوس;آذر|برج|قوس
♑;برج جدی;برج|برج فلکی|جدی|دی
♒;برج دلو;برج|بهمن|دلو
♓;برج حوت;اسفند|برج|حوت
⛎;برج حوا;برج فلکی|حامل|حوا|زودیاک|مار
🔀;دکمهٔ پخش تصادفی;پیکان|متقاطع
🔁;دکمهٔ تکرار;پیکان|تکرار|دکمه تکرار
🔂;دکمهٔ یک‌بار تکرار;پیکان|تکرار|یک‌بار
▶️;دکمهٔ پخش;پخش|پیکان|دکمه پخش|راست|مثلث
⏩;دکمهٔ سریع به جلو;پیکان|جلو|حرکت سریع به جلو|دوگانه|سریع
⏭️;دکمهٔ آهنگ بعدی;آهنگ بعدی|بعدی|پیکان|صحنه بعدی|مثلث
⏯️;دکمهٔ پخش یا مکث;پخش|پخش یا مکث|پیکان|راست|مثلث|مکث
◀️;دکمهٔ برگرداندن;برگرداندن|پیکان|چپ|دکمه برگرداندن|قبل|مثلث
⏪;دکمهٔ سریع به عقب;پیکان|حرکت به عقب|حرکت سریع به عقب|دوتایی
⏮️;دکمهٔ آهنگ قبلی;آهنگ قبلی|پیکان|صحنه قبلی|مثلث
🔼;دکمهٔ بالا;پیکان|دکمه|دکمه بالا|قرمز
⏫;دکمهٔ سریع به بالا;پیکان|دکمه سریع به بالا|دوبل|دوتایی
🔽;دکمهٔ پایین;پایین|پیکان|دکمه|قرمز
⏬;دکمهٔ سریع به پایین;پایین|پیکان|دکمه سریع به پایین|دوبل
⏸️;دکمهٔ مکث;دکمه مکث|دوتایی|عمودی|مکث|نوار
⏹️;دکمهٔ توقف;توقف|دکمه توقف|مربع
⏺️;دکمهٔ ضبط;دایره|دکمه ضبط|ضبط
⏏️;دکمهٔ خروج;خروج
🎦;سینما;دوربین|فیلم
🔅;دکمهٔ تار کردن صفحه;پایین|تار کردن|تار کردن صفحه|روشنایی
🔆;دکمهٔ روشن کردن صفحه;روشن|روشن کردن صفحه|روشنایی
📶;نوار سیگنال;آنتن|تلفن|تلفن همراه|سیگنال|گوشی|موبایل|نوار
🛜;بی‌سیم;wlan|اتصال|اینترنت|باندپهن|تلفن هوشمند|رایانه|رهیاب|روتر|شبکه|گوشی هوشمند|نقطه اتصال|هات‌اسپات|وای فای
📳;حالت لرزش;تلفن همراه|گوشی|لرزش|موبایل|ویبره
📴;تلفن همراه خاموش;تلفن|تلفن همراه|خاموش|گوشی|موبایل
♀️;نشان ناهید;نماد جنس ماده|نماد زن|نماد ونوس
♂️;نشان مریخ;نماد جنس نر|نماد مارس|نماد مرد
⚧️;علامت تراجنسیتی;تراجنسیتی
✖️;ضرب کردن;×|x|ایکس مشکی|ضرب|علامت|لغو
➕;بعلاوه;+|به‌علاوه|ریاضی|علامت
➖;تفریق;-|−|ریاضی|علامت|منها
➗;تقسیم کردن;÷|تقسیم|ریاضی|علامت
🟰;علامت تساوی پررنگ;برابر با|برابری|پاسخ|تساوی|جواب|ریاضی
♾️;بی‌نهایت;برای همیشه|بی‌حدوحصر|کلی
‼️;علامت تعجب دوتایی;دو علامت تعجب|علامت تعجب|علامت‌گذاری
⁉️;علامت تعجب و سؤال;!|؟!|علامت تعجب|علامت سؤال|علامت‌گذاری
❓;علامت سؤال قرمز;؟|سؤال|علامت|علامت‌گذاری
❔;علامت سؤال سفید;؟|سؤال|علامت|علامت‌گذاری|نقطه‌گذاری
❕;علامت تعجب سفید;!|تعجب|سفید|علامت|علامت‌گذاری|نقطه‌گذاری
❗;علامت تعجب قرمز;!|تعجب|علامت|علامت‌گذاری|نقطه‌گذاری
〰️;خط موج‌دار;خط|علامت‌گذاری|موج‌دار
💱;تبدیل ارز;ارز|بانک|پول
💲;نماد دلار;ارز|پول|دلار
⚕️;نماد پزشکی;چوبدست اسقلبیوس|عصای آسکِلِپیوس|مار و عصا|نماد مار و عصا
♻️;نماد بازیافت;بازیافت
⚜️;نماد گل زنبق;شوالیه|فلور دِ لی|فلور-د-لی
🔱;نیزهٔ سه‌شاخه;ابزار|سه‌شاخه|کشتی|لنگر|نیزه
📛;برچسب نام;برچسب|نام
🔰;نماد ژاپنی سطح مبتدی;ابتدایی|برگ|درجه نظامی|زرد|ژاپنی|مبتدی
⭕;دایره قرمز توخالی;حلقه|دایره|دایره قرمز|دایره قرمز بزرگ|صحیح
✅;علامت تأیید;✓|دکمه|علامت تیک|علامت تیک سبز
☑️;مربع با علامت تیک;علامت تأیید|علامت تیک|علامت تیک خاکستری|مربع انتخاب با تیک
✔️;علامت تیک;علامت تأیید|علامت تیک مشکی
❌;ضربدر;x|ایکس قرمز|ضرب|علامت ضرب|لغو|نادرست
❎;دکمه ایکس;دکمه ایکس سبز|دکمه بستن|علامت|مربع
➰;حلقه مجعد;حلقه|مجعد
➿;حلقه مجعد دوتایی;حلقه|دوبل|دوگانه|مجعد
〽️;علامت تناوب بخش;بخش|علامت
✳️;ستاره هشت‌پره;ستاره|ستاره هشت پر|نشان ستاره هشت‌پر
✴️;ستاره هشت‌پر;ستاره
❇️;جرقه;برق|تلألو|جرقه زدن|درخشش
©️;حق نسخه‌برداری;حق تکثیر|حق چاپ|حق طبع و نشر|حق نشر|کپی رایت
®️;نشان تجاری ثبت‌شده;ثبت‌شده|علامت تجاری ثبت‌شده
™️;نماد بازرگانی;TM|تی‌ام|علامت|علامت تجاری|علامت تجاری ثبت شده|نشان تجاری
🫟;لکه رنگ;پاشیدن|جشنواره رنگ|رنگ|لکه
*️⃣;جلد کلید: *;جلد کلید
0️⃣;جلد کلید: 0;0|جلد کلید|صفر
1️⃣;جلد کلید: 1;1|جلد کلید|یک
2️⃣;جلد کلید: 2;2|جلد کلید|دو
3️⃣;جلد کلید: 3;3|جلد کلید|سه
4️⃣;جلد کلید: 4;4|جلد کلید|چهار
5️⃣;جلد کلید: 5;5|پنج|جلد کلید
6️⃣;جلد کلید: 6;6|جلد کلید|شش
7️⃣;جلد کلید: 7;7|جلد کلید|هفت
8️⃣;جلد کلید: 8;8|جلد کلید|هشت
9️⃣;جلد کلید: 9;9|جلد کلید|نه
🔟;جلد کلید: 10;جلد کلید
🔠;ورودی حروف بزرگ;بزرگ|حروف|لاتین|ورودی
🔡;ورودی حروف کوچک;الفبا|حروف|کوچک|لاتین|ورودی
🔢;ورودی عددی;۱۲۳۴|اعداد
🔣;ورودی نماد;نمادها|ورودی
🔤;ورودی حروف لاتین;الفبا|حروف|لاتین|ورودی
🅰️;دکمه آ (گروه خونی);a|آ|دکمه A|گروه خونی
🆎;دکمه آ ب (گروه خونی);ab|آ ب|دکمه AB|گروه خونی
🅱️;دکمه ب (گروه خونی);b|ب|دکمه B|گروه خونی
🆑;دکمهٔ CL;cl|پاک کردن|دکمه CL
🆒;دکمهٔ COOL;ای ول|ایوالله|باحال|سرد|کلمه COOL|کول
🆓;دکمهٔ FREE;آزاد|رایگان
ℹ️;اطلاعات;i
🆔;دکمهٔ شناسایی;id|دکمهٔ ID|شناسه|کارت شناسایی
Ⓜ️;حرف ام در دایره;m|ام|حرف M در دایره|حلقه|دایره
🆕;دکمهٔ NEW;جدید|کلمه NEW|نو
🆖;دکمهٔ NG;ng|خوب نیست|دکمه NG
🅾️;دکمه اُ (گروه خونی);o|اُ|دکمه O|گروه خونی
🆗;دکمهٔ OK;ok|باشه|تأیید|دکمه اوکی|قبول
🅿️;دکمه پی;p|پارکینگ
🆘;دکمه اس او اس;اس او اس|درخواست کمک|دکمه SOS|کمک
🆙;دکمهٔ !UP;up|بالا|دکمه !UP|علامت
🆚;دکمهٔ VS;vs|در برابر|در مقابل|دربرابر|درمقابل|دکمه VS
🈁;دکمهٔ «اینجا» به ژاپنی;اشاره|اینجا|اینجا به ژاپنی|ژاپنی
