😀;ծիծաղող դեմք;դեմք|քմծիծաղել
⚫;սև շրջանակ;երկրաչափական|շրջան|սև շրջան
⚪;սպիտակ շրջան;երկրաչափական|շրջան
🟥;կարմիր քառակուսի;կարմիր|քառակուսի
🟧;նարնջագույն քառակուսի;նարնջագույն|քառակուսի
🟨;դեղին քառակուսի;դեղին|քառակուսի
🟩;կանաչ քառակուսի;կանաչ|քառակուսի
🟦;կապույտ քառակուսի;կապույտ|քառակուսի
🟪;մանուշակագույն քառակուսի;մանուշակագույն|քառակուսի
🟫;շագանակագույն քառակուսի;շագանակագույն|քառակուսի
⬛;սև մեծ քառակուսի;երկրաչափական|քառակուսի
⬜;սպիտակ մեծ քառակուսի;երկրաչափական|քառակուսի
◼️;սև միջին չափի քառակուսի;երկրաչափական|քառակուսի
◻️;սպիտակ միջին չափի քառակուսի;երկրաչափական|քառակուսի
◾;սև միջին-փոքր քառակուսի;երկրաչափական|քառակուսի
◽;սպիտակ միջին-փոքր քառակուսի;երկրաչափական|քառակուսի
▪️;սև փոքր քառակուսի;երկրաչափական|քառակուսի
▫️;սպիտակ փոքր քառակուսի;երկրաչափական|քառակուսի
🔶;նարնջագույն մեծ շեղանկյուն;երկրաչափական|նարնջագույն|շեղանկյուն
🔷;կապույտ մեծ շեղանկյուն;երկրաչափական|կապույտ|շեղանկյուն
🔸;նարնջագույն փոքր շեղանկյուն;երկրաչափական|նարնջագույն|շեղանկյուն
🔹;կապույտ փոքր շեղանկյուն;երկրաչափական|կապույտ|շեղանկյուն
🔺;կարմիր եռանկյուն ուղղված վերև;երկրաչափական|կարմիր
🔻;կարմիր եռանկյուն ուղղված ներքև;երկրաչափական|կարմիր|ներքև
💠;կետով շեղանկյուն;երկրաչափական|կոմիքս|ներսում|շեղանկյուն
🔘;կետակոճակ;երկրաչափական|կետ|կոճակ|ռադիո
🔳;սպիտակ քառակուսի կոճակ;երկրաչափական|կոճակ|ուրվագծված|քառակուսի
🔲;սև քառակուսի կոճակ;երկրաչափական|կոճակ|քառակուսի
🏁;վանդակավոր դրոշ;մրցարշավ|վանդակավոր
🚩;եռանկյունի դրոշ;փոստ
🎌;խաչված դրոշակներ;խաչ|խաչված|ճապոնական|տոն
🏴;ծածանվող սև դրոշ;ծածանվող
🏳️;ծածանվող սպիտակ դրոշ;ծածանվող|սպիտակ դրոշ
🏳️‍🌈;ծիածանով դրոշ;դրոշ|ծիածան
🏳️‍⚧️;տրանսգենդերի դրոշ;բաց կապույտ|դրոշ|սպիտակ|վարդագույն|տրանսգենդեր
🏴‍☠️;ծովահենների դրոշ;գանձ|ծովահեն|կողոպուտ|Ուրախ Ռոջեր
🇦🇨;դրոշ․ Համբարձման կղզի;դրոշ
🇦🇩;դրոշ․ Անդորրա;դրոշ
🇦🇪;դրոշ․ Արաբական Միացյալ Էմիրություններ;դրոշ
🇦🇫;դրոշ․ Աֆղանստան;դրոշ
🇦🇬;դրոշ․ Անտիգուա և Բարբուդա;դրոշ
🇦🇮;դրոշ․ Անգուիլա;դրոշ
🇦🇱;դրոշ․ Ալբանիա;դրոշ
🇦🇲;դրոշ․ Հայաստան;դրոշ
🇦🇴;դրոշ․ Անգոլա;դրոշ
🇦🇶;դրոշ․ Անտարկտիդա;դրոշ
🇦🇷;դրոշ․ Արգենտինա;դրոշ
🇦🇸;դրոշ․ Ամերիկյան Սամոա;դրոշ
🇦🇹;դրոշ․ Ավստրիա;դրոշ
🇦🇺;դրոշ․ Ավստրալիա;դրոշ
🇦🇼;դրոշ․ Արուբա;դրոշ
🇦🇽;դրոշ․ Ալանդյան կղզիներ;դրոշ
🇦🇿;դրոշ․ Ադրբեջան;դրոշ
🇧🇦;դրոշ․ Բոսնիա և Հերցեգովինա;դրոշ
🇧🇧;դրոշ․ Բարբադոս;դրոշ
🇧🇩;դրոշ․ Բանգլադեշ;դրոշ
🇧🇪;դրոշ․ Բելգիա;դրոշ
🇧🇫;դրոշ․ Բուրկինա Ֆասո;դրոշ
🇧🇬;դրոշ․ Բուլղարիա;դրոշ
🇧🇭;դրոշ․ Բահրեյն;դրոշ
🇧🇮;դրոշ․ Բուրունդի;դրոշ
🇧🇯;դրոշ․ Բենին;դրոշ
🇧🇱;դրոշ․ Սուրբ Բարդուղիմեոս;դրոշ
🇧🇲;դրոշ․ Բերմուդներ;դրոշ
🇧🇳;դրոշ․ Բրունեյ;դրոշ
🇧🇴;դրոշ․ Բոլիվիա;դրոշ
🇧🇶;դրոշ․ Կարիբյան Նիդեռլանդներ;դրոշ
🇧🇷;դրոշ․ Բրազիլիա;դրոշ
🇧🇸;դրոշ․ Բահամյան կղզիներ;դրոշ
🇧🇹;դրոշ․ Բութան;դրոշ
🇧🇻;դրոշ․ Բուվե կղզի;դրոշ
🇧🇼;դրոշ․ Բոտսվանա;դրոշ
🇧🇾;դրոշ․ Բելառուս;դրոշ
🇧🇿;դրոշ․ Բելիզ;դրոշ
🇨🇦;դրոշ․ Կանադա;դրոշ
🇨🇨;դրոշ․ Կոկոսյան (Քիլինգ) կղզիներ;դրոշ
🇨🇩;դրոշ․ Կոնգո - Կինշասա;դրոշ
🇨🇫;դրոշ․ Կենտրոնական Աֆրիկյան Հանրապետություն;դրոշ
🇨🇬;դրոշ․ Կոնգո - Բրազավիլ;դրոշ
🇨🇭;դրոշ․ Շվեյցարիա;դրոշ
🇨🇮;դրոշ․ Կոտ դ՚Իվուար;դրոշ
🇨🇰;դրոշ․ Կուկի կղզիներ;դրոշ
🇨🇱;դրոշ․ Չիլի;դրոշ
🇨🇲;դրոշ․ Կամերուն;դրոշ
🇨🇳;դրոշ․ Չինաստան;դրոշ
🇨🇴;դրոշ․ Կոլումբիա;դրոշ
🇨🇵;դրոշ․ Քլիփերթոն կղզի;դրոշ
🇨🇶;դրոշ․ Սարկ կղզի;դրոշ
🇨🇷;դրոշ․ Կոստա Ռիկա;դրոշ
🇨🇺;դրոշ․ Կուբա;դրոշ
🇨🇻;դրոշ․ Կաբո Վերդե;դրոշ
🇨🇼;դրոշ․ Կյուրասաո;դրոշ
🇨🇽;դրոշ․ Սուրբ Ծննդյան կղզի;դրոշ
🇨🇾;դրոշ․ Կիպրոս;դրոշ
🇨🇿;դրոշ․ Չեխիա;դրոշ
🇩🇪;դրոշ․ Գերմանիա;դրոշ
🇩🇬;դրոշ․ Դիեգո Գարսիա;դրոշ
🇩🇯;դրոշ․ Ջիբութի;դրոշ
🇩🇰;դրոշ․ Դանիա;դրոշ
🇩🇲;դրոշ․ Դոմինիկա;դրոշ
🇩🇴;դրոշ․ Դոմինիկյան Հանրապետություն;դրոշ
🇩🇿;դրոշ․ Ալժիր;դրոշ
🇪🇦;դրոշ․ Սեուտա և Մելիլյա;դրոշ
🇪🇨;դրոշ․ Էկվադոր;դրոշ
🇪🇪;դրոշ․ Էստոնիա;դրոշ
🇪🇬;դրոշ․ Եգիպտոս;դրոշ
🇪🇭;դրոշ․ Արևմտյան Սահարա;դրոշ
🇪🇷;դրոշ․ Էրիթրեա;դրոշ
🇪🇸;դրոշ․ Իսպանիա;դրոշ
🇪🇹;դրոշ․ Եթովպիա;դրոշ
🇪🇺;դրոշ․ Եվրոպական Միություն;դրոշ
🇫🇮;դրոշ․ Ֆինլանդիա;դրոշ
🇫🇯;դրոշ․ Ֆիջի;դրոշ
🇫🇰;դրոշ․ Ֆոլքլենդյան կղզիներ;դրոշ
🇫🇲;դրոշ․ Միկրոնեզիա;դրոշ
🇫🇴;դրոշ․ Ֆարերյան կղզիներ;դրոշ
🇫🇷;դրոշ․ Ֆրանսիա;դրոշ
🇬🇦;դրոշ․ Գաբոն;դրոշ
🇬🇧;դրոշ․ Միացյալ Թագավորություն;դրոշ
🇬🇩;դրոշ․ Գրենադա;դրոշ
🇬🇪;դրոշ․ Վրաստան;դրոշ
🇬🇫;դրոշ․ Ֆրանսիական Գվիանա;դրոշ
🇬🇬;դրոշ․ Գերնսի;դրոշ
🇬🇭;դրոշ․ Գանա;դրոշ
🇬🇮;դրոշ․ Ջիբրալթար;դրոշ
🇬🇱;դրոշ․ Գրենլանդիա;դրոշ
🇬🇲;դրոշ․ Գամբիա;դրոշ
🇬🇳;դրոշ․ Գվինեա;դրոշ
🇬🇵;դրոշ․ Գվադելուպա;դրոշ
🇬🇶;դրոշ․ Հասարակածային Գվինեա;դրոշ
🇬🇷;դրոշ․ Հունաստան;դրոշ
🇬🇸;դրոշ․ Հարավային Ջորջիա և Հարավային Սենդվիչյան կղզիներ;դրոշ
🇬🇹;դրոշ․ Գվատեմալա;դրոշ
🇬🇺;դրոշ․ Գուամ;դրոշ
🇬🇼;դրոշ․ Գվինեա-Բիսաու;դրոշ
🇬🇾;դրոշ․ Գայանա;դրոշ
🇭🇰;դրոշ․ Հոնկոնգի ՀՎՇ;դրոշ
🇭🇲;դրոշ․ Հերդ կղզի և ՄակԴոնալդի կղզիներ;դրոշ
🇭🇳;դրոշ․ Հոնդուրաս;դրոշ
🇭🇷;դրոշ․ Խորվաթիա;դրոշ
🇭🇹;դրոշ․ Հայիթի;դրոշ
🇭🇺;դրոշ․ Հունգարիա;դրոշ
🇮🇨;դրոշ․ Կանարյան կղզիներ;դրոշ
🇮🇩;դրոշ․ Ինդոնեզիա;դրոշ
🇮🇪;դրոշ․ Իռլանդիա;դրոշ
🇮🇱;դրոշ․ Իսրայել;դրոշ
🇮🇲;դրոշ․ Մեն կղզի;դրոշ
🇮🇳;դրոշ․ Հնդկաստան;դրոշ
🇮🇴;դրոշ․ Բրիտանական տարածք Հնդկական Օվկիանոսում;դրոշ
🇮🇶;դրոշ․ Իրաք;դրոշ
🇮🇷;դրոշ․ Իրան;դրոշ
🇮🇸;դրոշ․ Իսլանդիա;դրոշ
🇮🇹;դրոշ․ Իտալիա;դրոշ
🇯🇪;դրոշ․ Ջերսի;դրոշ
🇯🇲;դրոշ․ Ճամայկա;դրոշ
🇯🇴;դրոշ․ Հորդանան;դրոշ
🇯🇵;դրոշ․ Ճապոնիա;դրոշ
🇰🇪;դրոշ․ Քենիա;դրոշ
🇰🇬;դրոշ․ Ղրղզստան;դրոշ
🇰🇭;դրոշ․ Կամբոջա;դրոշ
🇰🇮;դրոշ․ Կիրիբատի;դրոշ
🇰🇲;դրոշ․ Կոմորյան կղզիներ;դրոշ
🇰🇳;դրոշ․ Սենթ Քիտս և Նևիս;դրոշ
🇰🇵;դրոշ․ Հյուսիսային Կորեա;դրոշ
🇰🇷;դրոշ․ Հարավային Կորեա;դրոշ
🇰🇼;դրոշ․ Քուվեյթ;դրոշ
🇰🇾;դրոշ․ Կայմանյան կղզիներ;դրոշ
🇰🇿;դրոշ․ Ղազախստան;դրոշ
🇱🇦;դրոշ․ Լաոս;դրոշ
🇱🇧;դրոշ․ Լիբանան;դրոշ
🇱🇨;դրոշ․ Սենթ Լյուսիա;դրոշ
🇱🇮;դրոշ․ Լիխտենշտեյն;դրոշ
🇱🇰;դրոշ․ Շրի Լանկա;դրոշ
🇱🇷;դրոշ․ Լիբերիա;դրոշ
🇱🇸;դրոշ․ Լեսոտո;դրոշ
🇱🇹;դրոշ․ Լիտվա;դրոշ
🇱🇺;դրոշ․ Լյուքսեմբուրգ;դրոշ
🇱🇻;դրոշ․ Լատվիա;դրոշ
🇱🇾;դրոշ․ Լիբիա;դրոշ
🇲🇦;դրոշ․ Մարոկկո;դրոշ
🇲🇨;դրոշ․ Մոնակո;դրոշ
🇲🇩;դրոշ․ Մոլդովա;դրոշ
🇲🇪;դրոշ․ Չեռնոգորիա;դրոշ
🇲🇫;դրոշ․ Սեն Մարտեն;դրոշ
🇲🇬;դրոշ․ Մադագասկար;դրոշ
🇲🇭;դրոշ․ Մարշալյան կղզիներ;դրոշ
🇲🇰;դրոշ․ Հյուսիսային Մակեդոնիա;դրոշ
🇲🇱;դրոշ․ Մալի;դրոշ
🇲🇲;դրոշ․ Մյանմա (Բիրմա);դրոշ
🇲🇳;դրոշ․ Մոնղոլիա;դրոշ
🇲🇴;դրոշ․ Չինաստանի Մակաո ՀՎՇ;դրոշ
🇲🇵;դրոշ․ Հյուսիսային Մարիանյան կղզիներ;դրոշ
🇲🇶;դրոշ․ Մարտինիկա;դրոշ
🇲🇷;դրոշ․ Մավրիտանիա;դրոշ
🇲🇸;դրոշ․ Մոնսեռատ;դրոշ
🇲🇹;դրոշ․ Մալթա;դրոշ
🇲🇺;դրոշ․ Մավրիկիոս;դրոշ
🇲🇻;դրոշ․ Մալդիվներ;դրոշ
🇲🇼;դրոշ․ Մալավի;դրոշ
🇲🇽;դրոշ․ Մեքսիկա;դրոշ
🇲🇾;դրոշ․ Մալայզիա;դրոշ
🇲🇿;դրոշ․ Մոզամբիկ;դրոշ
🇳🇦;դրոշ․ Նամիբիա;դրոշ
🇳🇨;դրոշ․ Նոր Կալեդոնիա;դրոշ
🇳🇪;դրոշ․ Նիգեր;դրոշ
🇳🇫;դրոշ․ Նորֆոլկ կղզի;դրոշ
🇳🇬;դրոշ․ Նիգերիա;դրոշ
🇳🇮;դրոշ․ Նիկարագուա;դրոշ
🇳🇱;դրոշ․ Նիդեռլանդներ;դրոշ
🇳🇴;դրոշ․ Նորվեգիա;դրոշ
🇳🇵;դրոշ․ Նեպալ;դրոշ
🇳🇷;դրոշ․ Նաուրու;դրոշ
🇳🇺;դրոշ․ Նիուե;դրոշ
🇳🇿;դրոշ․ Նոր Զելանդիա;դրոշ
🇴🇲;դրոշ․ Օման;դրոշ
🇵🇦;դրոշ․ Պանամա;դրոշ
🇵🇪;դրոշ․ Պերու;դրոշ
🇵🇫;դրոշ․ Ֆրանսիական Պոլինեզիա;դրոշ
🇵🇬;դրոշ․ Պապուա Նոր Գվինեա;դրոշ
🇵🇭;դրոշ․ Ֆիլիպիններ;դրոշ
🇵🇰;դրոշ․ Պակիստան;դրոշ
🇵🇱;դրոշ․ Լեհաստան;դրոշ
🇵🇲;դրոշ․ Սեն Պիեռ և Միքելոն;դրոշ
🇵🇳;դրոշ․ Պիտկեռն կղզիներ;դրոշ
🇵🇷;դրոշ․ Պուերտո Ռիկո;դրոշ
🇵🇸;դրոշ․ Պաղեստինյան տարածքներ;դրոշ
🇵🇹;դրոշ․ Պորտուգալիա;դրոշ
🇵🇼;դրոշ․ Պալաու;դրոշ
🇵🇾;դրոշ․ Պարագվայ;դրոշ
🇶🇦;դրոշ․ Կատար;դրոշ
🇷🇪;դրոշ․ Ռեյունիոն;դրոշ
🇷🇴;դրոշ․ Ռումինիա;դրոշ
🇷🇸;դրոշ․ Սերբիա;դրոշ
🇷🇺;դրոշ․ Ռուսաստան;դրոշ
🇷🇼;դրոշ․ Ռուանդա;դրոշ
🇸🇦;դրոշ․ Սաուդյան Արաբիա;դրոշ
🇸🇧;դրոշ․ Սողոմոնյան կղզիներ;դրոշ
🇸🇨;դրոշ․ Սեյշելներ;դրոշ
🇸🇩;դրոշ․ Սուդան;դրոշ
🇸🇪;դրոշ․ Շվեդիա;դրոշ
🇸🇬;դրոշ․ Սինգապուր;դրոշ
🇸🇭;դրոշ․ Սուրբ Հեղինեի կղզի;դրոշ
🇸🇮;դրոշ․ Սլովենիա;դրոշ
🇸🇯;դրոշ․ Սվալբարդ և Յան Մայեն;դրոշ
🇸🇰;դրոշ․ Սլովակիա;դրոշ
🇸🇱;դրոշ․ Սիեռա Լեոնե;դրոշ
🇸🇲;դրոշ․ Սան Մարինո;դրոշ
🇸🇳;դրոշ․ Սենեգալ;դրոշ
🇸🇴;դրոշ․ Սոմալի;դրոշ
🇸🇷;դրոշ․ Սուրինամ;դրոշ
🇸🇸;դրոշ․ Հարավային Սուդան;դրոշ
🇸🇹;դրոշ․ Սան Տոմե և Փրինսիպի;դրոշ
🇸🇻;դրոշ․ Սալվադոր;դրոշ
🇸🇽;դրոշ․ Սինտ Մարտեն;դրոշ
🇸🇾;դրոշ․ Սիրիա;դրոշ
🇸🇿;դրոշ․ Էսվատինի;դրոշ
🇹🇦;դրոշ․ Տրիստան դա Կունյա;դրոշ
🇹🇨;դրոշ․ Թըրքս և Կայկոս կղզիներ;դրոշ
🇹🇩;դրոշ․ Չադ;դրոշ
🇹🇫;դրոշ․ Ֆրանսիական Հարավային Տարածքներ;դրոշ
🇹🇬;դրոշ․ Տոգո;դրոշ
🇹🇭;դրոշ․ Թաիլանդ;դրոշ
🇹🇯;դրոշ․ Տաջիկստան;դրոշ
🇹🇰;դրոշ․ Տոկելաու;դրոշ
🇹🇱;դրոշ․ Թիմոր Լեշտի;դրոշ
🇹🇲;դրոշ․ Թուրքմենստան;դրոշ
🇹🇳;դրոշ․ Թունիս;դրոշ
🇹🇴;դրոշ․ Տոնգա;դրոշ
🇹🇷;դրոշ․ Թուրքիա;դրոշ
🇹🇹;դրոշ․ Տրինիդադ և Տոբագո;դրոշ
🇹🇻;դրոշ․ Տուվալու;դրոշ
🇹🇼;դրոշ․ Թայվան;դրոշ
🇹🇿;դրոշ․ Տանզանիա;դրոշ
🇺🇦;դրոշ․ Ուկրաինա;դրոշ
🇺🇬;դրոշ․ Ուգանդա;դրոշ
🇺🇲;դրոշ․ Արտաքին կղզիներ (ԱՄՆ);դրոշ
🇺🇳;դրոշ․ Միավորված ազգերի կազմակերպություն;դրոշ
🇺🇸;դրոշ․ Միացյալ Նահանգներ;դրոշ
🇺🇾;դրոշ․ Ուրուգվայ;դրոշ
🇺🇿;դրոշ․ Ուզբեկստան;դրոշ
🇻🇦;դրոշ․ Վատիկան;դրոշ
🇻🇨;դրոշ․ Սենթ Վինսենթ և Գրենադիններ;դրոշ
🇻🇪;դրոշ․ Վենեսուելա;դրոշ
🇻🇬;դրոշ․ Բրիտանական Վիրջինյան կղզիներ;դրոշ
🇻🇮;դրոշ․ ԱՄՆ Վիրջինյան կղզիներ;դրոշ
🇻🇳;դրոշ․ Վիետնամ;դրոշ
🇻🇺;դրոշ․ Վանուատու;դրոշ
🇼🇫;դրոշ․ Ուոլիս և Ֆուտունա;դրոշ
🇼🇸;դրոշ․ Սամոա;դրոշ
🇽🇰;դրոշ․ Կոսովո;դրոշ
🇾🇪;դրոշ․ Եմեն;դրոշ
🇾🇹;դրոշ․ Մայոտ;դրոշ
🇿🇦;դրոշ․ Հարավաֆրիկյան Հանրապետություն;դրոշ
🇿🇲;դրոշ․ Զամբիա;դրոշ
🇿🇼;դրոշ․ Զիմբաբվե;դրոշ
🏴󠁧󠁢󠁥󠁮󠁧󠁿;դրոշ․ Անգլիա;դրոշ
🏴󠁧󠁢󠁳󠁣󠁴󠁿;դրոշ․ Շոտլանդիա;դրոշ
🏴󠁧󠁢󠁷󠁬󠁳󠁿;դրոշ․ Ուելս;դրոշ
