😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|मजाकिया
🫁;फेफड़ा;अंग|फेफड़े|बायोलॉजी|बॉडी पार्ट|लंग|लंग्स|शरीर के अंग|श्वसन|साँस|सांस|सांस खींचना|सांस छोड़ना
🦷;दाँत;डेंटिस्ट|डॉक्टर|दांत|दाँत का डॉक्टर|सफ़ेद
🦴;हड्डी;कंकाल
👀;आँखें;आंखें|चेहरा
👁️;आँख;आंख|एक आँख|शरीर
👅;जीभ;चेहरा|शरीर
👄;मुँह;चेहरा|मुंह|लिपस्टिक|शरीर|होंठ
🫦;होंठ काटना;असहज|किस करना|घबराहट|चिंता|चिंतित|छेड़ना|डर|फ़्लर्ट करना|लिपस्टिक|होंठ
👶;शिशु;नवजात|बच्चा
🧒;बच्चा;युवा|लैंगिक रूप से निष्पक्ष
👦;लड़का;बच्चा|लोग
👧;लड़की;कन्या|जवान|बेटी|युवा|राशि
🧑;व्यक्ति;बालिग|लैंगिक रूप से निष्पक्ष|वयस्क
👱;भूरे बालों वाला आदमी;आदमी|चेहरा|पुरुष|लोग|व्यक्ति|सुनहरे बाल
👨;पुरुष;दोस्त|मित्र|लोग
🧔;दाढ़ी वाला आदमी;दाढ़ी|दाढ़ी वाला व्यक्ति|दाढ़ीदार
🧔‍♂️;आदमी: दाढ़ी;आदमी|दाढ़ी
🧔‍♀️;महिला: दाढ़ी;दाढ़ी|महिला
👨‍🦰;पुरुष: लाल बाल;दोस्त|पुरुष|मित्र|लाल बाल|लोग
👨‍🦱;पुरुष: घुँघराले बाल;घुँघराले बाल|दोस्त|पुरुष|मित्र|लोग
👨‍🦳;पुरुष: सफ़ेद बाल;दोस्त|पुरुष|मित्र|लोग|सफ़ेद बाल
👨‍🦲;पुरुष: गंजा;गंजा|दोस्त|पुरुष|मित्र|लोग
👩;महिला;गोरी|वयस्क|सुनहरे बालो वाली महिला
👩‍🦰;महिला: लाल बाल;गोरी|महिला|लाल बाल|वयस्क|सुनहरे बालो वाली महिला
🧑‍🦰;व्यक्ति: लाल बाल;बालिग|लाल बाल|लैंगिक रूप से निष्पक्ष|वयस्क|व्यक्ति
👩‍🦱;महिला: घुँघराले बाल;गोरी|घुँघराले बाल|महिला|वयस्क|सुनहरे बालो वाली महिला
🧑‍🦱;व्यक्ति: घुँघराले बाल;घुँघराले बाल|बालिग|लैंगिक रूप से निष्पक्ष|वयस्क|व्यक्ति
👩‍🦳;महिला: सफ़ेद बाल;गोरी|महिला|वयस्क|सफ़ेद बाल|सुनहरे बालो वाली महिला
