😀;mặt cười toe toét;cười toe toét|mặt
🈲;nút Tiếng Nhật “bị cấm”;“bị cấm”|chữ tượng hình|Tiếng Nhật
🉑;nút Tiếng Nhật “có thể chấp nhận”;“có thể chấp nhận”|chữ tượng hình|Tiếng Nhật
🈸;nút Tiếng Nhật “đơn xin”;“đơn xin”|chữ tượng hình|Tiếng Nhật
🈴;nút Tiếng Nhật “vượt cấp”;“vượt cấp”|chữ tượng hình|Tiếng Nhật
🈳;nút Tiếng Nhật “còn trống”;“còn trống”|chữ tượng hình|Tiếng Nhật
㊗️;nút Tiếng Nhật “chúc mừng”;“chúc mừng”|"chúc mừng" bằng tiếng Nhật|chữ tượng hình|Tiếng Nhật
㊙️;nút Tiếng Nhật “bí mật”;“bí mật”|chữ tượng hình|nút "bí mật" tiếng Nhật|Tiếng Nhật
🈺;nút Tiếng Nhật “mở cửa kinh doanh”;“mở cửa kinh doanh”|chữ tượng hình|Tiếng Nhật
🈵;nút "hết phòng" bằng tiếng Nhật;“hết phòng”|chữ tượng hình|nút Tiếng Nhật “hết phòng”|Tiếng Nhật
🔴;hình tròn màu đỏ;đỏ|hình học|hình tròn
🟠;hình tròn màu cam;da cam|hình tròn|màu cam|vòng tròn
🟡;hình tròn màu vàng;hình tròn|màu vàng|vòng tròn
🟢;hình tròn màu xanh lá cây;hình tròn|màu xanh lá cây|vòng tròn|xanh lá|xanh lục
🔵;hình tròn màu lam;hình học|hình tròn|màu lam
🟣;hình tròn màu tím;hình tròn|màu tím|tía|vòng tròn
🟤;hình tròn màu nâu;hình tròn|màu nâu|vòng tròn
⚫;hình tròn màu đen;hình học|hình tròn
⚪;hình tròn màu trắng;hình học|hình tròn
🟥;hình vuông màu đỏ;hình vuông|màu đỏ|ô vuông
🟧;hình vuông màu cam;da cam|hình vuông|màu cam|ô vuông
🟨;hình vuông màu vàng;hình vuông|màu vàng|ô vuông
🟩;hình vuông màu xanh lá cây;hình vuông|màu xanh lá cây|ô vuông|xanh lá|xanh lục
🟦;hình vuông màu xanh da trời;hình vuông|màu lam|màu xanh da trời|ô vuông
🟪;hình vuông màu tím;hình vuông|màu tía|màu tím|ô vuông
🟫;hình vuông màu nâu;hình vuông|màu nâu|ô vuông
⬛;hình vuông lớn màu đen;hình học|hình vuông
⬜;hình vuông lớn màu trắng;hình học|hình vuông
◼️;hình vuông trung bình màu đen;hình học|hình vuông
◻️;hình vuông trung bình màu trắng;hình học|hình vuông
◾;hình vuông nhỏ vừa màu đen;hình học|hình vuông
◽;hình vuông nhỏ vừa màu trắng;hình học|hình vuông
▪️;hình vuông nhỏ màu đen;hình học|hình màu đen|hình vuông|hình vuông màu đen
▫️;hình vuông nhỏ màu trắng;hình học|hình màu trắng|hình vuông|hình vuông màu trắng
🔶;hình thoi lớn màu cam;hình học|hình thoi|màu cam
🔷;hình thoi lớn màu lam;hình học|hình thoi|màu lam
🔸;hình thoi nhỏ màu cam;hình học|hình thoi|màu cam
🔹;hình thoi nhỏ màu lam;hình học|hình thoi|màu lam
🔺;tam giác màu đỏ trỏ lên trên;hình học|màu đỏ
🔻;tam giác màu đỏ trỏ xuống dưới;đỏ|hình học|xuống
💠;hình thoi có dấu chấm;bên trong|hài hước|hình học|hình thoi|hình thoi có chấm
🔘;nút radio;hình học|nút|radio
🔳;nút hình vuông màu trắng;hình học|hình vuông|mờ|nút
🔲;nút hình vuông màu đen;hình học|hình vuông|nút
🏁;cờ ô vuông;ca rô|chiến thắng|cuộc đua|thể thao
🚩;cờ tam giác;cờ|đánh dấu|xây dựng
🎌;cờ bắt chéo;bắt chéo|gạch chéo|kiểu nhật bản|lễ kỷ niệm
🏴;cờ đen;vẫy
🏳️;cờ trắng;vẫy
🏳️‍🌈;cờ cầu vồng;cầu vồng|chuyển giới|đồng tính|song tính
🏳️‍⚧️;cờ màu xanh, hồng và trắng;cờ|cờ màu xanh|hồng và trắng|người chuyển giới
🏴‍☠️;cờ cướp biển;cướp biển|cướp bóc|hải tặc|Jolly Roger|kho báu
🇦🇨;cờ: Đảo Ascension;cờ
🇦🇩;cờ: Andorra;cờ
🇦🇪;cờ: Các Tiểu Vương quốc Ả Rập Thống nhất;cờ
🇦🇫;cờ: Afghanistan;cờ
🇦🇬;cờ: Antigua và Barbuda;cờ
🇦🇮;cờ: Anguilla;cờ
🇦🇱;cờ: Albania;cờ
🇦🇲;cờ: Armenia;cờ
🇦🇴;cờ: Angola;cờ
🇦🇶;cờ: Nam Cực;cờ
🇦🇷;cờ: Argentina;cờ
🇦🇸;cờ: Samoa thuộc Mỹ;cờ
🇦🇹;cờ: Áo;cờ
🇦🇺;cờ: Úc;cờ
🇦🇼;cờ: Aruba;cờ
🇦🇽;cờ: Quần đảo Åland;cờ
🇦🇿;cờ: Azerbaijan;cờ
🇧🇦;cờ: Bosnia và Herzegovina;cờ
🇧🇧;cờ: Barbados;cờ
🇧🇩;cờ: Bangladesh;cờ
🇧🇪;cờ: Bỉ;cờ
🇧🇫;cờ: Burkina Faso;cờ
🇧🇬;cờ: Bulgaria;cờ
🇧🇭;cờ: Bahrain;cờ
🇧🇮;cờ: Burundi;cờ
🇧🇯;cờ: Benin;cờ
🇧🇱;cờ: St. Barthélemy;cờ
🇧🇲;cờ: Bermuda;cờ
🇧🇳;cờ: Brunei;cờ
🇧🇴;cờ: Bolivia;cờ
🇧🇶;cờ: Ca-ri-bê Hà Lan;cờ
🇧🇷;cờ: Brazil;cờ
🇧🇸;cờ: Bahamas;cờ
🇧🇹;cờ: Bhutan;cờ
🇧🇻;cờ: Đảo Bouvet;cờ
🇧🇼;cờ: Botswana;cờ
🇧🇾;cờ: Belarus;cờ
🇧🇿;cờ: Belize;cờ
🇨🇦;cờ: Canada;cờ
🇨🇨;cờ: Quần đảo Cocos (Keeling);cờ
🇨🇩;cờ: Congo - Kinshasa;cờ
🇨🇫;cờ: Cộng hòa Trung Phi;cờ
🇨🇬;cờ: Congo - Brazzaville;cờ
🇨🇭;cờ: Thụy Sĩ;cờ
🇨🇮;cờ: Côte d’Ivoire;cờ
🇨🇰;cờ: Quần đảo Cook;cờ
🇨🇱;cờ: Chile;cờ
🇨🇲;cờ: Cameroon;cờ
🇨🇳;cờ: Trung Quốc;cờ
🇨🇴;cờ: Colombia;cờ
🇨🇵;cờ: Đảo Clipperton;cờ
🇨🇶;cờ: Sark;cờ
🇨🇷;cờ: Costa Rica;cờ
🇨🇺;cờ: Cuba;cờ
🇨🇻;cờ: Cape Verde;cờ
🇨🇼;cờ: Curaçao;cờ
🇨🇽;cờ: Đảo Giáng Sinh;cờ
🇨🇾;cờ: Síp;cờ
🇨🇿;cờ: Séc;cờ
🇩🇪;cờ: Đức;cờ
🇩🇬;cờ: Diego Garcia;cờ
🇩🇯;cờ: Djibouti;cờ
🇩🇰;cờ: Đan Mạch;cờ
🇩🇲;cờ: Dominica;cờ
🇩🇴;cờ: Cộng hòa Dominica;cờ
🇩🇿;cờ: Algeria;cờ
🇪🇦;cờ: Ceuta và Melilla;cờ
🇪🇨;cờ: Ecuador;cờ
🇪🇪;cờ: Estonia;cờ
🇪🇬;cờ: Ai Cập;cờ
🇪🇭;cờ: Tây Sahara;cờ
🇪🇷;cờ: Eritrea;cờ
🇪🇸;cờ: Tây Ban Nha;cờ
🇪🇹;cờ: Ethiopia;cờ
🇪🇺;cờ: Liên Minh Châu Âu;cờ
🇫🇮;cờ: Phần Lan;cờ
🇫🇯;cờ: Fiji;cờ
🇫🇰;cờ: Quần đảo Falkland;cờ
🇫🇲;cờ: Micronesia;cờ
🇫🇴;cờ: Quần đảo Faroe;cờ
🇫🇷;cờ: Pháp;cờ
🇬🇦;cờ: Gabon;cờ
🇬🇧;cờ: Vương quốc Anh;cờ
🇬🇩;cờ: Grenada;cờ
🇬🇪;cờ: Georgia;cờ
🇬🇫;cờ: Guiana thuộc Pháp;cờ
🇬🇬;cờ: Guernsey;cờ
🇬🇭;cờ: Ghana;cờ
🇬🇮;cờ: Gibraltar;cờ
🇬🇱;cờ: Greenland;cờ
🇬🇲;cờ: Gambia;cờ
🇬🇳;cờ: Guinea;cờ
🇬🇵;cờ: Guadeloupe;cờ
🇬🇶;cờ: Guinea Xích Đạo;cờ
🇬🇷;cờ: Hy Lạp;cờ
🇬🇸;cờ: Nam Georgia & Quần đảo Nam Sandwich;cờ
🇬🇹;cờ: Guatemala;cờ
🇬🇺;cờ: Guam;cờ
🇬🇼;cờ: Guinea-Bissau;cờ
🇬🇾;cờ: Guyana;cờ
🇭🇰;cờ: Đặc khu Hành chính Hồng Kông, Trung Quốc;cờ
🇭🇲;cờ: Quần đảo Heard và McDonald;cờ
🇭🇳;cờ: Honduras;cờ
🇭🇷;cờ: Croatia;cờ
🇭🇹;cờ: Haiti;cờ
🇭🇺;cờ: Hungary;cờ
🇮🇨;cờ: Quần đảo Canary;cờ
🇮🇩;cờ: Indonesia;cờ
🇮🇪;cờ: Ireland;cờ
🇮🇱;cờ: Israel;cờ
🇮🇲;cờ: Đảo Man;cờ
🇮🇳;cờ: Ấn Độ;cờ
🇮🇴;cờ: Lãnh thổ Ấn Độ Dương thuộc Anh;cờ
🇮🇶;cờ: Iraq;cờ
🇮🇷;cờ: Iran;cờ
🇮🇸;cờ: Iceland;cờ
🇮🇹;cờ: Italy;cờ
🇯🇪;cờ: Jersey;cờ
🇯🇲;cờ: Jamaica;cờ
🇯🇴;cờ: Jordan;cờ
🇯🇵;cờ: Nhật Bản;cờ
🇰🇪;cờ: Kenya;cờ
🇰🇬;cờ: Kyrgyzstan;cờ
🇰🇭;cờ: Campuchia;cờ
🇰🇮;cờ: Kiribati;cờ
🇰🇲;cờ: Comoros;cờ
🇰🇳;cờ: St. Kitts và Nevis;cờ
🇰🇵;cờ: Triều Tiên;cờ
🇰🇷;cờ: Hàn Quốc;cờ
🇰🇼;cờ: Kuwait;cờ
🇰🇾;cờ: Quần đảo Cayman;cờ
🇰🇿;cờ: Kazakhstan;cờ
🇱🇦;cờ: Lào;cờ
🇱🇧;cờ: Li-băng;cờ
🇱🇨;cờ: St. Lucia;cờ
🇱🇮;cờ: Liechtenstein;cờ
🇱🇰;cờ: Sri Lanka;cờ
🇱🇷;cờ: Liberia;cờ
🇱🇸;cờ: Lesotho;cờ
🇱🇹;cờ: Litva;cờ
🇱🇺;cờ: Luxembourg;cờ
🇱🇻;cờ: Latvia;cờ
🇱🇾;cờ: Libya;cờ
🇲🇦;cờ: Ma-rốc;cờ
🇲🇨;cờ: Monaco;cờ
🇲🇩;cờ: Moldova;cờ
🇲🇪;cờ: Montenegro;cờ
🇲🇫;cờ: St. Martin;cờ
🇲🇬;cờ: Madagascar;cờ
🇲🇭;cờ: Quần đảo Marshall;cờ
🇲🇰;cờ: Bắc Macedonia;cờ
🇲🇱;cờ: Mali;cờ
🇲🇲;cờ: Myanmar (Miến Điện);cờ
🇲🇳;cờ: Mông Cổ;cờ
🇲🇴;cờ: Đặc khu Hành chính Macao, Trung Quốc;cờ
🇲🇵;cờ: Quần đảo Bắc Mariana;cờ
🇲🇶;cờ: Martinique;cờ
🇲🇷;cờ: Mauritania;cờ
🇲🇸;cờ: Montserrat;cờ
🇲🇹;cờ: Malta;cờ
🇲🇺;cờ: Mauritius;cờ
🇲🇻;cờ: Maldives;cờ
🇲🇼;cờ: Malawi;cờ
🇲🇽;cờ: Mexico;cờ
🇲🇾;cờ: Malaysia;cờ
🇲🇿;cờ: Mozambique;cờ
🇳🇦;cờ: Namibia;cờ
🇳🇨;cờ: New Caledonia;cờ
🇳🇪;cờ: Niger;cờ
🇳🇫;cờ: Đảo Norfolk;cờ
🇳🇬;cờ: Nigeria;cờ
🇳🇮;cờ: Nicaragua;cờ
🇳🇱;cờ: Hà Lan;cờ
🇳🇴;cờ: Na Uy;cờ
🇳🇵;cờ: Nepal;cờ
🇳🇷;cờ: Nauru;cờ
🇳🇺;cờ: Niue;cờ
🇳🇿;cờ: New Zealand;cờ
🇴🇲;cờ: Oman;cờ
🇵🇦;cờ: Panama;cờ
🇵🇪;cờ: Peru;cờ
🇵🇫;cờ: Polynesia thuộc Pháp;cờ
🇵🇬;cờ: Papua New Guinea;cờ
🇵🇭;cờ: Philippines;cờ
🇵🇰;cờ: Pakistan;cờ
🇵🇱;cờ: Ba Lan;cờ
🇵🇲;cờ: Saint Pierre và Miquelon;cờ
🇵🇳;cờ: Quần đảo Pitcairn;cờ
🇵🇷;cờ: Puerto Rico;cờ
🇵🇸;cờ: Lãnh thổ Palestine;cờ
🇵🇹;cờ: Bồ Đào Nha;cờ
🇵🇼;cờ: Palau;cờ
🇵🇾;cờ: Paraguay;cờ
🇶🇦;cờ: Qatar;cờ
🇷🇪;cờ: Réunion;cờ
🇷🇴;cờ: Romania;cờ
🇷🇸;cờ: Serbia;cờ
🇷🇺;cờ: Nga;cờ
🇷🇼;cờ: Rwanda;cờ
🇸🇦;cờ: Ả Rập Xê-út;cờ
🇸🇧;cờ: Quần đảo Solomon;cờ
🇸🇨;cờ: Seychelles;cờ
🇸🇩;cờ: Sudan;cờ
🇸🇪;cờ: Thụy Điển;cờ
🇸🇬;cờ: Singapore;cờ
🇸🇭;cờ: St. Helena;cờ
🇸🇮;cờ: Slovenia;cờ
🇸🇯;cờ: Svalbard và Jan Mayen;cờ
🇸🇰;cờ: Slovakia;cờ
🇸🇱;cờ: Sierra Leone;cờ
🇸🇲;cờ: San Marino;cờ
🇸🇳;cờ: Senegal;cờ
🇸🇴;cờ: Somalia;cờ
🇸🇷;cờ: Suriname;cờ
🇸🇸;cờ: Nam Sudan;cờ
🇸🇹;cờ: São Tomé và Príncipe;cờ
🇸🇻;cờ: El Salvador;cờ
🇸🇽;cờ: Sint Maarten;cờ
🇸🇾;cờ: Syria;cờ
🇸🇿;cờ: Eswatini;cờ
🇹🇦;cờ: Tristan da Cunha;cờ
🇹🇨;cờ: Quần đảo Turks và Caicos;cờ
🇹🇩;cờ: Chad;cờ
🇹🇫;cờ: Lãnh thổ phía Nam Thuộc Pháp;cờ
🇹🇬;cờ: Togo;cờ
🇹🇭;cờ: Thái Lan;cờ
🇹🇯;cờ: Tajikistan;cờ
🇹🇰;cờ: Tokelau;cờ
🇹🇱;cờ: Timor-Leste;cờ
🇹🇲;cờ: Turkmenistan;cờ
🇹🇳;cờ: Tunisia;cờ
🇹🇴;cờ: Tonga;cờ
🇹🇷;cờ: Thổ Nhĩ Kỳ;cờ
🇹🇹;cờ: Trinidad và Tobago;cờ
🇹🇻;cờ: Tuvalu;cờ
🇹🇼;cờ: Đài Loan;cờ
🇹🇿;cờ: Tanzania;cờ
🇺🇦;cờ: Ukraina;cờ
🇺🇬;cờ: Uganda;cờ
🇺🇲;cờ: Các tiểu đảo xa của Hoa Kỳ;cờ
🇺🇳;cờ: Liên hợp quốc;cờ
🇺🇸;cờ: Hoa Kỳ;cờ
🇺🇾;cờ: Uruguay;cờ
🇺🇿;cờ: Uzbekistan;cờ
🇻🇦;cờ: Thành Vatican;cờ
🇻🇨;cờ: St. Vincent và Grenadines;cờ
🇻🇪;cờ: Venezuela;cờ
🇻🇬;cờ: Quần đảo Virgin thuộc Anh;cờ
🇻🇮;cờ: Quần đảo Virgin thuộc Hoa Kỳ;cờ
🇻🇳;cờ: Việt Nam;cờ
🇻🇺;cờ: Vanuatu;cờ
🇼🇫;cờ: Wallis và Futuna;cờ
🇼🇸;cờ: Samoa;cờ
🇽🇰;cờ: Kosovo;cờ
🇾🇪;cờ: Yemen;cờ
🇾🇹;cờ: Mayotte;cờ
🇿🇦;cờ: Nam Phi;cờ
🇿🇲;cờ: Zambia;cờ
🇿🇼;cờ: Zimbabwe;cờ
🏴󠁧󠁢󠁥󠁮󠁧󠁿;cờ: Anh Quốc;cờ
🏴󠁧󠁢󠁳󠁣󠁴󠁿;cờ: Scotland;cờ
🏴󠁧󠁢󠁷󠁬󠁳󠁿;cờ: Xứ Wales;cờ
