😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
👊;ঘুঁসি;কিল|ঘুঁসি মারা|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
🤛;বাঁদিকে ঘুঁষি মারা;ঘুঁষি|ঘুসি|বাঁদিকে
🤜;ডানদিকে ঘঁষি মারা;ঘুঁষি|ঘুঁষি মারা|ঘুসি|ডানদিকে|হাত
👏;হাত জোড় করে তালি বাজানো;শরীর|হাত|হাততালি
🙌;ব্যক্তি হাত তুলে আছে;অঙ্গভঙ্গি|আনন্দ ধ্বনি করা|উত্থিত|উদযাপন করা|শরীর|হাত
🫶;হৃদয়াকৃতির হাত;প্রেম|ভালোবাসা
👐;খোলা হাত;খোলা|জড়িয়ে ধরতে|শরীর|হাত
🤲;হাতের তালু একসাথে ওপরের দিকে;আঁজলা|দুই হাত একসাথে|দোয়া|প্রার্থনা|স্মাইলি
🤝;করমর্দন;মিট করা|রাজি|হাত|হাত মেলানো
🙏;নমস্কার;অঙ্গভঙ্গি|অনুগ্রহ করে|জানতে চাওয়া|ধন্যবাদ|মাথা নত|শরীর|হাত|হাত জোড় করা
✍️;লেখার হাত;লেখা|শরীর|হাত|হাতে লেখা
💅;নেল পলিশ;নখ|নেইল পলিশ|পালিশ|প্রসাধনী|ম্যানিকিউর|যত্ন|শরীর
🤳;সেলফি;ক্যামেরা|ফোন
💪;বাঁকানো বাইসেপস;কমিক|পেশী|বাইসেপ|ব্যায়াম|মার্শেল|শরীর
🦾;যান্ত্রিক হাত;অ্যাক্সেসিবিলিটি|কৃত্রিম|রোবটের হাত|হাত
🦿;যান্ত্রিক পা;অ্যাক্সেসিবিলিটি|কৃত্রিম|পা
🦵;পা;অঙ্গ|পদক্ষেপ|বাঁকানো পা|লাথি|হাঁটু
🦶;পায়ের পাথা;গোড়ালি|চরণ|চলাচল|পা|পায়ের পাতা|রেগে পা ছোঁড়া|লাথি|হাঁটা
👂;কান;শরীর
🦻;শ্রবণযন্ত্র সহ কান;অ্যাক্সেসিবিলিটি|কান|কানে কালা|কানে শোনার যন্ত্র|মানুষ ও শরীর|শোনার যন্ত্র|শ্রবণযন্ত্র|হিয়ারিং এইড
👃;নাক;গন্ধ|নাক গলানো|শরীর
🧠;মস্তিষ্ক;চিন্তা|বুদ্ধি|বুদ্ধিমত্তা|বুদ্ধিমান|ব্রেইন|মগজ|স্মাইলি|স্মার্ট
🫀;হৃদয়;অঙ্গ|অ্যানাটমিকাল|আন্তরিক|কেন্দ্র|পাল্স|লাল|সাহস|হার্টবিট|হৃৎস্পন্দন|হৃদযন্ত্র|হৃদিবিজ্ঞান
🫁;শ্বাসযন্ত্র;অঙ্গ|প্রশ্বাস|ফুসফুস|শ্বাস|শ্বাসত্যাগ
🦷;দাঁত;দন্ত-চিকিৎসক|দন্তচিকিত্সক|মুক্তাপূর্ণ|সাদা
🦴;হাড়;কঙ্কাল|কঙ্কালসার
👀;চোখ গুলি;চোখ|মুখ|শরীর
👁️;চোখ;শরীর
👅;জিভ;শরীর
👄;মুখ;কিস|চুমু|ঠোট|ঠোঁট|শরীর
🫦;দাঁত দিয়ে কমড়ানো ঠোঁট;অস্বস্তিকর|উদ্বেগপূর্ণ|কি করি|চিন্তিত|চুমু|ঠোঁট|প্রেমের ভান করা|ফ্লার্ট করা|বিচলিত|ভয়
👶;শিশু;নবজাতক|বাচ্চা|সদ্যজাত
🧒;বাচ্চা;বেবি|ব্যক্তি|মানুষ|যুবক|লিঙ্গ- নিরপেক্ষ|শিশু
👦;ছেলে;পুরুষ|যুবক
👧;মেয়ে;উজ্জ্বল চোখ|কন্যারাশি|কুমারী|তরুণী|মহিলা|যুবতী|রাশিচক্র
🧑;প্রাপ্তবয়স্ক;পূর্ণবয়স্ক|বড়|ব্যক্তি|মানুষ|লিঙ্গ-নিরপেক্ষ
👱;ব্যক্তি: স্বর্ণকেশী চুল;কেশ|চুল|ব্যক্তি|মানুষ|মুখ|সোনালী চুল|স্বর্ণ-কেশী ব্যক্তি|স্বর্ণকেশী
👨;পুরুষ;নর|প্রেমিক|বন্ধু|মুখ
🧔;দাড়িওয়ালা ব্যক্তি;দাড়ি|দাড়িওয়ালা|দাড়িওয়ালা পুরুষ|ব্যক্তি|মানুষ|স্মাইলি
🧔‍♂️;পুরুষ: দাড়ি;দাড়ি|পুরুষ
🧔‍♀️;মহিলা: দাড়ি;দাড়ি|মহিলা
👨‍🦰;পুরুষ: লাল চুল;নর|পুরুষ|প্রেমিক|বন্ধু|মুখ|লাল চুল
👨‍🦱;পুরুষ: কোঁকড়া চুল;কোঁকড়া চুল|নর|পুরুষ|প্রেমিক|বন্ধু|মুখ
👨‍🦳;পুরুষ: সাদা চুল;নর|পুরুষ|প্রেমিক|বন্ধু|মুখ|সাদা চুল
👨‍🦲;পুরুষ: নেড়া;নর|নেড়া|পুরুষ|প্রেমিক|বন্ধু|মুখ
👩;মহিলা;নারী|সোনালী চুলের মহিলা|স্বর্ণকেশী
👩‍🦰;মহিলা: লাল চুল;নারী|মহিলা|লাল চুল|সোনালী চুলের মহিলা|স্বর্ণকেশী
🧑‍🦰;প্রাপ্তবয়স্ক: লাল চুল;পূর্ণবয়স্ক|প্রাপ্তবয়স্ক|বড়|ব্যক্তি|মানুষ|লাল চুল|লিঙ্গ-নিরপেক্ষ
👩‍🦱;মহিলা: কোঁকড়া চুল;কোঁকড়া চুল|নারী|মহিলা|সোনালী চুলের মহিলা|স্বর্ণকেশী
🧑‍🦱;প্রাপ্তবয়স্ক: কোঁকড়া চুল;কোঁকড়া চুল|পূর্ণবয়স্ক|প্রাপ্তবয়স্ক|বড়|ব্যক্তি|মানুষ|লিঙ্গ-নিরপেক্ষ
👩‍🦳;মহিলা: সাদা চুল;নারী|মহিলা|সাদা চুল|সোনালী চুলের মহিলা|স্বর্ণকেশী
🧑‍🦳;প্রাপ্তবয়স্ক: সাদা চুল;পূর্ণবয়স্ক|প্রাপ্তবয়স্ক|বড়|ব্যক্তি|মানুষ|লিঙ্গ-নিরপেক্ষ|সাদা চুল
👩‍🦲;মহিলা: নেড়া;নারী|নেড়া|মহিলা|সোনালী চুলের মহিলা|স্বর্ণকেশী
🧑‍🦲;প্রাপ্তবয়স্ক: নেড়া;নেড়া|পূর্ণবয়স্ক|প্রাপ্তবয়স্ক|বড়|ব্যক্তি|মানুষ|লিঙ্গ-নিরপেক্ষ
👱‍♀️;মহিলা: স্বর্ণকেশী;চুল|ব্যক্তি|মহিলা|মেয়ে|স্বর্ণকেশী|স্মাইলি
👱‍♂️;পুরুষ: স্বর্ণকেশী চুল;ছেলে|পুরুষ|স্বর্ণকেশ|স্বর্ণকেশ ওয়ালা পুরুষ
🧓;বড় প্রাপ্তবয়স্ক;প্রাপ্ত বয়স্ক|বয়স্ক|ব্যক্তি|মানুষ|লিঙ্গ-নিরপেক্ষ|স্মাইলি
👴;বৃদ্ধ পুরুষ;দাদা|নানা|পুরুষ|বয়স্ক|বুড়ো|বৃদ্ধ
👵;বৃদ্ধ মহিলা;দাদী|নানী|বয়স্ক নারী
🙍;ক্রোধি ব্যক্তি;অঙ্গভঙ্গি|অসন্তুষ্ট|ইঙ্গিত|কষ্ট পাওয়া|নারী|নিরাশ হওয়া|বিষণ্ণ|ব্যক্তির ভ্রূ কুচঁকানো|ভুরু কোঁচকানো|ভ্রূ কুচঁকানো|মন খারাপ করা|হতাশ
