😀;широко улыбается;лицо|радость|смех|счастье|улыбка
🇲🇻;флаг: Мальдивы;флаг
🇲🇼;флаг: Малави;флаг
🇲🇽;флаг: Мексика;флаг
🇲🇾;флаг: Малайзия;флаг
🇲🇿;флаг: Мозамбик;флаг
🇳🇦;флаг: Намибия;флаг
🇳🇨;флаг: Новая Каледония;флаг
🇳🇪;флаг: Нигер;флаг
🇳🇫;флаг: о-в Норфолк;флаг
🇳🇬;флаг: Нигерия;флаг
🇳🇮;флаг: Никарагуа;флаг
🇳🇱;флаг: Нидерланды;флаг
🇳🇴;флаг: Норвегия;флаг
🇳🇵;флаг: Непал;флаг
🇳🇷;флаг: Науру;флаг
🇳🇺;флаг: Ниуэ;флаг
🇳🇿;флаг: Новая Зеландия;флаг
🇴🇲;флаг: Оман;флаг
🇵🇦;флаг: Панама;флаг
🇵🇪;флаг: Перу;флаг
🇵🇫;флаг: Французская Полинезия;флаг
🇵🇬;флаг: Папуа — Новая Гвинея;флаг
🇵🇭;флаг: Филиппины;флаг
🇵🇰;флаг: Пакистан;флаг
🇵🇱;флаг: Польша;флаг
🇵🇲;флаг: Сен-Пьер и Микелон;флаг
🇵🇳;флаг: о-ва Питкэрн;флаг
🇵🇷;флаг: Пуэрто-Рико;флаг
🇵🇸;флаг: Палестинские территории;флаг
🇵🇹;флаг: Португалия;флаг
🇵🇼;флаг: Палау;флаг
🇵🇾;флаг: Парагвай;флаг
🇶🇦;флаг: Катар;флаг
🇷🇪;флаг: Реюньон;флаг
🇷🇴;флаг: Румыния;флаг
🇷🇸;флаг: Сербия;флаг
🇷🇺;флаг: Россия;флаг
🇷🇼;флаг: Руанда;флаг
🇸🇦;флаг: Саудовская Аравия;флаг
🇸🇧;флаг: Соломоновы о-ва;флаг
🇸🇨;флаг: Сейшельские о-ва;флаг
🇸🇩;флаг: Судан;флаг
🇸🇪;флаг: Швеция;флаг
🇸🇬;флаг: Сингапур;флаг
🇸🇭;флаг: о-в Св. Елены;флаг
🇸🇮;флаг: Словения;флаг
🇸🇯;флаг: Шпицберген и Ян-Майен;флаг
🇸🇰;флаг: Словакия;флаг
