😀;gülən üz;gülmək|üz
➿;ikiqat spiral ilmə;ikiqat|ikiqat dalğalı sikl|ilmə|spiral
〽️;hissələri bir-birindən ayırmaq işarəsi;hissə|işarə
✳️;səkkiz tərəfli ulduz;səkkiz şüası olan ulduz simvolu|ulduz
✴️;səkkiz guşəli ulduz;ulduz
❇️;qığılcım;işıltı
©️;müəllif hüququ;
®️;qeydiyyata alınmış;qeydiyyatlı
™️;ticarət nişanı;əmtəə nişanı|işarə|tn
🫟;sıçratmaq;boya|dağıtmaq|damcılamaq|holi|maye|mürəkkəb|rəng|səliqəsizlik
*️⃣;klaviatura qapağı: *;klaviatura qapağı
0️⃣;klaviatura qapağı: 0;0|klaviatura qapağı|sıfır
1️⃣;klaviatura qapağı: 1;1|bir|klaviatura qapağı
2️⃣;klaviatura qapağı: 2;2|iki|klaviatura qapağı
3️⃣;klaviatura qapağı: 3;3|klaviatura qapağı|üç
4️⃣;klaviatura qapağı: 4;4|dörd|klaviatura qapağı
5️⃣;klaviatura qapağı: 5;5|beş|klaviatura qapağı
6️⃣;klaviatura qapağı: 6;6|altı|klaviatura qapağı
7️⃣;klaviatura qapağı: 7;7|klaviatura qapağı|yeddi
8️⃣;klaviatura qapağı: 8;8|klaviatura qapağı|səkkiz
9️⃣;klaviatura qapağı: 9;9|doqquz|klaviatura qapağı
🔟;klaviatura qapağı: 10;klaviatura qapağı
🔠;böyük hərflərlə latın daxiletməsi;böyük hərf|daxiletmə|hərflər|latın
🔡;kiçik hərflərlə latın daxiletməsi;abcd|daxiletmə|hərflər|kiçik hərf|latın
🔢;daxiletmə rəqəmləri;1234|daxiletmə|rəqəmlər
🔣;daxiletmə simvolları;daxiletmə
🔤;latın hərfləri daxiletməsi;abc|daxiletmə|əlifba|hərflər|kiçik hərflərlə latın daxiletməsi|latın
🅰️;a düyməsi;a|qan
🆎;ab düyməsi;ab|qan
🅱️;b düyməsi;b|qan|qan növü
🆑;kvadrat cl düyməsi;cl|cl düyməsi
🆒;kvadrat əla düyməsi;"əla" düyməsi|əla
🆓;kvadrat ödənişsiz;ödənişsiz|ödənişsiz düyməsi
ℹ️;məlumat;i|informasiya
🆔;kimlik düyməsi;id|kimlik|kimlik simvolu
Ⓜ️;dairə içində M;dairə|dairəvi m hərfi|m|metro
🆕;yeni düyməsi;yeni
🆖;NG düyməsi;ng
🅾️;o düyməsi;o|qan
🆗;OK düyməsi;OK
🅿️;p düyməsi;parkinq
🆘;SOS düyməsi;kömək|sos|sos işarəsi|yardım
🆙;YUXARI! düyməsi;işarə|yuxarı|yuxarı işarəsi|yuxarı! düyməsi
🆚;QARŞI düyməsi;qarşı|qarşı düyməsi|və|vs
🈁;kvadrat katakana koko;yapon|yapon dilində "burada" düyməsi
🈂️;kvadrat katakana sa;katakana|yapon
🈷️;yapon "aylıq məbləğ" düyməsi;"aylıq məbləğ"|ideoqram|Japanese|yapon dilində ay ideoqramı düyməsi|月
🈶;yapon "pulsuz deyil" düyməsi;"pulsuz deyil"|ideoqram|pulsuz deyil|yapon|有
🈯;yapon "məxsusdur" düyməsi;"məxsusdur"|ideoqram|yapon|yapon dilində "rezerv edilib" düyməsi|指
🉐;yapon "yaxşı sövdələşmə" düyməsi;"sövdələşmə"|ideoqram|yapon|yapon dilində "sövdələşmə" düyməsi|得
🈹;kvadrat bölmə ideoqramı;ideoqram|yapon|yapon dilində "endirim" düyməsi
🈚;yapon "pulsuzdur" düyməsi;"pulsuzdur"|ideoqram|yapon|yapon dilində "pulsuzdur" düyməsi|無
🈲;kvadrat qadağa ideoqramı;ideoqram|yapon|yapon dilində "qadağandır" düyməsi
🉑;yapon "qəbul edilə bilən" düyməsi;"qəbul edilə bilən"|ideoqram|yapon|yapon dilində "qəbul edilir" düyməsi|可
🈸;kvadrat tətbiq ideoqramı;çin|ideoqram|yapon dilində "tətbiqetmə" düyməsi
🈴;yapon "keçən qiymət" düyməsi;"keçən qiymət"|ideoqram|yapon|yapon dilində "imtahandan keçmək" düyməsi|yaponların "imtahandan keçmək" işarəsi|合
🈳;kvadrat boş ideoqramı;çin|ideoqram|yapon dilində "vakansiya var" düyməsi
㊗️;yapon "təbriklər" düyməsi;"təbriklər"|çin|ideoqram|təbriklər|təbriklər düyməsi|yapon|祝
㊙️;yapon "məxfi" düyməsi;"məxfi"|çin|ideoqram|sirr|sirr düyməsi|yapon|秘
🈺;yapon "iş" düyməsi;"iş"|ideoqram|yapon|yapon dilində "biznes üçün açıqdır" düyməsi|営
🈵;yapon "tamamilə dolu" düyməsi;"tamamilə dolu"|ideoqram|yapon|yapon dilində "vakansiya yoxdur" düyməsi|満
🔴;qırmızı dairə;dairə|həndəsi|qırmızı
🟠;narıncı dairə;dairə|narıncı|narıncı çevrə
🟡;sarı dairə;dairə|sarı|sarı çevrə
🟢;yaşıl dairə;dairə|yaşıl|yaşıl çevrə
🔵;mavi dairə;dairə|həndəsi|mavi
🟣;bənövşəyi dairə;bənövşəyi|bənövşəyi çevrə|dairə
🟤;qəhvəyi dairə;dairə|qəhvəyi|qəhvəyi çevrə
⚫;qara dairə;dairə|həndəsi
⚪;ağ dairə;dairə|həndəsi
🟥;qırmızı kvadrat;kvadrat|qırmızı
🟧;narıncı kvadrat;kvadrat|narıncı
🟨;sarı kvadrat;kvadrat|sarı
🟩;yaşıl kvadrat;kvadrat|yaşıl
🟦;göy kvadrat;göy|kvadrat
🟪;bənövşəyi kvadrat;bənövşəyi|kvadrat
🟫;qəhvəyi kvadrat;kvadrat|qəhvəyi
⬛;qara böyük kvadrat;həndəsi|kvadrat
⬜;ağ böyük kvadrat;həndəsi|kvadrat
◼️;qara orta ölçülü kvadrat;həndəsi|kvadrat
◻️;ağ orta ölçülü kvadrat;həndəsi|kvadrat
◾;qara orta-kiçik kvadrat;həndəsi|kvadrat|qara orta kiçiklikdə kvadrat
◽;ağ orta kiçiklikdə kvadrat;həndəsi|kvadrat
▪️;qara balaca kvadrat;həndəsi|kvadrat|qara rəngli kiçik kvadrat
▫️;ağ balaca kvadrat;ağ rəngli kiçik kvadrat|həndəsi|kvadrat
🔶;böyük narıncı romb;brilyant|həndəsi|narıncı
🔷;böyük mavi romb;həndəsi|mavi|romb
🔸;balaca narıncı romb;brilyant|həndəsi|narıncı
🔹;balaca mavi romb;həndəsi|mavi|romb
🔺;yuxarı yönəlmiş qırmızı üçbucaq;həndəsi|qırmızı
🔻;aşağı yönəlmiş qırmızı üçbucaq;aşağı|həndəsi|qırmızı
💠;nöqtəli romb;brilyant|daxili|həndəsi|komik|romb
🔘;radio düyməsi;düymə|həndəsi|radio
🔳;ağ kvadrat düymə;ağ kvadrat düyməsi|düymə|göstərilmiş|həndəsi|kvadrat
🔲;qara kvadrat düymə;düymə|həndəsi|kvadrat|kvadrat işarəsi|qara kvadrat düyməsi
🏁;damalı bayraq;dama-dama|damalı|yarış
🚩;üçbucaq bayraq;poçt|quruculuq|üçbucaq formalı bayraq
🎌;kəsişən bayraqlar;bayram|kəsişən|xaç|yapon
🏴;qara bayraq;dalğalanan|dalğalanan qara bayraq
🏳️;ağ bayraq;dalğalanan|dalğalanan ağ bayraq
🏳️‍🌈;göy qurşağı bayrağı;bayraq|göy qurşağı|lgbt bayrağı
🏳️‍⚧️;göy, çəhrayı və ağ bayraq;bayraq|çəhrayı və ağ bayraq|göy|transgender
🏴‍☠️;quldur bayrağı;cəvahirat|pirat|quldur|Şən Roger
🇦🇨;bayraq: Askenson adası;bayraq
🇦🇩;bayraq: Andorra;bayraq
🇦🇪;bayraq: Birləşmiş Ərəb Əmirlikləri;bayraq
🇦🇫;bayraq: Əfqanıstan;bayraq
🇦🇬;bayraq: Antiqua və Barbuda;bayraq
🇦🇮;bayraq: Angilya;bayraq
🇦🇱;bayraq: Albaniya;bayraq
🇦🇲;bayraq: Ermənistan;bayraq
🇦🇴;bayraq: Anqola;bayraq
🇦🇶;bayraq: Antarktika;bayraq
🇦🇷;bayraq: Argentina;bayraq
🇦🇸;bayraq: Amerika Samoası;bayraq
🇦🇹;bayraq: Avstriya;bayraq
🇦🇺;bayraq: Avstraliya;bayraq
🇦🇼;bayraq: Aruba;bayraq
🇦🇽;bayraq: Aland adaları;bayraq
🇦🇿;bayraq: Azərbaycan;bayraq
🇧🇦;bayraq: Bosniya və Herseqovina;bayraq
🇧🇧;bayraq: Barbados;bayraq
🇧🇩;bayraq: Banqladeş;bayraq
🇧🇪;bayraq: Belçika;bayraq
🇧🇫;bayraq: Burkina Faso;bayraq
🇧🇬;bayraq: Bolqarıstan;bayraq
🇧🇭;bayraq: Bəhreyn;bayraq
🇧🇮;bayraq: Burundi;bayraq
🇧🇯;bayraq: Benin;bayraq
🇧🇱;bayraq: Sent-Bartelemi;bayraq
🇧🇲;bayraq: Bermud adaları;bayraq
🇧🇳;bayraq: Bruney;bayraq
🇧🇴;bayraq: Boliviya;bayraq
🇧🇶;bayraq: Karib Niderlandı;bayraq
🇧🇷;bayraq: Braziliya;bayraq
🇧🇸;bayraq: Baham adaları;bayraq
🇧🇹;bayraq: Butan;bayraq
🇧🇻;bayraq: Buve adası;bayraq
🇧🇼;bayraq: Botsvana;bayraq
🇧🇾;bayraq: Belarus;bayraq
🇧🇿;bayraq: Beliz;bayraq
🇨🇦;bayraq: Kanada;bayraq
🇨🇨;bayraq: Kokos (Kilinq) adaları;bayraq
🇨🇩;bayraq: Konqo - Kinşasa;bayraq
🇨🇫;bayraq: Mərkəzi Afrika Respublikası;bayraq
🇨🇬;bayraq: Konqo - Brazzavil;bayraq
🇨🇭;bayraq: İsveçrə;bayraq
🇨🇮;bayraq: Kotd’ivuar;bayraq
🇨🇰;bayraq: Kuk adaları;bayraq
🇨🇱;bayraq: Çili;bayraq
🇨🇲;bayraq: Kamerun;bayraq
🇨🇳;bayraq: Çin;bayraq
🇨🇴;bayraq: Kolumbiya;bayraq
🇨🇵;bayraq: Klipperton adası;bayraq
🇨🇶;bayraq: sark (ingilis dili) dialekti;bayraq
🇨🇷;bayraq: Kosta Rika;bayraq
🇨🇺;bayraq: Kuba;bayraq
🇨🇻;bayraq: Kabo-Verde;bayraq
🇨🇼;bayraq: Kurasao;bayraq
🇨🇽;bayraq: Milad adası;bayraq
🇨🇾;bayraq: Kipr;bayraq
🇨🇿;bayraq: Çexiya;bayraq
🇩🇪;bayraq: Almaniya;bayraq
🇩🇬;bayraq: Dieqo Qarsiya;bayraq
🇩🇯;bayraq: Cibuti;bayraq
🇩🇰;bayraq: Danimarka;bayraq
🇩🇲;bayraq: Dominika;bayraq
🇩🇴;bayraq: Dominikan Respublikası;bayraq
🇩🇿;bayraq: Əlcəzair;bayraq
🇪🇦;bayraq: Seuta və Melilya;bayraq
🇪🇨;bayraq: Ekvador;bayraq
🇪🇪;bayraq: Estoniya;bayraq
🇪🇬;bayraq: Misir;bayraq
🇪🇭;bayraq: Qərbi Saxara;bayraq
🇪🇷;bayraq: Eritreya;bayraq
🇪🇸;bayraq: İspaniya;bayraq
🇪🇹;bayraq: Efiopiya;bayraq
🇪🇺;bayraq: Avropa Birliyi;bayraq
🇫🇮;bayraq: Finlandiya;bayraq
🇫🇯;bayraq: Fici;bayraq
🇫🇰;bayraq: Folklend adaları;bayraq
🇫🇲;bayraq: Mikroneziya;bayraq
🇫🇴;bayraq: Farer adaları;bayraq
🇫🇷;bayraq: Fransa;bayraq
🇬🇦;bayraq: Qabon;bayraq
🇬🇧;bayraq: Birləşmiş Krallıq;bayraq
🇬🇩;bayraq: Qrenada;bayraq
🇬🇪;bayraq: Gürcüstan;bayraq
🇬🇫;bayraq: Fransa Qvianası;bayraq
🇬🇬;bayraq: Gernsi;bayraq
🇬🇭;bayraq: Qana;bayraq
🇬🇮;bayraq: Cəbəllütariq;bayraq
🇬🇱;bayraq: Qrenlandiya;bayraq
🇬🇲;bayraq: Qambiya;bayraq
🇬🇳;bayraq: Qvineya;bayraq
🇬🇵;bayraq: Qvadelupa;bayraq
🇬🇶;bayraq: Ekvatorial Qvineya;bayraq
🇬🇷;bayraq: Yunanıstan;bayraq
🇬🇸;bayraq: Cənubi Corciya və Cənubi Sendviç adaları;bayraq
🇬🇹;bayraq: Qvatemala;bayraq
🇬🇺;bayraq: Quam;bayraq
🇬🇼;bayraq: Qvineya-Bisau;bayraq
🇬🇾;bayraq: Qayana;bayraq
🇭🇰;bayraq: Honq Konq Xüsusi İnzibati Rayonu Çin;bayraq
🇭🇲;bayraq: Herd və Makdonald adaları;bayraq
🇭🇳;bayraq: Honduras;bayraq
🇭🇷;bayraq: Xorvatiya;bayraq
🇭🇹;bayraq: Haiti;bayraq
🇭🇺;bayraq: Macarıstan;bayraq
🇮🇨;bayraq: Kanar adaları;bayraq
🇮🇩;bayraq: İndoneziya;bayraq
🇮🇪;bayraq: İrlandiya;bayraq
🇮🇱;bayraq: İsrail;bayraq
🇮🇲;bayraq: Men adası;bayraq
🇮🇳;bayraq: Hindistan;bayraq
🇮🇴;bayraq: Britaniyanın Hind Okeanı Ərazisi;bayraq
🇮🇶;bayraq: İraq;bayraq
🇮🇷;bayraq: İran;bayraq
🇮🇸;bayraq: İslandiya;bayraq
🇮🇹;bayraq: İtaliya;bayraq
🇯🇪;bayraq: Cersi;bayraq
🇯🇲;bayraq: Yamayka;bayraq
🇯🇴;bayraq: İordaniya;bayraq
🇯🇵;bayraq: Yaponiya;bayraq
🇰🇪;bayraq: Keniya;bayraq
🇰🇬;bayraq: Qırğızıstan;bayraq
🇰🇭;bayraq: Kamboca;bayraq
🇰🇮;bayraq: Kiribati;bayraq
🇰🇲;bayraq: Komor adaları;bayraq
🇰🇳;bayraq: Sent-Kits və Nevis;bayraq
🇰🇵;bayraq: Şimali Koreya;bayraq
🇰🇷;bayraq: Cənubi Koreya;bayraq
🇰🇼;bayraq: Küveyt;bayraq
🇰🇾;bayraq: Kayman adaları;bayraq
🇰🇿;bayraq: Qazaxıstan;bayraq
🇱🇦;bayraq: Laos;bayraq
🇱🇧;bayraq: Livan;bayraq
🇱🇨;bayraq: Sent-Lusiya;bayraq
🇱🇮;bayraq: Lixtenşteyn;bayraq
🇱🇰;bayraq: Şri-Lanka;bayraq
🇱🇷;bayraq: Liberiya;bayraq
🇱🇸;bayraq: Lesoto;bayraq
🇱🇹;bayraq: Litva;bayraq
🇱🇺;bayraq: Lüksemburq;bayraq
🇱🇻;bayraq: Latviya;bayraq
🇱🇾;bayraq: Liviya;bayraq
🇲🇦;bayraq: Mərakeş;bayraq
🇲🇨;bayraq: Monako;bayraq
🇲🇩;bayraq: Moldova;bayraq
🇲🇪;bayraq: Monteneqro;bayraq
🇲🇫;bayraq: Sent Martin;bayraq
🇲🇬;bayraq: Madaqaskar;bayraq
🇲🇭;bayraq: Marşal adaları;bayraq
🇲🇰;bayraq: Şimali Makedoniya;bayraq
🇲🇱;bayraq: Mali;bayraq
🇲🇲;bayraq: Myanma;bayraq
🇲🇳;bayraq: Monqolustan;bayraq
🇲🇴;bayraq: Makao XİR Çin;bayraq
🇲🇵;bayraq: Şimali Marian adaları;bayraq
🇲🇶;bayraq: Martinik;bayraq
🇲🇷;bayraq: Mavritaniya;bayraq
🇲🇸;bayraq: Monserat;bayraq
🇲🇹;bayraq: Malta;bayraq
🇲🇺;bayraq: Mavriki;bayraq
🇲🇻;bayraq: Maldiv adaları;bayraq
🇲🇼;bayraq: Malavi;bayraq
🇲🇽;bayraq: Meksika;bayraq
🇲🇾;bayraq: Malayziya;bayraq
🇲🇿;bayraq: Mozambik;bayraq
🇳🇦;bayraq: Namibiya;bayraq
🇳🇨;bayraq: Yeni Kaledoniya;bayraq
🇳🇪;bayraq: Niger;bayraq
🇳🇫;bayraq: Norfolk adası;bayraq
🇳🇬;bayraq: Nigeriya;bayraq
🇳🇮;bayraq: Nikaraqua;bayraq
🇳🇱;bayraq: Niderland;bayraq
🇳🇴;bayraq: Norveç;bayraq
🇳🇵;bayraq: Nepal;bayraq
🇳🇷;bayraq: Nauru;bayraq
🇳🇺;bayraq: Niue;bayraq
🇳🇿;bayraq: Yeni Zelandiya;bayraq
🇴🇲;bayraq: Oman;bayraq
🇵🇦;bayraq: Panama;bayraq
🇵🇪;bayraq: Peru;bayraq
🇵🇫;bayraq: Fransa Polineziyası;bayraq
🇵🇬;bayraq: Papua-Yeni Qvineya;bayraq
🇵🇭;bayraq: Filippin;bayraq
🇵🇰;bayraq: Pakistan;bayraq
🇵🇱;bayraq: Polşa;bayraq
🇵🇲;bayraq: Müqəddəs Pyer və Mikelon;bayraq
🇵🇳;bayraq: Pitkern adaları;bayraq
🇵🇷;bayraq: Puerto Riko;bayraq
🇵🇸;bayraq: Fələstin Əraziləri;bayraq
🇵🇹;bayraq: Portuqaliya;bayraq
🇵🇼;bayraq: Palau;bayraq
🇵🇾;bayraq: Paraqvay;bayraq
🇶🇦;bayraq: Qətər;bayraq
🇷🇪;bayraq: Reyunyon;bayraq
🇷🇴;bayraq: Rumıniya;bayraq
🇷🇸;bayraq: Serbiya;bayraq
🇷🇺;bayraq: Rusiya;bayraq
🇷🇼;bayraq: Ruanda;bayraq
🇸🇦;bayraq: Səudiyyə Ərəbistanı;bayraq
🇸🇧;bayraq: Solomon adaları;bayraq
🇸🇨;bayraq: Seyşel adaları;bayraq
🇸🇩;bayraq: Sudan;bayraq
🇸🇪;bayraq: İsveç;bayraq
🇸🇬;bayraq: Sinqapur;bayraq
🇸🇭;bayraq: Müqəddəs Yelena;bayraq
🇸🇮;bayraq: Sloveniya;bayraq
🇸🇯;bayraq: Svalbard və Yan-Mayen;bayraq
🇸🇰;bayraq: Slovakiya;bayraq
🇸🇱;bayraq: Syerra-Leone;bayraq
🇸🇲;bayraq: San-Marino;bayraq
🇸🇳;bayraq: Seneqal;bayraq
🇸🇴;bayraq: Somali;bayraq
🇸🇷;bayraq: Surinam;bayraq
🇸🇸;bayraq: Cənubi Sudan;bayraq
🇸🇹;bayraq: San-Tome və Prinsipi;bayraq
🇸🇻;bayraq: Salvador;bayraq
🇸🇽;bayraq: Sint-Marten;bayraq
🇸🇾;bayraq: Suriya;bayraq
🇸🇿;bayraq: Esvatini;bayraq
🇹🇦;bayraq: Tristan da Kunya;bayraq
🇹🇨;bayraq: Törks və Kaykos adaları;bayraq
🇹🇩;bayraq: Çad;bayraq
🇹🇫;bayraq: Fransanın Cənub Əraziləri;bayraq
🇹🇬;bayraq: Toqo;bayraq
🇹🇭;bayraq: Tailand;bayraq
🇹🇯;bayraq: Tacikistan;bayraq
🇹🇰;bayraq: Tokelau;bayraq
🇹🇱;bayraq: Şərqi Timor;bayraq
🇹🇲;bayraq: Türkmənistan;bayraq
🇹🇳;bayraq: Tunis;bayraq
🇹🇴;bayraq: Tonqa;bayraq
🇹🇷;bayraq: Türkiyə;bayraq
🇹🇹;bayraq: Trinidad və Tobaqo;bayraq
🇹🇻;bayraq: Tuvalu;bayraq
🇹🇼;bayraq: Tayvan;bayraq
🇹🇿;bayraq: Tanzaniya;bayraq
🇺🇦;bayraq: Ukrayna;bayraq
🇺🇬;bayraq: Uqanda;bayraq
🇺🇲;bayraq: ABŞ-a bağlı kiçik adacıqlar;bayraq
🇺🇳;bayraq: Birləşmiş Millətlər Təşkilatı;bayraq
🇺🇸;bayraq: Amerika Birləşmiş Ştatları;bayraq
🇺🇾;bayraq: Uruqvay;bayraq
🇺🇿;bayraq: Özbəkistan;bayraq
🇻🇦;bayraq: Vatikan;bayraq
🇻🇨;bayraq: Sent-Vinsent və Qrenadinlər;bayraq
🇻🇪;bayraq: Venesuela;bayraq
🇻🇬;bayraq: Britaniyanın Virgin adaları;bayraq
🇻🇮;bayraq: ABŞ Virgin adaları;bayraq
🇻🇳;bayraq: Vyetnam;bayraq
🇻🇺;bayraq: Vanuatu;bayraq
🇼🇫;bayraq: Uollis və Futuna;bayraq
🇼🇸;bayraq: Samoa;bayraq
🇽🇰;bayraq: Kosovo;bayraq
🇾🇪;bayraq: Yəmən;bayraq
🇾🇹;bayraq: Mayot;bayraq
🇿🇦;bayraq: Cənub Afrika;bayraq
🇿🇲;bayraq: Zambiya;bayraq
🇿🇼;bayraq: Zimbabve;bayraq
🏴󠁧󠁢󠁥󠁮󠁧󠁿;bayraq: İngiltərə;bayraq
🏴󠁧󠁢󠁳󠁣󠁴󠁿;bayraq: Şotlandiya;bayraq
🏴󠁧󠁢󠁷󠁬󠁳󠁿;bayraq: Uels;bayraq
