😀;nevető arc;arc|boldog|fogak|nevetés|szmájli|vidám
🔱;háromágú szigony;embléma|hajó|horgony|jel|szigony|vasmacska
📛;kitűző;jelvény|név|névjegytábla
🔰;a kezdő japán szimbóluma;japán|kezdő|levél|sárga|zöld
⭕;nagy, vastag kör;alakzat|kör|nagy|o|piros kör|vastag kör
✅;vastag fehér pipa;jel|kész|pipa
☑️;jelölőnégyzet pipával;kész|kipipál|négyzet|pipa|szavazás
✔️;vastag pipa;jel|kész|pipa
❌;áthúzásjel;jel|mégse|szorzás|x
❎;áthúzásjel gomb;bekeretezett|jel|négyzet|szoroz|szorzás|x
➰;hurok;
➿;dupla hurok;dupla|hurok
〽️;részelválasztó;jel|rész|választó
✳️;nyolcágú csillag;csillag
✴️;nyolcas csillag;csillag|nyolcágú csillag
❇️;szikra;
©️;copyright (szerzői jog által védett);szerzői jog|védett
®️;registered (bejegyzett);bejegyzett|védjegy
™️;védjegy;bejegyzett védjegy|tm
🫟;fröccsenés;csepp|festék|folt|folyadék|kiömlik|rendetlenség|tinta
*️⃣;gombfej: *;gombfej
0️⃣;gombfej: 0;0|gombfej|nulla
1️⃣;gombfej: 1;1|egy|gombfej
2️⃣;gombfej: 2;2|gombfej|kettő
3️⃣;gombfej: 3;3|gombfej|három
4️⃣;gombfej: 4;4|gombfej|négy
5️⃣;gombfej: 5;5|gombfej|öt
6️⃣;gombfej: 6;6|gombfej|hat
7️⃣;gombfej: 7;7|gombfej|hét
8️⃣;gombfej: 8;8|gombfej|nyolc
9️⃣;gombfej: 9;9|gombfej|kilenc
🔟;gombfej: 10;gombfej
🔠;latin nagybetűs bevitel;abcd|betűk|bevitel|latin|nagybetűs
🔡;latin kisbetűs bevitel;abcd|betűk|bevitel|kisbetűs|latin
🔢;számbevitel;1234|bevitel|számok
🔣;szimbólumok bevitele;bevitel|szimbólum
🔤;latin betűk bevitele;abc|betűk|bevitel|gomb|latin
🅰️;A gomb (vércsoport);a|gomb|vércsoport|vértípus
🆎;AB gomb (vércsoport);ab|ab gomb|vércsoport|vértípus
🅱️;B gomb (vércsoport);b|gomb|vércsoport|vértípus
🆑;CL gomb;bekeretezett „cl” rövidítés|cl|gomb
🆒;COOL gomb;bekeretezett „cool” szó|cool|gomb|laza
🆓;FREE gomb;bekeretezett „free” szó|free|ingyen|ingyenes|szabad
ℹ️;információforrás;i|információ|tájékoztatás
🆔;ID gomb;azonosítás|bekeretezett „id” rövidítés|id|identitás
Ⓜ️;bekarikázott M betű;kör|m|metró
🆕;NEW gomb;bekeretezett „new” szó|gomb|new|új
🆖;NG gomb;bekeretezett „ng” rövidítés|gomb|ng
🅾️;0 gomb (vércsoport);0|gomb|vércsoport|vértípus
🆗;OK gomb;bekeretezett „ok” szó|ok|rendben
🅿️;P gomb;parkolás|parkoló
🆘;SOS gomb;gomb|segélykérés|segítség|sos
🆙;UP! gomb;„up!” gomb|fel|jel|up
🆚;VS gomb;bekeretezett „vs” rövidítés|ellen|ellenfél|kontra|szemben|versus|vs
🈁;japán „itt” gomb;„itt”|bekeretezett „itt” katakana|japán|katakana|ココ
🈂️;japán „szervizdíj” gomb;„szervizdíj”|„szervízköltség”|bekeretezett „szervízköltség” katakana|japán|katakana|サ
🈷️;japán „havi összeg” gomb;„havi összeg”|bekeretezett „havi összeg” képírásjel|gomb|havi összeg|japán|képírásjel|月
🈶;japán „nem ingyenes” gomb;„nem ingyenes”|bekeretezett „nem díjmentes” képírásjel|fizetős|gomb|japán|képírásjel|nem díjmentes|有
🈯;japán „foglalt” gomb;„foglalt”|bekeretezett „foglalt” képírásjel|foglalt|japán|képírásjel|指
🉐;japán „alkalmi vétel” gomb;„alkalmi vétel”|alku|bekarikázott „alku” képírásjel|japán|képírásjel|得
🈹;japán „engedmény” gomb;„engedmény”|bekeretezett „engedmény” képírásjel|japán|képírásjel|割
🈚;japán „ingyenes” gomb;“díjmentes”|„ingyenes”|bekeretezett “díjmentes” képírásjel|japán|képírásjel|無
🈲;japán „tiltott” gomb;„tiltott”|bekeretezett „tiltás” képírásjel|japán|képírásjel|tilos|禁
🉑;japán „elfogadás” gomb;„elfogadás”|„elfogadható”|bekarikázott „elfogadás” képírásjel|japán|képírásjel|可
🈸;japán „alkalmazás” gomb;„alkalmazás”|bekeretezett „alkalmazás” képírásjel|gomb|japán|képírásjel|申
🈴;japán „minimális pontszám” gomb;„minimális pontszám”|bekeretezett „megfelelt” képírásjel|japán|képírásjel|合
🈳;japán „megüresedés” gomb;„megüresedés”|bekeretezett „üres” képírásjel|japán|képírásjel|空
㊗️;japán „gratuláció” gomb;„gratuláció”|bekarikázott „gratuláció” képírásjel|gratuláció|gratulálok|japán|képírásjel|祝
㊙️;japán „titok” gomb;„titok”|bekarikázott „titok” képírásjel|japán|képírásjel|titok|秘
🈺;japán „működik” gomb;„működik”|bekeretezett „működik” képírásjel|gomb|japán|képírásjel|nyitva|営
🈵;japán „megtelt” gomb;„megtelt”|bekeretezett „teli” képírásjel|japán|képírásjel|満
🔴;piros kör;alakzat|kör|piros
🟠;narancssárga kör;kör|narancssárga
🟡;sárga kör;kör|sárga
🟢;zöld kör;kör|zöld
🔵;kék kör;alakzat|kék|kör
🟣;lila kör;kör|lila
🟤;barna kör;barna|kör
⚫;fekete kör;alakzat|geometriai|kör
⚪;fehér kör;alakzat|kör
🟥;vörös négyzet;négyzet|piros|vörös
🟧;narancssárga négyzet;narancssárga|négyzet
🟨;sárga négyzet;négyzet|sárga
🟩;zöld négyzet;négyzet|zöld
🟦;kék négyzet;kék|négyzet
🟪;lila négyzet;lila|négyzet
🟫;barna négyzet;barna|négyzet
⬛;nagy fekete négyzet;alakzat|geometria|négyzet
⬜;nagy fehér négyzet;geometria|négyzet
◼️;közepes fekete négyzet;fekete négyzet|geometria|négyzet
◻️;közepes fehér négyzet;alakzat|geometria|négyzet
◾;kis-közepes fekete négyzet;alakzat|fekete|geometria|négyzet
◽;kis-közepes fehér négyzet;alakzat|geometria|négyzet
▪️;kis fekete négyzet;alakzat|fekete négyzet|geometria|négyzet
▫️;kis fehér négyzet;alakzat|geometria|négyzet
🔶;nagy narancssárga rombusz;alakzat|geometria|narancs|rombusz
🔷;nagy kék rombusz;alakzat|geometria|kék|rombusz
🔸;kis narancssárga rombusz;alakzat|geometria|narancs|rombusz
🔹;kis kék rombusz;alakzat|geometria|kék|rombusz
🔺;fölfelé mutató piros háromszög;alakzat|felfelé|felfelé mutató piros háromszög|geometriai alakzat|háromszög|piros
🔻;lefelé mutató piros háromszög;alakzat|geometriai|háromszög|lefelé|piros
💠;rombusz ponttal;alakzat|geometriai|gyémánt ponttal|képregény|rombusz
🔘;választógomb;gomb|rádiógomb|választó
🔳;fehér, négyzet alakú gomb;alakzat|bekeretezett|fehér|geometriai|gomb|négyzet|négyzet alakú gomb
🔲;fekete, négyzet alakú gomb;fekete|gomb|négyzet|négyzet alakú gomb
🏁;kockás zászló;autóverseny|cél|Forma-1|kockás|sport|versenyzés|zászló
🚩;háromszög alakú zászló;építkezés|golf|piros zászló|posta|zászló|zászlórúd
🎌;keresztbe tett zászlók;japán|keresztbe tett|ünnep|ünnepi hangulat|ünneplés|zászlók
🏴;lengő fekete zászló;halál|lengő|zászló
🏳️;lengő fehér zászló;fegyverszünet|leng|lengő|megadás|zászló
🏳️‍🌈;szivárványszínű zászló;aszexuális|biszexuális|büszke|büszkeség|homoszexuális|interszexuális|kérdéses|kíváncsi|leszbikus|LGBT|LMBT|meleg|omniszexuális|pánszexuális|szivárvány|szivárványszínű|transznemű|transzszexuális|zászló
🏳️‍⚧️;transznemű zászló;transznemű|zászló
🏴‍☠️;kalózzászló;fosztogató|Jolly Roger|kalóz|kincs
🇦🇨;zászló: Ascension-sziget;zászló
🇦🇩;zászló: Andorra;zászló
🇦🇪;zászló: Egyesült Arab Emírségek;zászló
🇦🇫;zászló: Afganisztán;zászló
🇦🇬;zászló: Antigua és Barbuda;zászló
🇦🇮;zászló: Anguilla;zászló
🇦🇱;zászló: Albánia;zászló
🇦🇲;zászló: Örményország;zászló
🇦🇴;zászló: Angola;zászló
🇦🇶;zászló: Antarktisz;zászló
🇦🇷;zászló: Argentína;zászló
🇦🇸;zászló: Amerikai Szamoa;zászló
🇦🇹;zászló: Ausztria;zászló
🇦🇺;zászló: Ausztrália;zászló
🇦🇼;zászló: Aruba;zászló
🇦🇽;zászló: Åland-szigetek;zászló
🇦🇿;zászló: Azerbajdzsán;zászló
🇧🇦;zászló: Bosznia-Hercegovina;zászló
🇧🇧;zászló: Barbados;zászló
🇧🇩;zászló: Banglades;zászló
🇧🇪;zászló: Belgium;zászló
🇧🇫;zászló: Burkina Faso;zászló
🇧🇬;zászló: Bulgária;zászló
🇧🇭;zászló: Bahrein;zászló
🇧🇮;zászló: Burundi;zászló
🇧🇯;zászló: Benin;zászló
🇧🇱;zászló: Saint-Barthélemy;zászló
🇧🇲;zászló: Bermuda;zászló
🇧🇳;zászló: Brunei;zászló
🇧🇴;zászló: Bolívia;zászló
🇧🇶;zászló: Holland Karib-térség;zászló
🇧🇷;zászló: Brazília;zászló
🇧🇸;zászló: Bahama-szigetek;zászló
🇧🇹;zászló: Bhután;zászló
🇧🇻;zászló: Bouvet-sziget;zászló
🇧🇼;zászló: Botswana;zászló
🇧🇾;zászló: Belarusz;zászló
🇧🇿;zászló: Belize;zászló
🇨🇦;zászló: Kanada;zászló
🇨🇨;zászló: Kókusz (Keeling)-szigetek;zászló
🇨🇩;zászló: Kongó – Kinshasa;zászló
🇨🇫;zászló: Közép-afrikai Köztársaság;zászló
🇨🇬;zászló: Kongó – Brazzaville;zászló
🇨🇭;zászló: Svájc;zászló
🇨🇮;zászló: Elefántcsontpart;zászló
🇨🇰;zászló: Cook-szigetek;zászló
🇨🇱;zászló: Chile;zászló
🇨🇲;zászló: Kamerun;zászló
🇨🇳;zászló: Kína;zászló
🇨🇴;zászló: Kolumbia;zászló
🇨🇵;zászló: Clipperton-sziget;zászló
🇨🇶;zászló: Sark;zászló
🇨🇷;zászló: Costa Rica;zászló
🇨🇺;zászló: Kuba;zászló
🇨🇻;zászló: Zöld-foki Köztársaság;zászló
🇨🇼;zászló: Curaçao;zászló
🇨🇽;zászló: Karácsony-sziget;zászló
🇨🇾;zászló: Ciprus;zászló
🇨🇿;zászló: Csehország;zászló
🇩🇪;zászló: Németország;zászló
🇩🇬;zászló: Diego Garcia;zászló
🇩🇯;zászló: Dzsibuti;zászló
🇩🇰;zászló: Dánia;zászló
🇩🇲;zászló: Dominika;zászló
🇩🇴;zászló: Dominikai Köztársaság;zászló
🇩🇿;zászló: Algéria;zászló
🇪🇦;zászló: Ceuta és Melilla;zászló
🇪🇨;zászló: Ecuador;zászló
🇪🇪;zászló: Észtország;zászló
🇪🇬;zászló: Egyiptom;zászló
🇪🇭;zászló: Nyugat-Szahara;zászló
🇪🇷;zászló: Eritrea;zászló
🇪🇸;zászló: Spanyolország;zászló
🇪🇹;zászló: Etiópia;zászló
🇪🇺;zászló: Európai Unió;zászló
🇫🇮;zászló: Finnország;zászló
🇫🇯;zászló: Fidzsi;zászló
🇫🇰;zászló: Falkland-szigetek;zászló
🇫🇲;zászló: Mikronézia;zászló
🇫🇴;zászló: Feröer szigetek;zászló
🇫🇷;zászló: Franciaország;zászló
🇬🇦;zászló: Gabon;zászló
🇬🇧;zászló: Egyesült Királyság;zászló
🇬🇩;zászló: Grenada;zászló
🇬🇪;zászló: Grúzia;zászló
🇬🇫;zászló: Francia Guyana;zászló
🇬🇬;zászló: Guernsey;zászló
🇬🇭;zászló: Ghána;zászló
🇬🇮;zászló: Gibraltár;zászló
🇬🇱;zászló: Grönland;zászló
🇬🇲;zászló: Gambia;zászló
🇬🇳;zászló: Guinea;zászló
🇬🇵;zászló: Guadeloupe;zászló
🇬🇶;zászló: Egyenlítői-Guinea;zászló
🇬🇷;zászló: Görögország;zászló
🇬🇸;zászló: Déli-Georgia és Déli-Sandwich-szigetek;zászló
🇬🇹;zászló: Guatemala;zászló
🇬🇺;zászló: Guam;zászló
🇬🇼;zászló: Bissau-Guinea;zászló
🇬🇾;zászló: Guyana;zászló
🇭🇰;zászló: Hongkong KKT;zászló
🇭🇲;zászló: Heard-sziget és McDonald-szigetek;zászló
🇭🇳;zászló: Honduras;zászló
🇭🇷;zászló: Horvátország;zászló
🇭🇹;zászló: Haiti;zászló
🇭🇺;zászló: Magyarország;zászló
🇮🇨;zászló: Kanári-szigetek;zászló
🇮🇩;zászló: Indonézia;zászló
🇮🇪;zászló: Írország;zászló
🇮🇱;zászló: Izrael;zászló
🇮🇲;zászló: Man-sziget;zászló
🇮🇳;zászló: India;zászló
🇮🇴;zászló: Brit Indiai-óceáni Terület;zászló
🇮🇶;zászló: Irak;zászló
🇮🇷;zászló: Irán;zászló
🇮🇸;zászló: Izland;zászló
🇮🇹;zászló: Olaszország;zászló
🇯🇪;zászló: Jersey;zászló
🇯🇲;zászló: Jamaica;zászló
🇯🇴;zászló: Jordánia;zászló
🇯🇵;zászló: Japán;zászló
🇰🇪;zászló: Kenya;zászló
🇰🇬;zászló: Kirgizisztán;zászló
🇰🇭;zászló: Kambodzsa;zászló
🇰🇮;zászló: Kiribati;zászló
🇰🇲;zászló: Comore-szigetek;zászló
🇰🇳;zászló: Saint Kitts és Nevis;zászló
🇰🇵;zászló: Észak-Korea;zászló
🇰🇷;zászló: Dél-Korea;zászló
🇰🇼;zászló: Kuvait;zászló
🇰🇾;zászló: Kajmán-szigetek;zászló
🇰🇿;zászló: Kazahsztán;zászló
🇱🇦;zászló: Laosz;zászló
🇱🇧;zászló: Libanon;zászló
🇱🇨;zászló: Saint Lucia;zászló
🇱🇮;zászló: Liechtenstein;zászló
🇱🇰;zászló: Srí Lanka;zászló
🇱🇷;zászló: Libéria;zászló
🇱🇸;zászló: Lesotho;zászló
🇱🇹;zászló: Litvánia;zászló
🇱🇺;zászló: Luxemburg;zászló
🇱🇻;zászló: Lettország;zászló
🇱🇾;zászló: Líbia;zászló
🇲🇦;zászló: Marokkó;zászló
🇲🇨;zászló: Monaco;zászló
🇲🇩;zászló: Moldova;zászló
🇲🇪;zászló: Montenegró;zászló
🇲🇫;zászló: Saint Martin;zászló
🇲🇬;zászló: Madagaszkár;zászló
🇲🇭;zászló: Marshall-szigetek;zászló
🇲🇰;zászló: Észak-Macedónia;zászló
🇲🇱;zászló: Mali;zászló
🇲🇲;zászló: Mianmar;zászló
🇲🇳;zászló: Mongólia;zászló
🇲🇴;zászló: Makaó KKT;zászló
🇲🇵;zászló: Északi Mariana-szigetek;zászló
🇲🇶;zászló: Martinique;zászló
🇲🇷;zászló: Mauritánia;zászló
🇲🇸;zászló: Montserrat;zászló
🇲🇹;zászló: Málta;zászló
🇲🇺;zászló: Mauritius;zászló
🇲🇻;zászló: Maldív-szigetek;zászló
🇲🇼;zászló: Malawi;zászló
🇲🇽;zászló: Mexikó;zászló
🇲🇾;zászló: Malajzia;zászló
🇲🇿;zászló: Mozambik;zászló
🇳🇦;zászló: Namíbia;zászló
🇳🇨;zászló: Új-Kaledónia;zászló
🇳🇪;zászló: Niger;zászló
🇳🇫;zászló: Norfolk-sziget;zászló
🇳🇬;zászló: Nigéria;zászló
🇳🇮;zászló: Nicaragua;zászló
🇳🇱;zászló: Hollandia;zászló
🇳🇴;zászló: Norvégia;zászló
🇳🇵;zászló: Nepál;zászló
🇳🇷;zászló: Nauru;zászló
🇳🇺;zászló: Niue;zászló
🇳🇿;zászló: Új-Zéland;zászló
🇴🇲;zászló: Omán;zászló
🇵🇦;zászló: Panama;zászló
🇵🇪;zászló: Peru;zászló
🇵🇫;zászló: Francia Polinézia;zászló
🇵🇬;zászló: Pápua Új-Guinea;zászló
🇵🇭;zászló: Fülöp-szigetek;zászló
🇵🇰;zászló: Pakisztán;zászló
🇵🇱;zászló: Lengyelország;zászló
🇵🇲;zászló: Saint-Pierre és Miquelon;zászló
🇵🇳;zászló: Pitcairn-szigetek;zászló
🇵🇷;zászló: Puerto Rico;zászló
🇵🇸;zászló: Palesztin Autonómia;zászló
🇵🇹;zászló: Portugália;zászló
🇵🇼;zászló: Palau;zászló
🇵🇾;zászló: Paraguay;zászló
🇶🇦;zászló: Katar;zászló
🇷🇪;zászló: Réunion;zászló
🇷🇴;zászló: Románia;zászló
🇷🇸;zászló: Szerbia;zászló
🇷🇺;zászló: Oroszország;zászló
🇷🇼;zászló: Ruanda;zászló
🇸🇦;zászló: Szaúd-Arábia;zászló
🇸🇧;zászló: Salamon-szigetek;zászló
🇸🇨;zászló: Seychelle-szigetek;zászló
🇸🇩;zászló: Szudán;zászló
🇸🇪;zászló: Svédország;zászló
🇸🇬;zászló: Szingapúr;zászló
🇸🇭;zászló: Szent Ilona;zászló
🇸🇮;zászló: Szlovénia;zászló
🇸🇯;zászló: Svalbard és Jan Mayen;zászló
🇸🇰;zászló: Szlovákia;zászló
🇸🇱;zászló: Sierra Leone;zászló
🇸🇲;zászló: San Marino;zászló
🇸🇳;zászló: Szenegál;zászló
🇸🇴;zászló: Szomália;zászló
🇸🇷;zászló: Suriname;zászló
🇸🇸;zászló: Dél-Szudán;zászló
🇸🇹;zászló: São Tomé és Príncipe;zászló
🇸🇻;zászló: Salvador;zászló
🇸🇽;zászló: Sint Maarten;zászló
🇸🇾;zászló: Szíria;zászló
🇸🇿;zászló: Szváziföld;zászló
🇹🇦;zászló: Tristan da Cunha;zászló
🇹🇨;zászló: Turks- és Caicos-szigetek;zászló
🇹🇩;zászló: Csád;zászló
🇹🇫;zászló: Francia Déli Területek;zászló
🇹🇬;zászló: Togo;zászló
🇹🇭;zászló: Thaiföld;zászló
🇹🇯;zászló: Tádzsikisztán;zászló
🇹🇰;zászló: Tokelau;zászló
🇹🇱;zászló: Kelet-Timor;zászló
🇹🇲;zászló: Türkmenisztán;zászló
🇹🇳;zászló: Tunézia;zászló
🇹🇴;zászló: Tonga;zászló
🇹🇷;zászló: Törökország;zászló
🇹🇹;zászló: Trinidad és Tobago;zászló
🇹🇻;zászló: Tuvalu;zászló
🇹🇼;zászló: Tajvan;zászló
🇹🇿;zászló: Tanzánia;zászló
🇺🇦;zászló: Ukrajna;zászló
🇺🇬;zászló: Uganda;zászló
🇺🇲;zászló: Az USA lakatlan külbirtokai;zászló
🇺🇳;zászló: Egyesült Nemzetek Szervezete;zászló
🇺🇸;zászló: Egyesült Államok;zászló
🇺🇾;zászló: Uruguay;zászló
🇺🇿;zászló: Üzbegisztán;zászló
🇻🇦;zászló: Vatikán;zászló
🇻🇨;zászló: Saint Vincent és a Grenadine-szigetek;zászló
🇻🇪;zászló: Venezuela;zászló
🇻🇬;zászló: Brit Virgin-szigetek;zászló
🇻🇮;zászló: Amerikai Virgin-szigetek;zászló
🇻🇳;zászló: Vietnám;zászló
🇻🇺;zászló: Vanuatu;zászló
🇼🇫;zászló: Wallis és Futuna;zászló
🇼🇸;zászló: Szamoa;zászló
🇽🇰;zászló: Koszovó;zászló
🇾🇪;zászló: Jemen;zászló
🇾🇹;zászló: Mayotte;zászló
🇿🇦;zászló: Dél-afrikai Köztársaság;zászló
🇿🇲;zászló: Zambia;zászló
🇿🇼;zászló: Zimbabwe;zászló
🏴󠁧󠁢󠁥󠁮󠁧󠁿;zászló: Anglia;zászló
🏴󠁧󠁢󠁳󠁣󠁴󠁿;zászló: Skócia;zászló
🏴󠁧󠁢󠁷󠁬󠁳󠁿;zászló: Wales;zászló
