😀;חיוך רחב;חיוך|מחייך|פרצוף|שמח
♓;מזל דגים;גלגל המזלות|דגים|מזל
⛎;נושא הנחש;גלגל המזלות|מזל
🔀;סמל השמעה אקראית;חצים|ערבוב
🔁;סמל השמעה חוזרת;בכיוון השעון|חזרה|חצים
🔂;סמל חזרה על שיר אחד;חזרה|חצים|פעם אחת
▶️;לחצן השמעה;הפעלה|השמעה|חץ
⏩;לחצן הרצה קדימה;הרצה|חץ|מהר|קדימה
⏭️;לחצן מעבר לשיר הבא;דילוג|השיר הבא|חץ|מעבר
⏯️;לחצן הפעלה/השהייה;השהה|השהייה|חץ
◀️;לחצן השמעה לאחור;השמעה|חץ|לאחור|משולש
⏪;לחצן הרצה לאחור;אחורה|הרצה|חץ|מהר
⏮️;לחצן מעבר לשיר הקודם;דילוג|השיר הקודם|חץ|מעבר
🔼;לחצן מעלה;חץ|למעלה
⏫;לחצן מעלה במהירות;חץ|כפול
🔽;לחצן מטה;חץ|למטה
⏬;לחצן מטה במהירות;חץ|כפול
⏸️;לחצן השהייה;הפסק|השהה|השהייה|עצור
⏹️;לחצן עצירה;הפסקה|לעצור|עצירה|ריבוע
⏺️;לחצן הקלטה;הקלט|הקלטה|עיגול
⏏️;לחצן הוצאה;הוצאה|חץ|להוציא
🎦;קולנוע;מסרטה|סרט|צילום
🔅;לחצן עמעום תאורה;בהירות|עמעום תאורה
🔆;כפתור הגברת עוצמת תאורה;בהירות|עצמת תאורה
📶;סמל עצמת קליטה;אות|אנטנה|טלפון|נייד|סלולרי|קליטה
🛜;אלחוטי;אינטרנט|וויפי|חיבור|מודם|מחשב|נתב|פס רחב|ראוטר|רשת
📳;מצב רטט;מושתק|נייד|סלולרי|רטט
📴;נייד כבוי;כבוי|לכבות|לכבות טלפונים|נייד|סלולרי
♀️;סמל אישה;אישה|נשים
♂️;סמל גבר;איש|גבר|גברים
⚧️;סמל לטרנסג׳נדר;טרנסג׳נדר
✖️;סימן כפל;איקס עבה|ביטול|כפול X|פסילה
➕;סימן חיבור;חשבון|מתמטיקה|פלוס
➖;סימן חיסור;חשבון|מינוס|מתמטיקה
➗;סימן חילוק;חילוק|חלקי|חשבון|מתמטיקה|סימן חילוק עבה
🟰;סימן שווה עבה;אלגברה|חשבון|מתמטיקה|שווה|שני קווים מקבילים
♾️;אינסוף;אוניברסלי|אין-סוף|בלתי מוגבל
‼️;סימן קריאה כפול;הדגשה|כפול|סימן קריאה|פיסוק
⁉️;סימן שאלה וסימן קריאה;הדגשה|סימן קריאה|סימן שאלה|פיסוק|שאלה
❓;סימן שאלה אדום;למה|מדוע|סימן שאלה|שאלה
❔;סימן שאלה לבן;סימן שאלה|שאלה
❕;סימן קריאה לבן;הדגשה|סימן קריאה
❗;סימן קריאה אדום;הדגשה|סימן קריאה
〰️;קו גלי;גלי|סימני פיסוק|קו מפריד
💱;המרת מטבעות;בנק|המרה|כסף|מטבעות
💲;סימן דולר;דולר|כסף|לשלם|מטבע
⚕️;סמל הרפואה;אל הרפואה במיתולוגיה היוונית והרומית|אסקלפיוס|רפואה
♻️;סמל מיחזור;אקולוגיה|מחזור|מיחזור|סביבה
⚜️;שושן צחור;חבצלת|מלוכה|פלר דה ליס
🔱;סמל קילשון;סמל|ספינה|עוגן|קילשון|קלשון|שיבה|שיווה
📛;תג שם;שם|תג
🔰;סמל יפני לרמת מתחילים;יפני|מתחיל|עלה|שברון
⭕;עיגול אדום חלול;0|אדום|גדול|חישוק|עיגול
✅;סימן אישור;אישור|בחירה|וי|כפתור אישור|לחצן אישור|סימן ביקורת
☑️;סימן אישור בתוך משבצת;וי|לסמן|סימון|סימן ביקורת בתוך משבצת|סימן וי|קלפי|תיבה|תיבת קלפי עם סימן ביקורת
✔️;סימן אישור ירוק;אישור|לסמן|סימן V|סימן בחירה|סימן ביקורת|סימן וי
❌;איקס אדום;איקס|אסור|ביטול|כפל|לא|נפסל|סימון|פסול
❎;סימן איקס;x|איקס|כפתור סימן איקס|לחצן עם איקס|לסמן|ריבוע
➰;לולאה;תלתל
➿;לולאה כפולה;כפולה|לולאה|תלתל
〽️;סמל יפני מתחום המוזיקה;מוזיקה|סימון|תחילת שיר
✳️;כוכבית עם שמונה פינות;אסטריסק|כוכבית|לחצן כוכבית
✴️;כוכב עם שמונה פינות;כוכב
❇️;נוצץ;כוכב|כוכבית|נצנוץ
©️;זכויות יוצרים;
®️;סימן רשום;
™️;סימן מסחרי;tm|זכויות|סימן
🫟;כתם;התזה|נשפך|צבע|רבב
*️⃣;מקש: *;מקש
0️⃣;מקש: 0;0|אפס|מקש
1️⃣;מקש: 1;1|אחת|מקש
2️⃣;מקש: 2;2|מקש|שתיים
3️⃣;מקש: 3;3|מקש|שלוש
4️⃣;מקש: 4;4|ארבע|מקש
5️⃣;מקש: 5;5|חמש|מקש
6️⃣;מקש: 6;6|מקש|שש
7️⃣;מקש: 7;7|מקש|שבע
8️⃣;מקש: 8;8|מקש|שמונה
9️⃣;מקש: 9;9|מקש|תשע
🔟;מקש: 10;מקש
🔠;לחצן אותיות גדולות;אותיות|גדולות|לטינית|מקשים|קלט|רישיות
🔡;לחצן אותיות קטנות;אותיות|הזנה|לטינית|קטנות|קלט
🔢;לחצן מספרים;הזנה|לוח ספרות|מספרים|מקשים|ספרות|קלט
🔣;לחצן סמלים;הזנה|סימנים|סמלים|קלט
🔤;לחצן אותיות לטיניות;abc|הזנה|לחצן|לטינית|מקש|קלט
🅰️;לחצן A (סוג דם);a|סוג דם
🆎;לחצן AB (סוג דם);ab|סוג דם
🅱️;לחצן B (סוג דם);b|סוג דם
🆑;לחצן CL;cl|מחיקה|מחק
🆒;לחצן cool;cool|מגניב
🆓;לחצן free;FREE|חופשי|חינם
ℹ️;סמל מידע;מודיעין|מידע
🆔;לחצן ID;זהות|זיהוי|מזהה|תעודת זהות
Ⓜ️;m בעיגול;האות אם|עיגול
🆕;לחצן NEW;הוספה|חדש|לחצן
🆖;לחצן NG;ng
🅾️;לחצן O (סוג דם);o|סוג דם
🆗;לחצן OK;ok|אוקיי|אישור|בסדר|טוב
🅿️;לחצן P;P|חניה|חניון|חנייה
🆘;לחצן SOS;sos|אס או אס|הצילו|לחצן|מצוקה|עזרה
🆙;לחצן up!;UP|למעלה|מעלה
🆚;לחצן VS;לעומת|מול|נגד
🈁;לחצן ״כאן״ ביפנית;״כאן״|יפנית|קטאקאנה|ココ
🈂️;לחצן ״דמי שירות״ ביפנית;״דמי שירות״|יפנית|קטאקאנה|サ
🈷️;לחצן ״כמות חודשית״ ביפנית;״כמות חודשית״|יפנית|לוגו|月
🈶;לחצן ״לא בחינם״ ביפנית;״לא בחינם״|יפנית|לוגו|有
🈯;לחצן ״מקום שמור״ ביפנית;״מקום שמור״|יפנית|לוגו|指
🉐;לחצן ״דיל״ ביפנית;״דיל״|יפנית|לוגו|得
🈹;לחצן ״הנחה״ ביפנית;״הנחה״|יפנית|לוגו|מבצע|割
🈚;לחצן ״חינם״ ביפנית;יפנית|לוגו|לחצן ״חינם״ ביפנית“|無
🈲;לחצן ״אסור״ ביפנית;אסור|יפנית|לוגו|禁
🉑;לחצן ״מותר״ ביפנית;יפנית|לוגו|מותר|可
🈸;לחצן ״הגשת בקשה״ ביפנית;יפנית|לוגו|לחצן ״הגשת בקשה״ ביפנית“|申
🈴;לחצן ״ציון עובר״ ביפנית;יפנית|לוגו|לחצן ״ציון עובר״ ביפנית“|合
🈳;לחצן ״יש מקום״ ביפנית;יפנית|לוגו|לחצן ״יש מקום פנוי״ ביפנית“|空
㊗️;לחצן ״בשעה טובה״ ביפנית;יפנית|לוגו|祝
㊙️;לחצן ״סוד״ ביפנית;״סוד״|יפנית|לוגו|秘
🈺;לחצן ״פתוח״ ביפנית;יפנית|לוגו|営
🈵;לחצן ״אין מקום״ ביפנית;יפנית|לוגו|満
🔴;עיגול אדום;אדום|יפן|עיגול|צורה
🟠;עיגול כתום;כתום|מעגל|עיגול
🟡;עיגול צהוב;מעגל|עיגול|צהוב
🟢;עיגול ירוק;ירוק|מעגל|עיגול
🔵;עיגול כחול;כחול|עיגול|צורה
🟣;עיגול סגול;מעגל|סגול|עיגול
🟤;עיגול חום;חום|מעגל|עיגול
⚫;עיגול שחור;חור שחור|עיגול|צורה|שחור
⚪;עיגול לבן;לבן|עיגול|צורה
🟥;ריבוע אדום;אדום|מרובע|ריבוע
🟧;ריבוע כתום;כתום|מרובע|ריבוע
🟨;ריבוע צהוב;מרובע|צהוב|ריבוע
🟩;ריבוע ירוק;ירוק|מרובע|ריבוע
🟦;ריבוע כחול;כחול|מרובע|ריבוע
🟪;ריבוע סגול;מרובע|סגול|ריבוע
🟫;ריבוע חום;חום|מרובע|ריבוע
⬛;ריבוע גדול שחור;צורה|ריבוע|שחור
⬜;ריבוע גדול לבן;לבן|צורה|ריבוע
◼️;ריבוע שחור בינוני;צורה|ריבוע|שחור
◻️;ריבוע לבן בינוני;לבן|צורה|ריבוע
◾;ריבוע בינוני-קטן שחור;צורה|ריבוע|שחור
◽;ריבוע בינוני-קטן לבן;לבן|צורה|ריבוע|ריבוע אפור
▪️;ריבוע שחור קטן;צורה|ריבוע|שחור
▫️;ריבוע לבן קטן;לבן|צורה|ריבוע
🔶;מעוין כתום גדול;כתום|מעויין|מעוין|צורה
🔷;מעוין כחול גדול;כחול|מעוין|צורה
🔸;מעוין כתום קטן;כתום|מעויין|מעוין|צורה
🔹;מעוין כחול קטן;כחול|מעויין|מעוין|צורה
🔺;משולש אדום כלפי מעלה;אדום|למעלה|משולש|צורה
🔻;משולש אדום כלפי מטה;אדום|למטה|משולש|צורה
💠;מעוין כחול עם נקודה;גאומטריה|יהלום|כחול|מעויין|מעוין|צורה
🔘;לחצן רדיו;לחצן|עיגול|צורה|רדיו
🔳;לחצן ריבוע לבן;לחצן|מסגרת|צורה|ריבוע|ריבוע לבן
🔲;לחצן ריבוע שחור;לחצן|מסגרת|צורה|ריבוע|ריבוע שחור
🏁;דגל מירוצים;דגל|התחלה|מירוץ|מירוצים|סיום
🚩;דגל משולש אדום;אדום|דגל|משולש
🎌;דגלים מוצלבים;דגלים|יפן|מוצלבים
🏴;דגל שחור;דגל|מתנפנף|שחור
🏳️;דגל לבן;דגל|כניעה|לבן|מתנפנף|נכנע
🏳️‍🌈;דגל בצבעי הקשת;ביסקסואלים|גאווה|גייז|דגל|דגל הגאווה|טרנסג׳נדר|טרנסקסואלים|להט״ב|לסביות
🏳️‍⚧️;דגל טרנסג׳נדר;דגל|טרנסג׳נדר
🏴‍☠️;דגל פירטים;מטמון|פיראטים|שודדי ים|תיבת אוצר
🇦🇨;דגל: האי אסנשן;דגל
🇦🇩;דגל: אנדורה;דגל
🇦🇪;דגל: איחוד האמירויות הערביות;דגל
🇦🇫;דגל: אפגניסטן;דגל
🇦🇬;דגל: אנטיגואה וברבודה;דגל
🇦🇮;דגל: אנגווילה;דגל
🇦🇱;דגל: אלבניה;דגל
🇦🇲;דגל: ארמניה;דגל
🇦🇴;דגל: אנגולה;דגל
🇦🇶;דגל: אנטארקטיקה;דגל
🇦🇷;דגל: ארגנטינה;דגל
🇦🇸;דגל: סמואה האמריקנית;דגל
🇦🇹;דגל: אוסטריה;דגל
🇦🇺;דגל: אוסטרליה;דגל
🇦🇼;דגל: ארובה;דגל
🇦🇽;דגל: איי אולנד;דגל
🇦🇿;דגל: אזרבייג׳ן;דגל
🇧🇦;דגל: בוסניה והרצגובינה;דגל
🇧🇧;דגל: ברבדוס;דגל
🇧🇩;דגל: בנגלדש;דגל
🇧🇪;דגל: בלגיה;דגל
🇧🇫;דגל: בורקינה פאסו;דגל
🇧🇬;דגל: בולגריה;דגל
🇧🇭;דגל: בחריין;דגל
🇧🇮;דגל: בורונדי;דגל
🇧🇯;דגל: בנין;דגל
🇧🇱;דגל: סנט ברתולומיאו;דגל
🇧🇲;דגל: ברמודה;דגל
🇧🇳;דגל: ברוניי;דגל
🇧🇴;דגל: בוליביה;דגל
🇧🇶;דגל: האיים הקריביים ההולנדיים;דגל
🇧🇷;דגל: ברזיל;דגל
🇧🇸;דגל: איי בהאמה;דגל
🇧🇹;דגל: בהוטן;דגל
🇧🇻;דגל: האי בובה;דגל
🇧🇼;דגל: בוטסואנה;דגל
🇧🇾;דגל: בלארוס;דגל
🇧🇿;דגל: בליז;דגל
🇨🇦;דגל: קנדה;דגל
🇨🇨;דגל: איי קוקוס (קילינג);דגל
🇨🇩;דגל: קונגו - קינשאסה;דגל
🇨🇫;דגל: הרפובליקה המרכז-אפריקאית;דגל
🇨🇬;דגל: קונגו - ברזאויל;דגל
🇨🇭;דגל: שווייץ;דגל
🇨🇮;דגל: חוף השנהב;דגל
🇨🇰;דגל: איי קוק;דגל
🇨🇱;דגל: צ׳ילה;דגל
🇨🇲;דגל: קמרון;דגל
🇨🇳;דגל: סין;דגל
🇨🇴;דגל: קולומביה;דגל
🇨🇵;דגל: האי קליפרטון;דגל
🇨🇶;דגל: סרק;דגל
🇨🇷;דגל: קוסטה ריקה;דגל
🇨🇺;דגל: קובה;דגל
🇨🇻;דגל: כף ורדה;דגל
🇨🇼;דגל: קוראסאו;דגל
🇨🇽;דגל: אי חג המולד;דגל
🇨🇾;דגל: קפריסין;דגל
🇨🇿;דגל: צ׳כיה;דגל
🇩🇪;דגל: גרמניה;דגל
🇩🇬;דגל: דייגו גרסיה;דגל
🇩🇯;דגל: ג׳יבוטי;דגל
🇩🇰;דגל: דנמרק;דגל
🇩🇲;דגל: דומיניקה;דגל
🇩🇴;דגל: הרפובליקה הדומיניקנית;דגל
🇩🇿;דגל: אלג׳יריה;דגל
🇪🇦;דגל: סאוטה ומלייה;דגל
🇪🇨;דגל: אקוודור;דגל
🇪🇪;דגל: אסטוניה;דגל
🇪🇬;דגל: מצרים;דגל
🇪🇭;דגל: סהרה המערבית;דגל
🇪🇷;דגל: אריתריאה;דגל
🇪🇸;דגל: ספרד;דגל
🇪🇹;דגל: אתיופיה;דגל
🇪🇺;דגל: האיחוד האירופי;דגל
🇫🇮;דגל: פינלנד;דגל
🇫🇯;דגל: פיג׳י;דגל
🇫🇰;דגל: איי פוקלנד;דגל
🇫🇲;דגל: מיקרונזיה;דגל
🇫🇴;דגל: איי פארו;דגל
🇫🇷;דגל: צרפת;דגל
🇬🇦;דגל: גבון;דגל
🇬🇧;דגל: בריטניה;דגל
🇬🇩;דגל: גרנדה;דגל
🇬🇪;דגל: גאורגיה;דגל
🇬🇫;דגל: גיאנה הצרפתית;דגל
🇬🇬;דגל: גרנזי;דגל
🇬🇭;דגל: גאנה;דגל
🇬🇮;דגל: גיברלטר;דגל
🇬🇱;דגל: גרינלנד;דגל
🇬🇲;דגל: גמביה;דגל
🇬🇳;דגל: גינאה;דגל
🇬🇵;דגל: גוואדלופ;דגל
🇬🇶;דגל: גינאה המשוונית;דגל
🇬🇷;דגל: יוון;דגל
🇬🇸;דגל: ג׳ורג׳יה הדרומית ואיי סנדוויץ׳ הדרומיים;דגל
🇬🇹;דגל: גואטמלה;דגל
🇬🇺;דגל: גואם;דגל
🇬🇼;דגל: גינאה-ביסאו;דגל
🇬🇾;דגל: גיאנה;דגל
🇭🇰;דגל: הונג קונג (אזור מנהלי מיוחד של סין);דגל
🇭🇲;דגל: איי הרד ומקדונלד;דגל
🇭🇳;דגל: הונדורס;דגל
🇭🇷;דגל: קרואטיה;דגל
🇭🇹;דגל: האיטי;דגל
🇭🇺;דגל: הונגריה;דגל
🇮🇨;דגל: האיים הקנריים;דגל
🇮🇩;דגל: אינדונזיה;דגל
🇮🇪;דגל: אירלנד;דגל
🇮🇱;דגל: ישראל;דגל
🇮🇲;דגל: האי מאן;דגל
🇮🇳;דגל: הודו;דגל
🇮🇴;דגל: הטריטוריה הבריטית באוקיינוס ההודי;דגל
🇮🇶;דגל: עיראק;דגל
🇮🇷;דגל: איראן;דגל
🇮🇸;דגל: איסלנד;דגל
🇮🇹;דגל: איטליה;דגל
🇯🇪;דגל: ג׳רזי;דגל
🇯🇲;דגל: ג׳מייקה;דגל
🇯🇴;דגל: ירדן;דגל
🇯🇵;דגל: יפן;דגל
🇰🇪;דגל: קניה;דגל
🇰🇬;דגל: קירגיזסטן;דגל
🇰🇭;דגל: קמבודיה;דגל
🇰🇮;דגל: קיריבאטי;דגל
🇰🇲;דגל: קומורו;דגל
🇰🇳;דגל: סנט קיטס ונוויס;דגל
🇰🇵;דגל: קוריאה הצפונית;דגל
🇰🇷;דגל: קוריאה הדרומית;דגל
🇰🇼;דגל: כווית;דגל
🇰🇾;דגל: איי קיימן;דגל
🇰🇿;דגל: קזחסטן;דגל
🇱🇦;דגל: לאוס;דגל
🇱🇧;דגל: לבנון;דגל
🇱🇨;דגל: סנט לוסיה;דגל
🇱🇮;דגל: ליכטנשטיין;דגל
🇱🇰;דגל: סרי לנקה;דגל
🇱🇷;דגל: ליבריה;דגל
🇱🇸;דגל: לסוטו;דגל
🇱🇹;דגל: ליטא;דגל
🇱🇺;דגל: לוקסמבורג;דגל
🇱🇻;דגל: לטביה;דגל
🇱🇾;דגל: לוב;דגל
🇲🇦;דגל: מרוקו;דגל
🇲🇨;דגל: מונקו;דגל
🇲🇩;דגל: מולדובה;דגל
🇲🇪;דגל: מונטנגרו;דגל
🇲🇫;דגל: סן מרטן;דגל
🇲🇬;דגל: מדגסקר;דגל
🇲🇭;דגל: איי מרשל;דגל
🇲🇰;דגל: מקדוניה הצפונית;דגל
🇲🇱;דגל: מאלי;דגל
🇲🇲;דגל: מיאנמר (בורמה);דגל
🇲🇳;דגל: מונגוליה;דגל
🇲🇴;דגל: מקאו (אזור מנהלי מיוחד של סין);דגל
🇲🇵;דגל: איי מריאנה הצפוניים;דגל
🇲🇶;דגל: מרטיניק;דגל
🇲🇷;דגל: מאוריטניה;דגל
🇲🇸;דגל: מונסראט;דגל
🇲🇹;דגל: מלטה;דגל
🇲🇺;דגל: מאוריציוס;דגל
🇲🇻;דגל: האיים המלדיביים;דגל
🇲🇼;דגל: מלאווי;דגל
🇲🇽;דגל: מקסיקו;דגל
🇲🇾;דגל: מלזיה;דגל
🇲🇿;דגל: מוזמביק;דגל
🇳🇦;דגל: נמיביה;דגל
🇳🇨;דגל: קלדוניה החדשה;דגל
🇳🇪;דגל: ניז׳ר;דגל
🇳🇫;דגל: האי נורפוק;דגל
🇳🇬;דגל: ניגריה;דגל
🇳🇮;דגל: ניקרגואה;דגל
🇳🇱;דגל: הולנד;דגל
🇳🇴;דגל: נורווגיה;דגל
🇳🇵;דגל: נפאל;דגל
🇳🇷;דגל: נאורו;דגל
🇳🇺;דגל: ניווה;דגל
🇳🇿;דגל: ניו זילנד;דגל
🇴🇲;דגל: עומאן;דגל
🇵🇦;דגל: פנמה;דגל
🇵🇪;דגל: פרו;דגל
🇵🇫;דגל: פולינזיה הצרפתית;דגל
🇵🇬;דגל: פפואה גינאה החדשה;דגל
🇵🇭;דגל: הפיליפינים;דגל
🇵🇰;דגל: פקיסטן;דגל
🇵🇱;דגל: פולין;דגל
🇵🇲;דגל: סנט פייר ומיקלון;דגל
🇵🇳;דגל: איי פיטקרן;דגל
🇵🇷;דגל: פוארטו ריקו;דגל
🇵🇸;דגל: השטחים הפלסטיניים;דגל
🇵🇹;דגל: פורטוגל;דגל
🇵🇼;דגל: פלאו;דגל
🇵🇾;דגל: פרגוואי;דגל
🇶🇦;דגל: קטאר;דגל
🇷🇪;דגל: ראוניון;דגל
🇷🇴;דגל: רומניה;דגל
🇷🇸;דגל: סרביה;דגל
🇷🇺;דגל: רוסיה;דגל
🇷🇼;דגל: רואנדה;דגל
🇸🇦;דגל: ערב הסעודית;דגל
🇸🇧;דגל: איי שלמה;דגל
🇸🇨;דגל: איי סיישל;דגל
🇸🇩;דגל: סודן;דגל
🇸🇪;דגל: שוודיה;דגל
🇸🇬;דגל: סינגפור;דגל
🇸🇭;דגל: סנט הלנה;דגל
🇸🇮;דגל: סלובניה;דגל
🇸🇯;דגל: סבאלברד ויאן מאיין;דגל
🇸🇰;דגל: סלובקיה;דגל
🇸🇱;דגל: סיירה לאון;דגל
🇸🇲;דגל: סן מרינו;דגל
🇸🇳;דגל: סנגל;דגל
🇸🇴;דגל: סומליה;דגל
🇸🇷;דגל: סורינאם;דגל
🇸🇸;דגל: דרום סודן;דגל
🇸🇹;דגל: סאו טומה ופרינסיפה;דגל
🇸🇻;דגל: אל סלבדור;דגל
🇸🇽;דגל: סנט מארטן;דגל
🇸🇾;דגל: סוריה;דגל
🇸🇿;דגל: אסוואטיני;דגל
🇹🇦;דגל: טריסטן דה קונה;דגל
🇹🇨;דגל: איי טרקס וקייקוס;דגל
🇹🇩;דגל: צ׳אד;דגל
🇹🇫;דגל: הטריטוריות הדרומיות של צרפת;דגל
🇹🇬;דגל: טוגו;דגל
🇹🇭;דגל: תאילנד;דגל
🇹🇯;דגל: טג׳יקיסטן;דגל
🇹🇰;דגל: טוקלאו;דגל
🇹🇱;דגל: טימור-לסטה;דגל
🇹🇲;דגל: טורקמניסטן;דגל
🇹🇳;דגל: תוניסיה;דגל
🇹🇴;דגל: טונגה;דגל
🇹🇷;דגל: טורקיה;דגל
🇹🇹;דגל: טרינידד וטובגו;דגל
🇹🇻;דגל: טובאלו;דגל
🇹🇼;דגל: טייוואן;דגל
🇹🇿;דגל: טנזניה;דגל
🇺🇦;דגל: אוקראינה;דגל
🇺🇬;דגל: אוגנדה;דגל
🇺🇲;דגל: האיים המרוחקים הקטנים של ארה״ב;דגל
🇺🇳;דגל: האומות המאוחדות;דגל
🇺🇸;דגל: ארצות הברית;דגל
🇺🇾;דגל: אורוגוואי;דגל
🇺🇿;דגל: אוזבקיסטן;דגל
🇻🇦;דגל: הוותיקן;דגל
🇻🇨;דגל: סנט וינסנט והגרנדינים;דגל
🇻🇪;דגל: ונצואלה;דגל
🇻🇬;דגל: איי הבתולה הבריטיים;דגל
🇻🇮;דגל: איי הבתולה של ארצות הברית;דגל
🇻🇳;דגל: וייטנאם;דגל
🇻🇺;דגל: ונואטו;דגל
🇼🇫;דגל: איי ווליס ופוטונה;דגל
🇼🇸;דגל: סמואה;דגל
🇽🇰;דגל: קוסובו;דגל
🇾🇪;דגל: תימן;דגל
🇾🇹;דגל: מאיוט;דגל
🇿🇦;דגל: דרום אפריקה;דגל
🇿🇲;דגל: זמביה;דגל
🇿🇼;דגל: זימבבואה;דגל
🏴󠁧󠁢󠁥󠁮󠁧󠁿;דגל: אנגליה;דגל
🏴󠁧󠁢󠁳󠁣󠁴󠁿;דגל: סקוטלנד;דגל
🏴󠁧󠁢󠁷󠁬󠁳󠁿;דגל: וויילס;דגל
