😀;išsišiepęs veidas;išsišiepti|linksmas|veidas
🈶;ne nemokamą reiškiantis hieroglifas;hieroglifas|japonų|mokamą reiškiantis hieroglifas|mokamas|ne nemokamas
🈯;rezervavimą reiškiantis hieroglifas;hieroglifas|japonų|rezervuotas
🉐;susitarimą reiškiantis hieroglifas;hieroglifas|japonų|susitarimas
🈹;nuolaidą reiškiantis hieroglifas;hieroglifas|japonų|nuolaida
🈚;nemokamumą reiškiantis hieroglifas;hieroglifas|japonų|nemokamai
🈲;draudimą reiškiantis hieroglifas;draudimas|hieroglifas|japonų
🉑;sutikimą reiškiantis hieroglifas;hieroglifas|japonų|sutikimas
🈸;taikymą reiškiantis hieroglifas;hieroglifas|japonų|mygtukas|taikymas
🈴;bendrumą reiškiantis hieroglifas;bendrumas|hieroglifas|japonų
🈳;tuštumą reiškiantis hieroglifas;hieroglifas|japonų|tuštuma
㊗️;pasveikinimą reiškiantis hieroglifas;hieroglifas|japonų|sveikinimas
㊙️;paslaptį reiškiantis hieroglifas;hieroglifas|japonų|paslaptis
🈺;veikimą reiškiantis hieroglifas;hieroglifas|japonų|veikti
🈵;pilnatvę reiškiantis hieroglifas;hieroglifas|japonų|pilnatvė
🔴;raudonas apskritimas;apskritimas|geometrija|raudonas
🟠;oranžinis apskritimas;apskritimas|geometrija|oranžinis
🟡;geltonas apskritimas;apskritimas|geltonas
🟢;žalias apskritimas;apskritimas|žalias
🔵;mėlynas apskritimas;apskritimas|geometrija|mėlynas
🟣;violetinis apskritimas;apskritimas|violetinis
🟤;rudas apskritimas;apskritimas|rudas
⚫;juodas apskritimas;apskritimas|geometrija|juodas|rutulys
⚪;baltas apskritimas;apskritimas|baltas|geometrija|rutulys
🟥;raudonas kvadratas;kvadratas|raudonas
🟧;oranžinis kvadratas;geometrija|kvadratas|oranžinis
🟨;geltonas kvadratas;geltonas|kvadratas
🟩;žalias kvadratas;kvadratas|žalias
🟦;mėlynas kvadratas;kvadratas|mėlynas
🟪;violetinis kvadratas;kvadratas|violetinis
🟫;rudas kvadratas;kvadratas|rudas
⬛;juodas didelis kvadratas;geometrija|kvadratas
⬜;baltas didelis kvadratas;geometrija|kvadratas
◼️;juodas vidutinis kvadratas;geometrija|kvadratas
◻️;baltas vidutinis kvadratas;geometrija|kvadratas
◾;juodas vidutiniškai mažas kvadratas;geometrija|kvadratas
◽;baltas vidutiniškai mažas kvadratas;geometrija|kvadratas
▪️;juodas mažas kvadratas;geometrija|kvadratas
▫️;baltas mažas kvadratas;geometrija|kvadratas
🔶;didelis oranžinis deimantas;deimantas|didelis oranžinis rombas|geometrija|oranžinis|rombas
🔷;didelis mėlynas deimantas;deimantas|didelis mėlynas rombas|geometrija|mėlynas|rombas
🔸;mažas oranžinis deimantas;deimantas|geometrija|mažas oranžinis rombas|oranžinis|rombas
🔹;mažas mėlynas deimantas;deimantas|geometrija|mažas mėlynas rombas|mėlynas|rombas
🔺;raudonas į viršų nukreiptas trikampis;geometrija|raudona|trikampis
🔻;raudonas į apačią nukreiptas trikampis;geometrija|į apačią|raudona|trikampis
💠;deimantas su tašku;deimantas|geometrija|komiksas|viduje
🔘;akutė;geometrija|mygtukas
🔳;baltas kvadratinis mygtukas;geometrija|kontūras|kvadratas|mygtukas
🔲;juodas kvadratinis mygtukas;geometrija|kvadratas|mygtukas
🏁;vėliava langeliais;langeliai|languota vėliava|lenktynės|sportas|vėliava
🚩;trikampė vėliava;golfas|postas|vėliava
🎌;sukryžiuotos vėliavos;japonų|kryžius|šventė
🏴;juoda vėliava;mojavimas|mojuoti|vėliava
🏳️;balta vėliava;mojavimas|mojuoti|vėliava
🏳️‍🌈;vaivorykštinė vėliava;homoseksualai|homoseksualų vėliava|lgbt|vaivorykštė|vėliava
🏳️‍⚧️;žydra, rožinė ir balta vėliava;rožinė ir balta vėliava|translytis|vėliava|žydra
🏴‍☠️;piratų vėliava;Linksmasis Rodžeris|lobis|piratas|plėšikauti
🇦🇨;vėliava: Dangun Žengimo sala;vėliava
🇦🇩;vėliava: Andora;vėliava
🇦🇪;vėliava: Jungtiniai Arabų Emyratai;vėliava
🇦🇫;vėliava: Afganistanas;vėliava
🇦🇬;vėliava: Antigva ir Barbuda;vėliava
🇦🇮;vėliava: Angilija;vėliava
🇦🇱;vėliava: Albanija;vėliava
🇦🇲;vėliava: Armėnija;vėliava
🇦🇴;vėliava: Angola;vėliava
🇦🇶;vėliava: Antarktida;vėliava
🇦🇷;vėliava: Argentina;vėliava
🇦🇸;vėliava: Amerikos Samoa;vėliava
🇦🇹;vėliava: Austrija;vėliava
🇦🇺;vėliava: Australija;vėliava
🇦🇼;vėliava: Aruba;vėliava
🇦🇽;vėliava: Alandų Salos;vėliava
🇦🇿;vėliava: Azerbaidžanas;vėliava
🇧🇦;vėliava: Bosnija ir Hercegovina;vėliava
🇧🇧;vėliava: Barbadosas;vėliava
🇧🇩;vėliava: Bangladešas;vėliava
🇧🇪;vėliava: Belgija;vėliava
🇧🇫;vėliava: Burkina Fasas;vėliava
🇧🇬;vėliava: Bulgarija;vėliava
🇧🇭;vėliava: Bahreinas;vėliava
🇧🇮;vėliava: Burundis;vėliava
🇧🇯;vėliava: Beninas;vėliava
🇧🇱;vėliava: Sen Bartelemi;vėliava
🇧🇲;vėliava: Bermuda;vėliava
🇧🇳;vėliava: Brunėjus;vėliava
🇧🇴;vėliava: Bolivija;vėliava
🇧🇶;vėliava: Karibų Nyderlandai;vėliava
🇧🇷;vėliava: Brazilija;vėliava
🇧🇸;vėliava: Bahamos;vėliava
🇧🇹;vėliava: Butanas;vėliava
🇧🇻;vėliava: Buvė Sala;vėliava
🇧🇼;vėliava: Botsvana;vėliava
🇧🇾;vėliava: Baltarusija;vėliava
🇧🇿;vėliava: Belizas;vėliava
🇨🇦;vėliava: Kanada;vėliava
🇨🇨;vėliava: Kokosų (Kilingo) Salos;vėliava
🇨🇩;vėliava: Kongas-Kinšasa;vėliava
🇨🇫;vėliava: Centrinės Afrikos Respublika;vėliava
🇨🇬;vėliava: Kongas-Brazavilis;vėliava
🇨🇭;vėliava: Šveicarija;vėliava
🇨🇮;vėliava: Dramblio Kaulo Krantas;vėliava
🇨🇰;vėliava: Kuko Salos;vėliava
🇨🇱;vėliava: Čilė;vėliava
🇨🇲;vėliava: Kamerūnas;vėliava
🇨🇳;vėliava: Kinija;vėliava
🇨🇴;vėliava: Kolumbija;vėliava
🇨🇵;vėliava: Klipertono sala;vėliava
🇨🇶;vėliava: Sarkas;vėliava
🇨🇷;vėliava: Kosta Rika;vėliava
🇨🇺;vėliava: Kuba;vėliava
🇨🇻;vėliava: Žaliasis Kyšulys;vėliava
🇨🇼;vėliava: Kiurasao;vėliava
🇨🇽;vėliava: Kalėdų Sala;vėliava
🇨🇾;vėliava: Kipras;vėliava
🇨🇿;vėliava: Čekija;vėliava
🇩🇪;vėliava: Vokietija;vėliava
🇩🇬;vėliava: Diego Garsija;vėliava
🇩🇯;vėliava: Džibutis;vėliava
🇩🇰;vėliava: Danija;vėliava
🇩🇲;vėliava: Dominika;vėliava
🇩🇴;vėliava: Dominikos Respublika;vėliava
🇩🇿;vėliava: Alžyras;vėliava
🇪🇦;vėliava: Seuta ir Melila;vėliava
🇪🇨;vėliava: Ekvadoras;vėliava
🇪🇪;vėliava: Estija;vėliava
🇪🇬;vėliava: Egiptas;vėliava
🇪🇭;vėliava: Vakarų Sachara;vėliava
🇪🇷;vėliava: Eritrėja;vėliava
🇪🇸;vėliava: Ispanija;vėliava
🇪🇹;vėliava: Etiopija;vėliava
🇪🇺;vėliava: Europos Sąjunga;vėliava
🇫🇮;vėliava: Suomija;vėliava
🇫🇯;vėliava: Fidžis;vėliava
🇫🇰;vėliava: Folklando salos;vėliava
🇫🇲;vėliava: Mikronezija;vėliava
🇫🇴;vėliava: Farerų Salos;vėliava
🇫🇷;vėliava: Prancūzija;vėliava
🇬🇦;vėliava: Gabonas;vėliava
🇬🇧;vėliava: Jungtinė Karalystė;vėliava
🇬🇩;vėliava: Grenada;vėliava
🇬🇪;vėliava: Gruzija;vėliava
🇬🇫;vėliava: Prancūzijos Gviana;vėliava
🇬🇬;vėliava: Gernsis;vėliava
🇬🇭;vėliava: Gana;vėliava
🇬🇮;vėliava: Gibraltaras;vėliava
🇬🇱;vėliava: Grenlandija;vėliava
🇬🇲;vėliava: Gambija;vėliava
🇬🇳;vėliava: Gvinėja;vėliava
🇬🇵;vėliava: Gvadelupa;vėliava
🇬🇶;vėliava: Pusiaujo Gvinėja;vėliava
🇬🇷;vėliava: Graikija;vėliava
🇬🇸;vėliava: Pietų Džordžija ir Pietų Sandvičo salos;vėliava
🇬🇹;vėliava: Gvatemala;vėliava
🇬🇺;vėliava: Guamas;vėliava
🇬🇼;vėliava: Bisau Gvinėja;vėliava
🇬🇾;vėliava: Gajana;vėliava
🇭🇰;vėliava: Ypatingasis Administracinis Kinijos Regionas Honkongas;vėliava
🇭🇲;vėliava: Herdo ir Makdonaldo Salos;vėliava
🇭🇳;vėliava: Hondūras;vėliava
🇭🇷;vėliava: Kroatija;vėliava
🇭🇹;vėliava: Haitis;vėliava
🇭🇺;vėliava: Vengrija;vėliava
🇮🇨;vėliava: Kanarų salos;vėliava
🇮🇩;vėliava: Indonezija;vėliava
🇮🇪;vėliava: Airija;vėliava
🇮🇱;vėliava: Izraelis;vėliava
🇮🇲;vėliava: Meno Sala;vėliava
🇮🇳;vėliava: Indija;vėliava
🇮🇴;vėliava: Indijos Vandenyno Britų Sritis;vėliava
🇮🇶;vėliava: Irakas;vėliava
🇮🇷;vėliava: Iranas;vėliava
🇮🇸;vėliava: Islandija;vėliava
🇮🇹;vėliava: Italija;vėliava
🇯🇪;vėliava: Džersis;vėliava
🇯🇲;vėliava: Jamaika;vėliava
🇯🇴;vėliava: Jordanija;vėliava
🇯🇵;vėliava: Japonija;vėliava
🇰🇪;vėliava: Kenija;vėliava
🇰🇬;vėliava: Kirgizija;vėliava
🇰🇭;vėliava: Kambodža;vėliava
🇰🇮;vėliava: Kiribatis;vėliava
🇰🇲;vėliava: Komorai;vėliava
🇰🇳;vėliava: Sent Kitsas ir Nevis;vėliava
🇰🇵;vėliava: Šiaurės Korėja;vėliava
🇰🇷;vėliava: Pietų Korėja;vėliava
🇰🇼;vėliava: Kuveitas;vėliava
🇰🇾;vėliava: Kaimanų Salos;vėliava
🇰🇿;vėliava: Kazachstanas;vėliava
🇱🇦;vėliava: Laosas;vėliava
🇱🇧;vėliava: Libanas;vėliava
🇱🇨;vėliava: Sent Lusija;vėliava
🇱🇮;vėliava: Lichtenšteinas;vėliava
🇱🇰;vėliava: Šri Lanka;vėliava
🇱🇷;vėliava: Liberija;vėliava
🇱🇸;vėliava: Lesotas;vėliava
🇱🇹;vėliava: Lietuva;vėliava
🇱🇺;vėliava: Liuksemburgas;vėliava
🇱🇻;vėliava: Latvija;vėliava
🇱🇾;vėliava: Libija;vėliava
🇲🇦;vėliava: Marokas;vėliava
🇲🇨;vėliava: Monakas;vėliava
🇲🇩;vėliava: Moldova;vėliava
🇲🇪;vėliava: Juodkalnija;vėliava
🇲🇫;vėliava: Sen Martenas;vėliava
🇲🇬;vėliava: Madagaskaras;vėliava
🇲🇭;vėliava: Maršalo Salos;vėliava
🇲🇰;vėliava: Šiaurės Makedonija;vėliava
🇲🇱;vėliava: Malis;vėliava
🇲🇲;vėliava: Mianmaras (Birma);vėliava
🇲🇳;vėliava: Mongolija;vėliava
🇲🇴;vėliava: Ypatingasis Administracinis Kinijos Regionas Makao;vėliava
🇲🇵;vėliava: Marianos Šiaurinės Salos;vėliava
🇲🇶;vėliava: Martinika;vėliava
🇲🇷;vėliava: Mauritanija;vėliava
🇲🇸;vėliava: Montseratas;vėliava
🇲🇹;vėliava: Malta;vėliava
🇲🇺;vėliava: Mauricijus;vėliava
🇲🇻;vėliava: Maldyvai;vėliava
🇲🇼;vėliava: Malavis;vėliava
🇲🇽;vėliava: Meksika;vėliava
🇲🇾;vėliava: Malaizija;vėliava
🇲🇿;vėliava: Mozambikas;vėliava
🇳🇦;vėliava: Namibija;vėliava
🇳🇨;vėliava: Naujoji Kaledonija;vėliava
🇳🇪;vėliava: Nigeris;vėliava
🇳🇫;vėliava: Norfolko sala;vėliava
🇳🇬;vėliava: Nigerija;vėliava
🇳🇮;vėliava: Nikaragva;vėliava
🇳🇱;vėliava: Nyderlandai;vėliava
🇳🇴;vėliava: Norvegija;vėliava
🇳🇵;vėliava: Nepalas;vėliava
🇳🇷;vėliava: Nauru;vėliava
🇳🇺;vėliava: Niujė;vėliava
🇳🇿;vėliava: Naujoji Zelandija;vėliava
🇴🇲;vėliava: Omanas;vėliava
🇵🇦;vėliava: Panama;vėliava
🇵🇪;vėliava: Peru;vėliava
🇵🇫;vėliava: Prancūzijos Polinezija;vėliava
🇵🇬;vėliava: Papua Naujoji Gvinėja;vėliava
🇵🇭;vėliava: Filipinai;vėliava
🇵🇰;vėliava: Pakistanas;vėliava
🇵🇱;vėliava: Lenkija;vėliava
🇵🇲;vėliava: Sen Pjeras ir Mikelonas;vėliava
🇵🇳;vėliava: Pitkerno salos;vėliava
🇵🇷;vėliava: Puerto Rikas;vėliava
🇵🇸;vėliava: Palestinos teritorija;vėliava
🇵🇹;vėliava: Portugalija;vėliava
🇵🇼;vėliava: Palau;vėliava
🇵🇾;vėliava: Paragvajus;vėliava
🇶🇦;vėliava: Kataras;vėliava
🇷🇪;vėliava: Reunjonas;vėliava
🇷🇴;vėliava: Rumunija;vėliava
🇷🇸;vėliava: Serbija;vėliava
🇷🇺;vėliava: Rusija;vėliava
🇷🇼;vėliava: Ruanda;vėliava
🇸🇦;vėliava: Saudo Arabija;vėliava
🇸🇧;vėliava: Saliamono Salos;vėliava
🇸🇨;vėliava: Seišeliai;vėliava
🇸🇩;vėliava: Sudanas;vėliava
🇸🇪;vėliava: Švedija;vėliava
🇸🇬;vėliava: Singapūras;vėliava
🇸🇭;vėliava: Šv. Elenos Sala;vėliava
🇸🇮;vėliava: Slovėnija;vėliava
🇸🇯;vėliava: Svalbardas ir Janas Majenas;vėliava
🇸🇰;vėliava: Slovakija;vėliava
🇸🇱;vėliava: Siera Leonė;vėliava
🇸🇲;vėliava: San Marinas;vėliava
🇸🇳;vėliava: Senegalas;vėliava
🇸🇴;vėliava: Somalis;vėliava
🇸🇷;vėliava: Surinamas;vėliava
🇸🇸;vėliava: Pietų Sudanas;vėliava
🇸🇹;vėliava: San Tomė ir Prinsipė;vėliava
🇸🇻;vėliava: Salvadoras;vėliava
🇸🇽;vėliava: Sint Martenas;vėliava
🇸🇾;vėliava: Sirija;vėliava
🇸🇿;vėliava: Svazilandas;vėliava
🇹🇦;vėliava: Tristano da Kunjos;vėliava
🇹🇨;vėliava: Terkso ir Kaikoso Salos;vėliava
🇹🇩;vėliava: Čadas;vėliava
🇹🇫;vėliava: Prancūzijos Pietų sritys;vėliava
🇹🇬;vėliava: Togas;vėliava
🇹🇭;vėliava: Tailandas;vėliava
🇹🇯;vėliava: Tadžikija;vėliava
🇹🇰;vėliava: Tokelau;vėliava
🇹🇱;vėliava: Rytų Timoras;vėliava
🇹🇲;vėliava: Turkmėnistanas;vėliava
🇹🇳;vėliava: Tunisas;vėliava
🇹🇴;vėliava: Tonga;vėliava
🇹🇷;vėliava: Turkija;vėliava
🇹🇹;vėliava: Trinidadas ir Tobagas;vėliava
🇹🇻;vėliava: Tuvalu;vėliava
🇹🇼;vėliava: Taivanas;vėliava
🇹🇿;vėliava: Tanzanija;vėliava
🇺🇦;vėliava: Ukraina;vėliava
🇺🇬;vėliava: Uganda;vėliava
🇺🇲;vėliava: Jungtinių Valstijų Mažosios Tolimosios Salos;vėliava
🇺🇳;vėliava: Jungtinės Tautos;vėliava
🇺🇸;vėliava: Jungtinės Valstijos;vėliava
🇺🇾;vėliava: Urugvajus;vėliava
🇺🇿;vėliava: Uzbekistanas;vėliava
🇻🇦;vėliava: Vatikano Miesto Valstybė;vėliava
🇻🇨;vėliava: Šventasis Vincentas ir Grenadinai;vėliava
🇻🇪;vėliava: Venesuela;vėliava
🇻🇬;vėliava: Didžiosios Britanijos Mergelių Salos;vėliava
🇻🇮;vėliava: Jungtinių Valstijų Mergelių Salos;vėliava
🇻🇳;vėliava: Vietnamas;vėliava
🇻🇺;vėliava: Vanuatu;vėliava
🇼🇫;vėliava: Volisas ir Futūna;vėliava
🇼🇸;vėliava: Samoa;vėliava
🇽🇰;vėliava: Kosovas;vėliava
🇾🇪;vėliava: Jemenas;vėliava
🇾🇹;vėliava: Majotas;vėliava
🇿🇦;vėliava: Pietų Afrika;vėliava
🇿🇲;vėliava: Zambija;vėliava
🇿🇼;vėliava: Zimbabvė;vėliava
🏴󠁧󠁢󠁥󠁮󠁧󠁿;vėliava: Anglija;vėliava
🏴󠁧󠁢󠁳󠁣󠁴󠁿;vėliava: Škotija;vėliava
🏴󠁧󠁢󠁷󠁬󠁳󠁿;vėliava: Velsas;vėliava
