😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
🫱;دائیں اشارہ کرتا ہاتھ;آگے بڑھنا|پکڑنا|تھامنا|دائیں|دائیں طرف|دایاں ہاتھ|مصافحہ|ملانا|ہاتھ
🫲;بائیں اشارہ کرتا ہاتھ;آگے بڑھنا|بائیں|بائیں طرف|بایاں ہاتھ|پکڑنا|تھامنا|مصافحہ|ہاتھ|ہاتھ ملانا
🫳;ہتھیلی نیچے کیے ہاتھ;اٹھانا|اچکنا|برخاست|بھگانا|چھوٹ جانا|گر جانا|گرانا|ہاتھ|ہاتھ سے نکل جانا
🫴;ہتھیلی اوپر کیے ہاتھ;آفر|آنا|اشارے سے بلانا|بات بتاؤ|پکڑنا|پوری بات بتاؤ|پیش کش کرنا|تھامنا|سہارا دینا|مجھے نہیں معلوم|ہاتھ
🫷;بائیں طرف دھکیلتے ہوئے ہاتھ;انتظار کرنا|انکار|بائیں طرف|دھکا|دھکیلنا|روکنا|موقوف کرنا|ہائی فائیو|ہاتھ
🫸;دائیں طرف دھکیلتے ہوئے ہاتھ;انتظار کرنا|انکار|دائیں طرف|دھکا|دھکیلنا|روکنا|موقوف کرنا|ہائی فائیو|ہاتھ
👌;اوکے کا نشان بناتا ہاتھ;اشارہ|اوکے|بہت اچھا|تین|ٹھیک ہے|خوب|زبردست|سمجھ آ گئی|شاندار|کیا بات ہے|کیا بات ہے!|کیا کہنا!|مست|نشان|ہاتھ|واہ واہ !|یقینی
🤌;بھینچی ہوئی انگلیاں;انگلیاں|پانچ منٹ|تفتیش|ٹھہرو|ذرا بات سنو|رکو ذرا|صبر|طنزیہ|کیا|منہ بند رکھو|ہاتھ|ہاتھ کا اشارہ|ہونہہ
🤏;چٹکی لیتا ہوا ہاتھ;انگلیاں|تھوڑا سا|تھوڑی|تھوڑی مقدار|چٹکی|کم|لوگ
✌️;فتح کا نشان بناتا ہاتھ;اشارہ|جسم|جیت|جیت کا نشان|دست|سکون|سکونت|فتح|نشان|ہاتھ
🤞;کراس بناتی انگلیاں;اچھی امید|اشارہ|امید|انگلی|خوش قسمتی|خیر خواہی|قسمت|کامیابی|کراس|نصیب|ہاتھ
🫰;شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ;پیسہ|چٹکی بجانا|دل|دولت|رقم|عشق|محبت|مہنگا|مہنگی|ہاتھ
🤟;آپ سے محبت کا اشارہ;آپ سے محبت|اشارہ|اظہارِ محبت|تم سے محبت ہے کا اشارہ|تین انگلیاں|جسم|دست|مجھے تم سے محبت ہے|محبت کا اظہار|ہاتھ
🤘;ہاتھ سے سینگوں کا نشان;اشارہ|انگلی|جسم|جلوہ|جیت|زبردست|سینگ|شاندار|کامیاب|ہاتھ|واہ واہ
🤙;کال کرنے کا اشارہ;اشارہ|جسم|فون کرنا|کال|ہاتھ
👈;بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی;اشارہ|انگلی|بائیں|جسم|ہاتھ
👉;دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی;اشارہ|انگلی|جسم|دائیں|دایاں|دستِ اشارہ|دیباچہ|ہاتھ
👆;اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی;اشارہ|اوپر|جسم|شہادت کی انگلی|کلمے کی انگلی|ہاتھ
🖕;درمیانی انگلی;اشارہ|اشارہ کرنا|جسم|ہاتھ
👇;نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی;اشارہ|جسم|شہادت کی انگلی|نیچے|ہاتھ
☝️;اوپر اشارہ کرتی شہادت کی انگلی;اشارہ|اکیلا|انگلی|اوپر|ایک|جسم|دست|دستِ، اشارہ|کلمے کی انگلی|ہاتھ|یکتہ|یگانہ
🫵;دیکھنے والے کی طرف اشارہ کرتی انگلی;آپ|اشارہ کرنا|انگلی|انگلی چبھونا|تم|ہاتھ
👍;سب اچھا کا نشان بناتا انگوٹھا;+1|اچھا|اشارہ|انگوٹھا|اوپر|اوکے|بہت اچھا!|بہت اچھے|پسند|ٹھیک ہے|زبردست|شاندار|کیا بات ہے!|کیا کہنے!|ہاتھ|ہاں|واہ!|یقینی
👎;اچھا نہ ہونے کا نشان بناتا انگوٹھا;-1|اچھا نہیں ہے|اشارہ|انگوٹھا|بہت برے|بیکار|تنقید|جسم|کمتر|نا|نہیں|نیچے|ہاتھ
✊;بلند مُٹھی;اشارہ|ایکتا|بدن|جسم|جھگڑا|سامنا|مٹھی|مٹھی بھر|مضبوطی|مقابلہ|مُکّا|ہاتھ|یکجہتی
👊;آتا ہوا مُکا;جسم|گھونسا|مقابلہ|مکا|ہاتھ
🤛;بائیں سمت میں مکا;بائیں سمت|بدن|جسم|جھگڑا|دست|لڑائی|مٹھی|مقابلہ|مکا
🤜;دائیں سمت میں مکا;جھپٹ|جھگڑا|دائیں سمت|دست|دھپ|سامنا|لڑائی|مقابلہ|مکا|مکّے بازی|ہاتھ
👏;تالیاں بجاتے ہاتھ;اشارہ|بھئی واہ!|بہت اچھا!|بہت خوب!|تالی|جسم|خیر مبارک|عمدہ|کیا بات ہے!|کیا کہنا!|مبارک|ہاتھ|واہ واہ!
🙌;ہاتھ بلند کیے ہوئے شخص;اشارہ|بدن|تالی|جسم|جشن|خوشی|مزہ|ہاتھ|ہورے!
🫶;ہاتھوں سے بنا دل;تم سے پیار ہے|تم میری محبت ہو|لو یو|محبت
👐;کھلے ہاتھ;اشارہ|بغلگیر|بغلگیری کا اشارہ|جسم|دست|کھولے|گلے لگانا|گلے ملنا|ہاتھ
🤲;ایک ساتھ ہتھیلیاں اٹھانا;التجا|امید|جسم|خواہش|درخواست|دستِ دعا|دعا|عبادت|مانگنا|نماز|ہتھیلیاں
🤝;ہاتھ ملانا;تعلق|جسم|دوستی|ملانا|ملاوات|ہاتھ|وعدہ
🙏;بندھے ہاتھ;اشارہ|انکساری|براہ کرم|تشکر|خاکساری|دعا|شکریہ|ہاتھ جوڑنا
✍️;لکھتا ہوا ہاتھ;جسم|قلم|لکھائی|لکھنا|ہاتھ
💅;نیل پالش;اشیاء|پالش|جسم|چیز|خیال|سج دھج|سجاوٹ|سجنا سنورنا|سلون|مینیکیور|ناخن|ناخن کی سجاوٹ
🤳;سیلفی;اشارہ|تصویر|خود کی تصطیر لینا|فون|کیمرا|کیمرہ
💪;بازوؤں کے ڈولے;بازو|توانا|جسم|دست|ذور|ڈولے|ریاضت|طاقت|طاقت ور|قوت|کشتی|مستحکم|مضبوط|ہاتھ|ورزش
🦾;مشینی بازو;دسترس|رسائی|روبوٹ کا ہاتھ|روبوٹک ہاتھ|مصنوعی
🦿;مشینی ٹانگ;دسترس|رسائی|روبوٹ کی ٹانگ|روبوٹک ٹانگ|مصنوعی
🦵;ٹانگ;ٹھوکر|عضو|کک، ٹانگ، عضو، مڑی ہوئی ٹانگ، گھٹنا، پاؤں
🦶;پاؤں;پاؤں مارنا|پاؤں، کک، سٹامپ، ایڑی، پاؤں|ٹھوکر
👂;کان;آواز|جسم|سماعت|سمیع|صوت|گوش
🦻;آلہ سماعت کے ساتھ کان;ایئر فون|دسترس|رسائی|سننے کی مشین|کان کی مشین|کمزور سماعت
👃;ناک;باس|بد بو|بدن|بو|جسم|چہرہ|خوش بو|سونگھنا|قوتِ شامہ
🧠;دماغ;بھیجا|ذہن|ذہین|عقل مند|مغز|ہشیار
🫀;دل کا عضو;دل|دل کی دھڑکن|دھڑکن|سرخ دل|عضو|نبض
🫁;پھیپھڑے;تنفس|سانس|سانس باہر نکالنا|سانس لینا|عضو
🦷;دانت;دندان ساز، دانت، سفید، موتی جیسے دانت|معالج دندان
🦴;ہڈی;ڈھانچا|ہڈی، ڈھانچہ، کتّا، خواہش والی ہڈی، ہڈیاں
👀;آنکھیں;آنکھ|بینائی|جسم|جھانکنا|چہرہ|ددیان سے دیکھنا|دیکھنا|گھورنا|نظارہ|نظارہ کرنا|نظر|نظر گاڑ کر دیکھنا|نگاہیں
👁️;آنکھ;بدن|جسم|چشم|چشمِ نگہبان|چشمِ یگانہ|گواہ|نظر|نگاہ
👅;زبان;بدن|جسم|جیبھ|چاٹنا|چہرہ|کھلا منہ|لسان
👄;منہ;بوسہ|جسم|دہانہ|لب|لبوں کی سرخی|لپاسٹک
🫦;کاٹتے ہونٹ;بے چین|پریشان|خوف|ڈوریں ڈالنا|فلرٹ کرنا|فلرٹنگ|گھبراہٹ|لب کاٹنا|مضطرب|ہونٹ چبانا
👶;طفل;اطفال|انسان|بچپن|بچہ|بچے|حاملہ|طفلی|لوگ|نومولود|نونہال
🧒;بچہ;اولاد|ذریت|صنفی غیر جانبدار|طفل|لڑکپن|لوگ|نابالغ|نوجوان
👦;لڑکا;انسان|بالا|بچپن|بچہ|طفل|لڑکپن|لوگ
👧;لڑکی;انسان|اولاد|بالی|بچّی|بڑی آنکھوں والی لڑکی|بیٹی|چھوٹی لڑکی|چوٹیاں|خاتون|دختر|دوشیزہ|عورت|گیسو|لٹیں|لوگ
🧑;شخص;بالغ|جوان|ذی شعور|صنفی غیر جانبدار|عاقل|لوگ|نو جوان
👱;سنہرے بالوں والا شخص;انگریز|بال|بندہ|چہرہ|سنہرے|گورا مرد|لوگ|مرد
👨;مرد;ابا|ابو|انسان|بابا|برادر|بھائی|پدر|پھوپھا|چچا|خالو|دوست|عم|لوگ|ماما|مامو
🧔;داڑھی والا شخص;داڑھی|داڑھی والا|دڑھیل|ریش|لوگ
🧔‍♂️;مرد: داڑھی;داڑھی|مرد
🧔‍♀️;عورت: داڑھی;داڑھی|عورت
👨‍🦰;مرد: سرخ بال;ابا|ابو|انسان|بابا|برادر|بھائی|پدر|پھوپھا|چچا|خالو|دوست|سرخ بال|عم|لوگ|ماما|مامو|مرد
👨‍🦱;مرد: گھنگھریالے بال;ابا|ابو|انسان|بابا|برادر|بھائی|پدر|پھوپھا|چچا|خالو|دوست|عم|گھنگھریالے بال|لوگ|ماما|مامو|مرد
👨‍🦳;مرد: سفید بال;ابا|ابو|انسان|بابا|برادر|بھائی|پدر|پھوپھا|چچا|خالو|دوست|سفید بال|عم|لوگ|ماما|مامو|مرد
👨‍🦲;مرد: گنجا;ابا|ابو|انسان|بابا|برادر|بھائی|پدر|پھوپھا|چچا|خالو|دوست|عم|گنجا|لوگ|ماما|مامو|مرد
👩;عورت;انسان|بہن|پھوپھی|خاتون|خالہ|سنہرے بال والی|سہیلی|کٹے بال والی خاتون|گوری|لوگ|مادر|ماں|ہم شیر
👩‍🦰;عورت: سرخ بال;انسان|بہن|پھوپھی|خاتون|خالہ|سرخ بال|سنہرے بال والی|سہیلی|عورت|کٹے بال والی خاتون|گوری|لوگ|مادر|ماں|ہم شیر
🧑‍🦰;شخص: سرخ بال;بالغ|جوان|ذی شعور|سرخ بال|شخص|صنفی غیر جانبدار|عاقل|لوگ|نو جوان
👩‍🦱;عورت: گھنگھریالے بال;انسان|بہن|پھوپھی|خاتون|خالہ|سنہرے بال والی|سہیلی|عورت|کٹے بال والی خاتون|گھنگھریالے بال|گوری|لوگ|مادر|ماں|ہم شیر
🧑‍🦱;شخص: گھنگھریالے بال;بالغ|جوان|ذی شعور|شخص|صنفی غیر جانبدار|عاقل|گھنگھریالے بال|لوگ|نو جوان
👩‍🦳;عورت: سفید بال;انسان|بہن|پھوپھی|خاتون|خالہ|سفید بال|سنہرے بال والی|سہیلی|عورت|کٹے بال والی خاتون|گوری|لوگ|مادر|ماں|ہم شیر
🧑‍🦳;شخص: سفید بال;بالغ|جوان|ذی شعور|سفید بال|شخص|صنفی غیر جانبدار|عاقل|لوگ|نو جوان
👩‍🦲;عورت: گنجا;انسان|بہن|پھوپھی|خاتون|خالہ|سنہرے بال والی|سہیلی|عورت|کٹے بال والی خاتون|گنجا|گوری|لوگ|مادر|ماں|ہم شیر
🧑‍🦲;شخص: گنجا;بالغ|جوان|ذی شعور|شخص|صنفی غیر جانبدار|عاقل|گنجا|لوگ|نو جوان
👱‍♀️;سنہرے بالوں والی عورت;بھورے بال|خاتون|سنہرے بال|عورت|گوری|لوگ
👱‍♂️;سنہرے بالوں والا مرد;بھورے بال|سنہرے بال|مرد
🧓;بوڑھا بالغ;با تجربہ|بزرگ|بڑھاپہ|بوڑھا|پیر|صنفی غیر جانبدار|عمر رسیدہ|لوگ
👴;بوڑھا آدمی;انسان|بزرگ|بوڑھا|عمر رسیدہ|لوگ|مرد
👵;بوڑھی عورت;انسان|بزرگ عورت|بوڑھی|خاتون|دادما|دادی|دادی اما|عورت|لوگ|نانی|نانی اما
🙍;تیوری چڑھائے شخص;اشارہ|تیوری|خاتون|خفا ہونا|روٹھنا|عورت|نا خوش|ناراض|ناشاد خاتون
🙍‍♂️;گھورتا ہوا مرد;تیوری چڑھانا|گھورنا|لوگ|ماتھے پر بل ڈالنا|مرد|منہ بسورنا|منہ بناتا مرد|منہ بنانا|ناخوش|ناراض|ناراضگی|ناراضگی ظاہر کرتا ہوا مرد|نامطمئین|ناموافقت کا اظہار کرنا
🙍‍♀️;گھورتی ہوئی عورت;عورت|گھورنا|ناراضگی ظاہر کرتی ہوئی عورت
🙎;نا شاد شخص;اشارہ|تمری چڑھاتی عورت|خاتون|منہ بسورتی عورت|منہ بسورنا|منہ بناتی عورت|نا شاد|ناراض|ناراض عورت
🙎‍♂️;منہ بسورتا ہوا مرد;اداسی ظاہر کرنا|اشارہ|روٹھنا|لوگ|مرد|منھ بسورنا|منہ بنانا|ناراض|ناراضگی|ہونٹ دبانا
🙎‍♀️;منہ بسورتی ہوا عورت;اداسی ظاہر کرنا|عورت|منھ بسورنا|ہونٹ دبانا
🙅;نہیں کا اشارہ;اجازت نہیں ہے|کبھی نہیں|کبھی نہیں!|کوئی چانس نہیں|لوگ|ممانعت|منع کرنا|نہیں|ہاتھ
🙅‍♂️;ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد;ارے نہیں|اشارہ|باز رکھنا|باز رہنے کو کہتی عورت|توبہ|روکنا|لوگ|مرد|مکروہ|ممانعت|منع کرنا|نہیں!
🙅‍♀️;ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت;اشارہ|روکنا|عورت|منع کرنا
🙆;ہاں کا اشارہ;اثبات|ارے!|اشارہ|اقرار|بہتر!|ٹھیک ہے|ہاتھ|ہاں!
🙆‍♂️;ٹھیک ہے کا اشارہ کرتا ہوا مرد;اجازت دینا|اشارہ|اوکے|بہتر ہے!|ٹھیک ہے!|لوگ|مرد|ہاتھ|ورزش|ورزش کرت ہوا مرد
🙆‍♀️;ٹھیک ہے کا اشارہ کرتی ہوئی عورت;اجازت دینا|اشارہ|اوکے|عورت
💁;معلوماتی ڈیسک والا بندہ;بال جھڑکنا|طعن|طنز|عورت|مدد|معلومات|نکتہ چینی|ہاتھ
💁‍♂️;تجویز دیتا ہوا مرد;ادھر!|بال|بلانا|تجویر|رائے|طعن|طنز|لوگ|مدد|مرد|معلومات|ہاتھ|یہاں!
💁‍♀️;تجویز دیتی ہوئی عورت;تجویر|رائے|عورت|معلومات
🙋;ہاتھ بلند کیے خوش شخص;اٹھانا|خوش|مجھے معلوم ہے!|میرا ایک سوال ہے!|میں|میں شامل ہوں!|میں یہاں ہوں!|ہاتھ|ہاتھ بلند کرنا|ہاتھ کا اشارہ|یہاں
🙋‍♂️;ہاتھ اٹھاتا ہوا مرد;ادھر!|اشارہ|لوگ|مجھے پتہ ہے!|مجھے معلوم ہے|مرد|میں جانتا ہوں|ہاتھ اٹھانا|ہاتھ ہلانا|یہاں!
🙋‍♀️;ہاتھ اٹھاتی ہوئی عورت;اشارہ|عورت|ہاتھ اٹھانا
🧏;سماعت سے محروم شخص;بہرہ|بہرہ پن|دسترس|رسائی|سماعت|سماعت سے محروم آدمی|سماعت سے محروم بندہ|سنائی سے معذور|کان|کم سنائی دینا
🧏‍♂️;سماعت سے محروم مرد;بہرہ|مرد
🧏‍♀️;بہری عورت;بہری|عورت
🙇;جھکے ہوئے شخص;اشارہ|تسلیم|جھکتا ہوا شخص|جھکنا|سر جھکانا|لوگ|مان جانا|مراقبہ|معافی
🙇‍♂️;بہت زیادہ جھکا ہوا مرد;افسوس|مرد|معافی|معذرت
🙇‍♀️;بہت زیادہ جھکی ہوئی عورت;افسوس|انکساری|جھکنا|خاتون|خاکساری|عبادت|عورت|لوگ|معاف کریں!|معافی|معذرت|معزرت
🤦;پیشانی پر ہاتھ;اشتعال|بے یقینی|پیشانی|چہرہ|غصہ|ہاتھ
🤦‍♂️;شرمندگی ظاہر کرتا ہوا مرد;اشتعال|بے یقینی|پشیمان آدمی|پیشانی|سر پر ہاتھ مارنا|سر پکڑنا|شرمسار|شرمندگی|مرد
🤦‍♀️;شرمندگی ظاہر کرتی ہوئی عورت;اشتعال|بے یقینی|پشیمانی|پیشانی|سر پر ہاتھ رکھنا|سر پکڑنا|شرم ساری|شرمندگی|عورت
🤷;کندھے اچکانا;بے پرواہی|لا علمی|مجھے کیا پتا
🤷‍♂️;کندھے اچکاتا ہوا مرد;بے پرواہی|پتہ نہیں!|شاید|شک|غیر ذمہ دار|کندھے اچکانا|لا علمی|مجھے کیا معلوم!|معلوم نہیں!
🤷‍♀️;کندھے اچکاتی ہوئی عورت;بے پرواہی|پتہ نہیں!|شک|کندھے اچکانا|لا علمی|مجھے کیا معلوم!|مشکوک|معلوم نہیں!
🧑‍⚕️;ہیلتھ ورکر;تھیراپسٹ|ڈاکٹر|نرس|ہیلتھ کیئر
👨‍⚕️;مرد ہیلتھ ورکر;پیشہ|جرّاح|حکیم|ڈاکٹر|شغل|صحت|طبابت کرنے والا|طبیب|علاج|علاج کرنے والا|علاجیات|کارکن|لوگ|مرد|معالج|ہومیوپیتھ
👩‍⚕️;عورت ہیلتھ ورکر;پیشہ|تھیراپسٹ|خاتون|خاتون حکیم|خاتون طبیب|ڈاکٹر|شغل|صحت|طبیبہ|علاج|عورت|کارکن|لوگ|معالج|ہومیوپیتھ
