😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
🫛;ბარდა;ბოსტნეული|მარცვლეული|მუხუდო
🍄‍🟫;ყავისფერი სოკო;ბუნება|მცენარე|საკვები|სოკო
🫜;ბოლქვოვანი მცენარე;ბაღი|ბოლოკი|ბოსტნეული|ვეგეტარიანელი|თალგამი|საკვები|სალათი|ფესვი|ჭარხალი
🍞;პური;კვერი
🥐;კრუასანი;ნამგალისებური ფუნთუშა|პური|საკვები|ფრანგული
🥖;ბაგეტი;პური|საკვები|ფრანგული
🫓;ლავაში;მჭადი|ნაანი|პიტა|ხაჭაპური
🥨;პრეცელი;ბრეცელი|კრენდელი|მარყუჟი
🥯;ბეიგელი;საფუნთუშე|საცხობი
🥞;ბლინები;ბლინი|კრეპი|მაჭკატი|საკვები
🧇;ვაფლი;დესერტი|ვაფლის
🧀;ყველის ნაჭერი;გუდის ყველი|ყველი
🍖;ხორცი ძვალზე;მწვადი|ძვალი|ხორცი
🍗;ფრინველის ფეხი;ფეხი|ფრინველი|ქათამი|ძვალი
🥩;ხორცის ნაჭერი;ანტრეკოტი|რბილი ხორცი|სტეიკი|სუკი
🥓;ბეკონი;ლორი|საკვები|ხორცი
🍔;ჰამბურგერი;ბურგერი
🍟;ფრი;კარტოფილი
🍕;პიცა;ნაჭერი|ყველი
🌭;ჰოთდოგი;სოსისი
🥪;სენდვიჩი;პური
🌮;ტაკო;მექსიკური
🌯;ბურიტო;მექსიკური
🫔;ტამალე;მექსიკური|შეხვეული
🥙;ვრაპი;გატენილი|ლავაში|საკვები|ფალაფელი|შაურმა
🧆;ფალაფელი;ბარდა|ბურთები|მუხუდო
🥚;კვერცხი;საკვები
🍳;საჭმლის მომზადება;კვერცხი|ტაფა
🥘;ტაფამწვარი;თხელი|კასეროლი|პაელა|საკვები|ტაფა
🍲;ქვაბი საჭმლით;რაგუ|ქვაბი
🫕;ფონდიუ;გამდნარი|მდნარი|ქოთანი|ყველი|შვეიცარიული|შოკოლადი
🥣;თასი კოვზით;გრანოლა|მიუსლი|საუზმე|ფაფა
🥗;მწვანე სალათა;მწვანე|საკვები|სალათი
🍿;ბატი-ბუტი;პოპკორნი
🧈;კარაქი;რძის ნაწარმი
🧂;მარილი;სუნელები
🥫;კონსერვი;კონსერვის ქილა
🍱;ბენტო;ყუთი
🍘;ბრინჯის ორცხობილა;ბრინჯი|კრეკერი|ნამცხვარი|ორცხობილა
🍙;ბრინჯის ბურთი;ბრინჯი|ბურთი|იაპონური
🍚;მომზადებული ბრინჯი;ბრინჯი|მომზადებული
🍛;ბრინჯი ქარით;ბრინჯი|ქარი
🍜;ფიალა ორთქლით;ატრია|ორთქლი|ფიალა
🍝;სპაგეტი;მაკარონი|პასტა
🍠;შემწვარი ტკბილი კარტოფილი;კარტოფილი|ტკბილეული|ტკბილი|შემწვარი
🍢;ოდენი;ზღვის პროდუქტები|შამფური|შაურმა|ჯოხი
🍣;სუში;
🍤;შემწვარი კრევეტი;კრევეტი|ტემპურა|შემწვარი
🍥;თევზის კატლეტი ხვეულათი;თევზი|კატლეტი
🥮;მთვარის ორცხობილა;იუებინი|ფესტივალი|შემოდგომა
🍡;დანგო;დესერტი|იაპონური|ტკბილეული|ტკბილი|შამფური|ჯოხი
🥟;ხინკალი;გიოზა|გურზა|ემპენადა|ვარენიკი|მანტი|პელმენი|რავიოლი
🥠;იღბლიანი ორცხობილა;წინასწარმეტყველება
🥡;საჭმლის წამოსაღები ყუთი;წასაღებად
